-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,26230,9,-1363.5215,-1262.9382,-1363.5215,-1312.3076,43.749115,7.4647083,-1262.9382,0.004907419,0.006584208,0.9653188,0.95861524,19,"sqrt(abs(((((-2.5755613 * X3) + ((2.8369932 * X4) - -8.1740265)) / (-0.062464967 * X4)) - log(abs((8884.818 * X2)))))) NeoGP.GaussianLikelihood{Float32} Float32[0.070052974]"
2,50763,12,-1719.8652,-1594.0868,-1719.8652,-1632.7357,52.959457,34.170017,-1594.0868,0.0025672892,0.0027355829,0.9818567,0.9828056,23,"(((6.4915833 * X4) - 3.2674246) / (log(abs(exp((1.3855953 * X3)))) - (abs((((0.38059998 * X4) + (-0.44602332 * X3)) - 1.755057)) ^ 1.3753177))) NeoGP.GaussianLikelihood{Float32} Float32[0.050668404]"
3,77231,11,-1720.0454,-1594.2615,-1720.0454,-1635.5732,52.959457,31.512665,-1594.2615,0.0025664486,0.0027157215,0.98186266,0.9829305,23,"(((6.2957187 * X4) - 3.2839267) / (log(abs(exp((1.4039452 * X3)))) - (abs((((0.3546927 * X4) + (-0.4392622 * X3)) - 1.7436581)) ^ 1.3984547))) NeoGP.GaussianLikelihood{Float32} Float32[0.05066013]"
4,103312,12,-1746.6051,-1622.0205,-1746.6051,-1661.0162,48.33894,37.249886,-1622.0205,0.0024454587,0.002758051,0.9827177,0.9826644,22,"(3.515653 + (((6.2091594 * X4) - 0.042282335) / (log(abs(-0.29786766)) - (abs((((1.4462612 * X4) + (0.8112407 * X3)) - 1.534686)) ^ 1.0718862)))) NeoGP.GaussianLikelihood{Float32} Float32[0.049451586]"
5,130144,12,-1970.6206,-1853.7346,-1970.6206,-1896.2104,41.74727,32.662838,-1853.7346,0.0016273152,0.0038409347,0.98849964,0.975858,19,"(exp(((3.7611327 * X3) - ((sqrt(abs((47.831047 * X3))) + (-0.23151343 * X2)) + (-0.46533188 * X4)))) + 7.114827) NeoGP.GaussianLikelihood{Float32} Float32[0.04033999]"
6,159005,10,-1970.6206,-1853.7346,-1970.6206,-1896.2104,41.74727,32.662838,-1853.7346,0.0016273152,0.0038409347,0.98849964,0.975858,19,"(exp(((3.7611327 * X3) - ((sqrt(abs((47.831047 * X3))) + (-0.23151343 * X2)) + (-0.46533188 * X4)))) + 7.114827) NeoGP.GaussianLikelihood{Float32} Float32[0.04033999]"
7,194234,12,-2050.9622,-1922.744,-2050.9622,-1970.233,50.65687,30.072206,-1922.744,0.0014061508,0.0036547515,0.9900626,0.97702825,22,"(exp(((4.2226486 * X3) - ((sqrt(abs((62.386166 * X3))) + (-0.35392737 * X2)) + (-0.6514044 * X4)))) + log(abs((443.88565 * X3)))) NeoGP.GaussianLikelihood{Float32} Float32[0.037498675]"
8,228297,12,-2050.9622,-1922.744,-2050.9622,-1970.233,50.65687,30.072206,-1922.744,0.0014061508,0.0036547515,0.9900626,0.97702825,22,"(exp(((4.2226486 * X3) - ((sqrt(abs((62.386166 * X3))) + (-0.35392737 * X2)) + (-0.6514044 * X4)))) + log(abs((443.88565 * X3)))) NeoGP.GaussianLikelihood{Float32} Float32[0.037498675]"
9,262233,15,-2050.9622,-1922.744,-2050.9622,-1970.233,50.65687,30.072206,-1922.744,0.0014061508,0.0036547515,0.9900626,0.97702825,22,"(exp(((4.2226486 * X3) - ((sqrt(abs((62.386166 * X3))) + (-0.35392737 * X2)) + (-0.6514044 * X4)))) + log(abs((443.88565 * X3)))) NeoGP.GaussianLikelihood{Float32} Float32[0.037498675]"
10,292446,16,-2058.3687,-1927.4276,-2058.3687,-1976.0477,50.536167,31.784834,-1927.4276,0.0013873421,0.0036453286,0.9901955,0.97708744,23,"((0.24246602 * X3) + (6.4493647 + exp(((4.0383825 * X3) - ((sqrt(abs((56.626167 * X3))) + (-0.32183993 * X2)) + (-0.602733 * X4)))))) NeoGP.GaussianLikelihood{Float32} Float32[0.03724704]"
