-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,20786,6,-444.1624,-401.2563,-444.1624,-429.9912,6.931472,7.2397547,-401.2563,0.0012307159,0.0014637526,0.96430403,0.85230684,5,"(abs((0.1774729 * X1)) ^ -0.2669403) NeoGP.GaussianLikelihood{Float32} Float32[0.035081573]"
2,40634,9,-444.1624,-401.2563,-444.1624,-429.9912,6.931472,7.2397547,-401.2563,0.0012307159,0.0014637526,0.96430403,0.85230684,5,"(abs((0.1774729 * X1)) ^ -0.2669403) NeoGP.GaussianLikelihood{Float32} Float32[0.035081573]"
3,60471,11,-444.1624,-401.2563,-444.1624,-429.9912,6.931472,7.2397547,-401.2563,0.0012307159,0.0014637526,0.96430403,0.85230684,5,"(abs((0.1774729 * X1)) ^ -0.2669403) NeoGP.GaussianLikelihood{Float32} Float32[0.035081573]"
4,85046,15,-473.10757,-405.8127,-473.10757,-435.7624,24.953299,12.391875,-405.8127,0.0009568572,0.0010896339,0.97224706,0.8900556,12,"(sqrt(abs((0.11010108 - 0.46602467))) / (abs((0.025058895 * X1)) ^ (0.053020336 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.030933114]"
5,107605,17,-473.10757,-405.8127,-473.10757,-435.7624,24.953299,12.391875,-405.8127,0.0009568572,0.0010896339,0.97224706,0.8900556,12,"(sqrt(abs((0.11010108 - 0.46602467))) / (abs((0.025058895 * X1)) ^ (0.053020336 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.030933114]"
6,132379,18,-473.10757,-405.8127,-473.10757,-435.7624,24.953299,12.391875,-405.8127,0.0009568572,0.0010896339,0.97224706,0.8900556,12,"(sqrt(abs((0.11010108 - 0.46602467))) / (abs((0.025058895 * X1)) ^ (0.053020336 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.030933114]"
7,158234,17,-473.1076,-411.0567,-473.1076,-437.8416,19.709354,15.556654,-411.0567,0.0009568573,0.0010896499,0.97224706,0.890054,11,"(abs((-2.1675704 / (abs((-0.025059784 * X1)) ^ (-0.07941184 * X2)))) ^ -0.667664) NeoGP.GaussianLikelihood{Float32} Float32[0.030933112]"
8,185634,20,-473.1076,-411.0567,-473.1076,-437.8416,19.709354,15.556654,-411.0567,0.0009568573,0.0010896499,0.97224706,0.890054,11,"(abs((-2.1675704 / (abs((-0.025059784 * X1)) ^ (-0.07941184 * X2)))) ^ -0.667664) NeoGP.GaussianLikelihood{Float32} Float32[0.030933112]"
9,219274,20,-473.1076,-411.0567,-473.1076,-437.8416,19.709354,15.556654,-411.0567,0.0009568573,0.0010896499,0.97224706,0.890054,11,"(abs((-2.1675704 / (abs((-0.025059784 * X1)) ^ (-0.07941184 * X2)))) ^ -0.667664) NeoGP.GaussianLikelihood{Float32} Float32[0.030933112]"
10,255280,20,-481.6734,-411.5243,-481.6734,-436.5544,27.242743,17.876242,-411.5243,0.000888175,0.0011612324,0.9742392,0.8828313,14,"sin(((abs((0.01807787 * X1)) ^ (-0.040637348 * X2)) + ((0.00020212385 * X1) + -0.42390883))) NeoGP.GaussianLikelihood{Float32} Float32[0.029802259]"
11,296658,19,-583.46545,-434.3167,-583.46545,-479.3927,83.92634,20.14643,-434.3167,0.0003665081,0.0004895261,0.9893697,0.95060664,35,"((0.032182176 * (((4.352599 + sqrt(abs(((-1.2152157 * log(abs(((344.80106 * X1) + (344.07468 * X1))))) - (-3.003406 * X2))))) + (-0.5997144 * X2)) + sqrt(abs((643.85175 / (-2.1942086 * X1)))))) / (abs(-0.7203162) ^ exp(1.2578912))) NeoGP.GaussianLikelihood{Float32} Float32[0.019144401]"
12,333436,19,-583.46545,-434.3167,-583.46545,-479.3927,83.92634,20.14643,-434.3167,0.0003665081,0.0004895261,0.9893697,0.95060664,35,"((0.032182176 * (((4.352599 + sqrt(abs(((-1.2152157 * log(abs(((344.80106 * X1) + (344.07468 * X1))))) - (-3.003406 * X2))))) + (-0.5997144 * X2)) + sqrt(abs((643.85175 / (-2.1942086 * X1)))))) / (abs(-0.7203162) ^ exp(1.2578912))) NeoGP.GaussianLikelihood{Float32} Float32[0.019144401]"
13,378220,19,-583.46545,-434.3167,-583.46545,-479.3927,83.92634,20.14643,-434.3167,0.0003665081,0.0004895261,0.9893697,0.95060664,35,"((0.032182176 * (((4.352599 + sqrt(abs(((-1.2152157 * log(abs(((344.80106 * X1) + (344.07468 * X1))))) - (-3.003406 * X2))))) + (-0.5997144 * X2)) + sqrt(abs((643.85175 / (-2.1942086 * X1)))))) / (abs(-0.7203162) ^ exp(1.2578912))) NeoGP.GaussianLikelihood{Float32} Float32[0.019144401]"
