Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(250.122604 + (408.995300 * (0.711360 * X2))),9,10856113.712131647,8374105.029827779,10856113.712131647,8374105.029827779,0.01525209974408881,-0.0017327702750611351
0,(867.233826 + ((-1692.749268) * sin((1.604649 * X2)))),10,9843290.055865714,7512997.101437885,9843290.055865714,7512997.101437885,0.10712438436494998,0.10127525596049802
0,((-1124.177979) + (1614.338013 * exp(sin((4.700253 * X2))))),11,9358044.680993246,7158220.226023525,9358044.680993246,7158220.226023525,0.15114053753775325,0.1437146116853768
0,(2693.471436 + ((-3747.561035) * sin(((0.728814 * X2) ^ (0.596561 * X1))))),13,7954718.614353654,6417511.836125616,7954718.614353654,6417511.836125616,0.2784349298167724,0.2323201241234829
0,(2740.775879 + ((-4312.763672) * sin(sin(((0.728814 * X2) ^ (0.596561 * X1)))))),14,7860149.567641072,6353277.664430182,7860149.567641072,6353277.664430182,0.2870131994120282,0.2400039869995273
0,(183.456482 + (0.449770 * (0.000002 ^ sin(((0.728814 * X2) ^ (0.596561 * X1)))))),16,1079949.4697850328,1018150.3305974167,1079949.4697850328,1018150.3305974167,0.902038795746505,0.8782061429140213
0,(152.874344 + (1.272123 * (0.008918 ^ (sin((1.583149 * X1)) + sin((1.573099 * X2)))))),17,1070060.1354430006,1006131.7359880838,1070060.1354430006,1006131.7359880838,0.9029358479961846,0.879643839244547
0,(151.599014 + (0.018333 * (0.000001 ^ (sin(((0.707107 * X2) * (0.693147 * X1))) + ((-0.001123) * X3))))),19,1010280.2072996631,1644944.364876248,1010280.2072996631,1644944.364876248,0.9083584292510969,0.8032273694076508
0,(132.021866 + (1.358163 * (0.008724 ^ (sin(((1.718371 * X1) + ((-0.038266) * X3))) + sin((1.573056 * X2)))))),20,927042.3822534638,1070686.4525980896,927042.3822534638,1070686.4525980896,0.9159088543488475,0.8719216319312011
0,(119.835052 + (0.912431 * (0.004667 ^ (sin(sin(((1.741621 * X1) + ((-0.038613) * X3)))) + sin((1.572824 * X2)))))),21,917447.1272606896,1492887.9124174183,917447.1272606896,1492887.9124174183,0.916779230936373,0.8214167676558496
0,(189.933990 + (0.000000 * (0.000000 ^ (sin((1.570487 * X2)) + sin(((1.325481 * X1) + sin(sqrt(abs((0.516926 * X3)))))))))),23,758463.2270824979,5481800.276751988,758463.2270824979,5481800.276751988,0.9312005115185777,0.3442524356016706
0,(123.505226 + (0.884780 * (0.004384 ^ (sin(((1.393827 * X1) + sin(log(abs((1.345011 * X3)))))) + sin(sin((1.573099 * X2))))))),23,750325.5449294826,1985381.8062164881,750325.5449294826,1985381.8062164881,0.9319386730398758,0.7625033350177781
0,(185.424011 + (0.000000 * (0.000000 ^ (sin((sin(((-4.723142) + sin(((-0.321154) * X3)))) + (1.287018 * X1))) + sin((1.604183 * X2)))))),25,467923.7328217033,1840558.5244762434,467923.7328217033,1840558.5244762434,0.9575550767434249,0.7798274820999129
0,(185.685287 + (0.860336 * (0.000000 ^ (sin((sin(((-4.723142) + sin(((-0.321154) * X3)))) + (1.287018 * X1))) + exp(sin((1.599791 * X2))))))),26,466940.36458308605,1855960.6038585806,466940.36458308605,1855960.6038585806,0.9576442771547171,0.7779850442999678
0,(158.977692 + (0.000000 * (0.000001 ^ ((sin(((1.854587 * X1) + sin((sin((0.324933 * X3)) + (3.670441 * X2))))) + sin((1.606961 * X2))) + ((-0.001123) * X3))))),28,388518.4152471554,2480794.38316822,388518.4152471554,2480794.38316822,0.9647578586803264,0.7032407617193428
0,(119.711174 + (0.856926 * (0.006231 ^ (sin((((1.679711 * X1) + sin((0.441560 * X3))) + sin(log(abs(((86.460396 * X3) + ((-41.201256) * X2))))))) + sin((1.604183 * X2)))))),29,288391.5702715466,16849443.190993745,288391.5702715466,16849443.190993745,0.9738402709471392,-1.0155753176233513
0,(121.021217 + (0.991676 * (0.004384 ^ (sin((((1.678194 * X1) + sin((0.441402 * X3))) + sin(log(abs(((86.262772 * X3) + ((-41.070873) * X2))))))) + sin(sin((1.574629 * X2))))))),30,275440.6752973841,16866537.767499577,275440.6752973841,16866537.767499577,0.9750150344924021,-1.0176202164416575
0,(157.713379 + (0.994296 * (0.001864 ^ (sin((1.589524 * X2)) + (sin((((1.674373 * X1) + sin((0.441402 * X3))) + sin(log(abs(((86.110573 * X3) + ((-40.924740) * X2))))))) + 0.403362))))),32,262138.83269348406,16859749.802130613,262138.83269348406,16859749.802130613,0.9762216321682433,-1.0168082219264987
0,(143.055054 + (0.991333 * (0.001986 ^ (sin((3.468093 * X2)) + (sin((((1.674708 * X1) + sin((0.441423 * X3))) + sin(log(abs(((86.110573 * X3) + ((-40.924740) * X2))))))) + sin((0.973715 * X2))))))),33,257615.2837824146,16885924.976878323,257615.2837824146,16885924.976878323,0.976631959050404,-1.0199393661167209
