Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,28.845941316737356 - ((X_0)(((0.061382900653432326)(X_1) + (2)(X_8))(log(X_1)))),13,145.99624047178835,142.99425104363053,145.99624047178835,142.99425104363053,0.4296903577595872,0.42404437870683787
1,30.13851572107414 + X_0 - (X_7 + (X_0)(((0.05025092540215585)(X_1) + X_8)(X_7 + log(X_1)))),15,145.5182315264941,142.06754248874685,145.5182315264941,142.06754248874685,0.4315576189280771,0.4277769973092659
2,31.549631988874765 + X_0 + (-2)(X_7) - ((X_0)((log(1.06449644703134))(X_1 + (log(1.06449644703134))(X_1)) + X_8 + ((log(1.06449644703134))(X_1 + (log(1.06449644703134))(X_1)) + X_8)(log(X_1 + (log(1.06449644703134))(X_1))) - (log(X_1 + (log(1.06449644703134))(X_1)))) + sqrt(X_8)),24,144.51134119689607,142.36904018585238,144.51134119689607,142.36904018585238,0.43549086585137264,0.42656261776472126
3,31.666894284215815 + X_0 + (-2)(X_7) - (X_2 + (X_0)((0.06428364701762446)(X_1) + X_2 + X_8 + ((0.06428364701762446)(X_1) + X_2 + X_8)(log(X_1)) - (log(X_1)))),23,144.97613345049757,142.53152794320997,144.97613345049757,142.53152794320997,0.4336752334555589,0.4259081457383398
4,23.56276979319603 + (sin(-2.958904267917651))((X_0)((X_1)(log(-2.958904267917651) - (X_8)))),12,230.241233086605,222.42963160551804,230.241233086605,222.42963160551804,0.10060153024291951,0.10409267694072266
5,29.33922439421205 + (-0.2774325642297413)((24.116782353681177)^(X_8) + (X_0)(X_1)),11,146.0199215479494,141.92798151444006,146.0199215479494,141.92798151444006,0.4295978516373088,0.42833912429743837
6,30.144171667416483 + (-0.27385157267812155)((23.58255060968419)^(X_8) + X_0 + (X_0)(X_1) + (X_7)(X_7)) - (X_3),17,145.2676475017354,141.39987406896697,145.2676475017354,141.39987406896697,0.4325364830758761,0.4304662479380539
7,31.57158620615141 + X_0 + (-2)(X_7) - (X_8 + (X_0)((0.0586027490652512)(X_1 + X_5) + X_8 + sin(X_2) + ((0.0586027490652512)(X_1 + X_5) + X_8 + sin(X_2))(log(X_1 + X_5)) - (log(X_1 + X_5)))),26,144.50970598975601,141.61635868125845,144.50970598975601,141.61635868125845,0.43549725351173996,0.4295942861041847
8,28.816467157602872 + X_0 - ((X_0)(((0.04354521283150691)(X_1) + X_8)(log((0.04354521283150691 + X_1)(X_4))))),15,144.6947545111857,141.9210752744754,144.6947545111857,141.9210752744754,0.4347743927331841,0.42836694141386533
9,31.54963196607492 + X_0 + (-2)(X_7) - ((X_0)((log(1.0644964466088769))(X_1 + (log(1.0644964466088769))(X_1)) + X_8 + ((log(1.0644964466088769))(X_1 + (log(1.0644964466088769))(X_1)) + X_8)(log(X_1 + (log(1.0644964466088769))(X_1))) - (log(X_1 + (log(1.0644964466088769))(X_1)))) + sqrt(X_8)),24,144.51134119689604,142.36904019710116,144.51134119689604,142.36904019710116,0.43549086585137275,0.4265626177194132
