Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(0.00030130532164294717)((-382.44816873264597)(X_2) + exp(X_0) + sqrt((exp(9.166701057149902))(((X_2)^(-1))((sin(9.166701057149902) + X_2 + X_3)(-1231.5775331784475 + log(sin(9.166701057149902) + X_3) - (X_3))) - (sin(9.166701057149902) + exp(9.166701057149902) + X_2 + log(sin(9.166701057149902) + X_3)))) - (sqrt(log((9.166701057149902)(((X_2)^(-1))((sin(9.166701057149902) + X_2 + X_3)(-1231.5775331784475 + log(sin(9.166701057149902) + X_3) - (X_3))) - (exp(9.166701057149902))))))),35,0.5491194279109396,0.8283069919651607,0.5491194279109396,0.8283069919651607,0.21695902881318296,0.12428255112805386
1,sqrt((-13.078424419877674)((X_2)^(log((0.11352264436000738)(X_0))))),9,0.5647966800160344,0.7691004127457131,0.5647966800160344,0.7691004127457131,0.19460336246821974,0.1868779837556106
2,3.6735325585726883 + (8.783353861344087e-05)(X_5 + ((X_0)^(sin((-2)((2)^(-1)) + ((X_0)^(-2))((sin(X_0))(sin(X_0))))) - (X_2))(3425.3241265769666 - (exp(X_0)))),25,0.5498146635926956,0.8065393710782396,0.5498146635926956,0.8065393710782396,0.21596762695090133,0.14729610240314428
3,(0.00028197231741981864)(8907.271503526657 + exp(X_0) + (-1449.808054746728)(log(((0.44926837588115903)(0.44926837588115903))(X_2))) + sqrt(((0.44926837588115903)(0.44926837588115903))(((X_2)^(-1))(((X_4)^(X_3))(X_2 + exp(X_2))) - ((0.44926837588115903)(0.44926837588115903) + X_4)))),28,0.5453127036919027,4.037644494650395,0.5453127036919027,4.037644494650395,0.22238739444368938,-3.2687503191519873
4,3.634736253905589 + (0.01912866308459671)(log((X_2)^(-71.92809616116531 + (X_0)(X_0)))),11,0.5532834570279536,0.7628921185627175,0.5532834570279536,0.7628921185627175,0.21102114856691057,0.19344162694167222
5,0.3958205675217972 + (-3.4044998381605884)(log(X_2) + log((-4.589945322098776 + X_2)^(3.264604808019776 + X_0))),14,inf,inf,inf,inf,-inf,-inf
6,3.69445420399469 + (0.04438913609633907)((X_2)(log(((X_0)^(-5.989651053720505 + X_0))((X_6)^(-1))))),15,0.5489030305693368,0.887270171403672,0.5489030305693368,0.887270171403672,0.21726761010883222,0.061944449945583235
7,3.672040950190178 + (7.966288229507317e-05)(sin(exp(X_0)) + ((X_0)^(-10.456005507785488 + X_0 + sqrt(X_0)) - (X_2))(3666.539911354579 - (exp(X_0)))),18,0.5444982871951236,0.8006559507882522,0.5444982871951236,0.8006559507882522,0.2235487474247969,0.15351627663439815
8,((X_0)^(-1))(((sin(1))^(-1))((X_0)^(1.4851396654466837)) + sqrt(((sin(1))^(-1))((X_0)^(1.4851396654466837))) - (X_2)),14,0.5686203785584171,0.8132334340467862,0.5686203785584171,0.8132334340467862,0.18915079155565218,0.14021888610258415
9,(0.00024554054108694135)(11559.891234891062 + exp(X_0)),6,0.6213299731445562,0.8113595832989388,0.6213299731445562,0.8113595832989388,0.11398722960954699,0.14219999191527144
10,(1.065167010345033)((X_0)((log(X_0 + X_2))^(-1))),9,0.5705610790418958,0.77504811065028,0.5705610790418958,0.77504811065028,0.1863833644457661,0.18058985280154094
11,3.6000475839683053 + (0.05704746735612295)((16.861718245761715 + (-2)(X_0))(sqrt(sin(-3.3120250401244395 + X_0)) - (X_2))),16,0.546135616945296,0.783573926806101,0.546135616945296,0.783573926806101,0.221213925139223,0.17157603781995634
12,3.73644557255708 + (-8.36528988725282e-05)(-1 + X_6 + (X_2)(3513.9206507542444 - (exp(X_0)))),14,0.5462301184207059,0.8119272443833976,0.5462301184207059,0.8119272443833976,0.22107916660888816,0.1415998391681279
13,(-0.24421459511796542)(-6.294963435811072 - (X_0)),5,0.6288369506984084,0.8070487022912578,0.6288369506984084,0.8070487022912578,0.10328232518318348,0.14675761820003874
14,3.821122472080813 + (0.008820744825398808)(log((X_2 + (X_2)(X_2))^(-78.9911273273887 + (X_0)(X_0) - (X_3)))),15,0.547623345107343,0.749435204465356,0.547623345107343,0.749435204465356,0.21909243381027255,0.2076687849849379
15,((X_0)^(-1))(7.32058324956622 + (0.3759998689575941)((X_0)(X_0)) - (X_2)),11,0.5588995272910985,0.8100887723815859,0.5588995272910985,0.8100887723815859,0.2030126664597729,0.14354354123374646
16,3.7202048226580233 + (-3.063391298087388e-05)(X_6 + (X_2)(9576.120234632695 - (exp(1 + X_0)))),14,0.5475681056771886,0.8059235677252924,0.5475681056771886,0.8059235677252924,0.21917120490238362,0.14794715297555383
