Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,((X_0)^((-1)(0.6130486974818619)))(((X_0)(X_0) + (-2)(X_2) + sqrt((X_0)(X_0) - (X_2)))^(0.6130486974818619)),15,0.6912454835856124,0.5520880658517019,0.6912454835856124,0.5520880658517019,0.1624602257343618,0.19399926573238635
1,((X_0)(X_0) + log(X_0) - ((X_2)((log(log(X_6)))^(-1))))^(0.3074432906481734),14,0.7132571680092112,0.6066480832060704,0.7132571680092112,0.6066480832060704,0.13579001718888484,0.11434636836096002
2,(((X_0)(X_0) - (X_2))^(0.3126970615079544))((exp(((0)^((X_0)(X_0)))((X_1)(X_1))))^(0.3126970615079544)),14,0.7089098762447823,0.5992606150667954,0.7089098762447823,0.5992606150667954,0.14105736410037562,0.12513143167409035
3,(X_0 + (X_0)(X_0) - (X_2))^(0.3020161654017646),7,0.7109045225549818,0.6000660678562182,0.7109045225549818,0.6000660678562182,0.1386405734521119,0.12395554039904333
4,((X_0)^((-1)(0.6361411202038413)))(((X_0)(X_0) - (X_2))^(0.6361411202038413)),10,0.7004367901733795,0.5831115951457573,0.7004367901733795,0.5831115951457573,0.1513236830335063,0.1487076013454619
5,((X_0)^((-1)(0.6315857010182268)))(((X_0)(X_0) + (-2)(X_2) + log((X_0)(X_0)))^(0.6315857010182268)),14,0.6917832691475205,0.5516264476246444,0.6917832691475205,0.5516264476246444,0.16180862393902362,0.19467318834179037
6,((X_0)(X_0) + sqrt((X_0)(X_0)) - (X_2))^(0.3020161649679335),8,0.7109045225549817,0.6000660667692879,0.7109045225549817,0.6000660667692879,0.138640573452112,0.12395554198586733
7,(sqrt((X_0)(X_0) - (X_2)))^(0.62539412259111),7,0.7089098762447822,0.5992606145893048,0.7089098762447822,0.5992606145893048,0.14105736410037573,0.1251314323711853
8,((X_0)(X_0) + log((X_0)(X_0)) - (X_2))^(0.30656119595468),8,0.7098620341956979,0.5988403705599273,0.7098620341956979,0.5988403705599273,0.13990369268521008,0.12574495223730897
9,((X_0)(X_0) - (X_2))^(0.3126970612953461),6,0.7089098762447822,0.599260614588835,0.7089098762447822,0.599260614588835,0.14105736410037573,0.1251314323718713
