Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,((-3.0969753706922263 + X_1)^(-1))(-347.02930744816456 + (X_0)(X_2)),11,9358560.221466396,7239588.571411252,9358560.221466396,7239588.571411252,0.15109377334460872,0.13398111327000972
1,(1953172733.077307)((2321926.683320289 + X_0)^(-1)),7,11024257.125964751,8359666.8106518965,11024257.125964751,8359666.8106518965,-3.173726970118196e-08,-5.63200280656595e-06
2,((-18468.920373276072 + X_0)^(-1))(X_1),7,11731851.112031432,9055735.56499738,11731851.112031432,9055735.56499738,-0.06418521904183905,-0.08327123222023691
3,(X_0)((X_1)((-57309.95417375337 + X_1)^(-1))) + X_2,10,11719669.666580264,9028698.680242827,11719669.666580264,9028698.680242827,-0.06308025154166308,-0.08003700798154911
4,(-59.16402088463766)((-3.3532964554396214 + (X_1)^(X_0))^(-1)),9,11729654.456088528,9047369.849235458,11729654.456088528,9047369.849235458,-0.06398596244000898,-0.0822705029965558
5,sqrt((297240.9417064567)((0.663474872789112)^((-1)(X_0)))),8,10937804.0226137,8359775.85280187,10937804.0226137,8359775.85280187,0.007842048242089561,-1.867591550874792e-05
6,(X_0)((X_1)((-2.8771022412770035 + X_1)^((-1)(X_1)))),9,8517996.161715286,6661641.524308151,8517996.161715286,6661641.524308151,0.22734055141082332,0.2031166799371008
7,(220.03632678515646)(X_0 + X_1),5,10752229.007999554,8341110.436963779,10752229.007999554,8341110.436963779,0.024675383893044023,0.002214130891812993
8,X_1 + (X_0)((-26.999813556667203 + (X_1)^(X_0))^(-1)),9,1110935.862310489,1086496.988137643,1110935.862310489,1086496.988137643,0.899228049121601,0.8700303335167251
9,X_1 + (X_0)((-60.256425333082 + (X_1)(exp(X_0)))^(-1)),10,1111251.7591897415,1096914.3362326894,1111251.7591897415,1096914.3362326894,0.899199394411749,0.8687841825633993
