Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,X_3 + (0.0004745410271391547)(0.0004745410271391547 - (X_3)) + (-0.405156850792542)(X_3 + (X_0)(log(sin(X_1)))),14,0.4861882003371178,0.6569476138476991,0.4861882003371178,0.6569476138476991,0.5093079998875025,0.3467325788754365
1,-1.0641250133301638 + (0.3577995706813599)(X_0) + (4.7075591708754825)(X_3) + ((-1)((log(-1.0641250133301638))^(-1)))((-1.0641250133301638)^(-1.0641250133301638) - (X_4)) + (-1.0641250133301638)((((-1)(4.7075591708754825))(X_3) + ((log(-1.0641250133301638))^(-1))((-1.0641250133301638)^(-1.0641250133301638) - (X_4)))(((sqrt(X_2))^(X_0))^((X_2)(X_2)) - (X_2))),31,inf,inf,inf,inf,-inf,-inf
2,(-0.482991891620203)(-4.36572121870844 - (X_0)) + (-0.5073389059321495)(4.074855959671261 - (X_1 + X_3)),13,0.3804972967240994,0.5287305366695999,0.3804972967240994,0.5287305366695999,0.6159779701821515,0.474231389414817
3,0.41548234636540693 + (0.47475578800711027)(X_0) + X_3 + (0.41548234636540693)(sqrt(sin(X_1) - (sqrt(sin(X_1)))) - (X_3)) - (sqrt(sin(X_1) - (sqrt(sin(X_1))))),16,0.36201143121681717,0.4822610021091871,0.36201143121681717,0.4822610021091871,0.6346350793289577,0.520440603609752
4,(0.44452624237079946)(X_0) + X_3 + (0.4531658263043826)((2)(0.4531658263043826) - (X_3)) - (0.4531658263043826),12,0.49203271672939647,0.6218207951266784,0.49203271672939647,0.6218207951266784,0.5034093428731428,0.3816626186449562
5,((-1)(0.5971297331293635))(0.5971297331293635 - (X_3)) + (0.24144307278460128)(exp(X_0)),11,0.5653436477490076,0.6984882930490657,0.5653436477490076,0.6984882930490657,0.42941929674043333,0.30542460880047284
6,0.04653756390657193 + ((-1)(0.5445121262053845))(0.5445121262053845 - (X_3)) + (0.08344754417865527)(exp(X_0 + X_4)),15,0.5616182683347011,0.5472162417807006,0.5616182683347011,0.5472162417807006,0.4331791861715558,0.45584924044121944
7,(-0.5753998964423352)(0.6897676416779726 - (X_3)) + (0.2551118323980882)(exp(X_0)),10,0.5640033433393918,0.7042713057714795,0.5640033433393918,0.7042713057714795,0.43077201704721557,0.2996739922705258
8,(0.41557138055375487)(X_0) + (-0.2844046045494219)((-2.0610551580899483)(X_3) - (X_4)),11,0.4088091841836328,0.45067558744218594,0.4088091841836328,0.45067558744218594,0.5874038158220796,0.5518490781208494
9,-1 + 0.335374390252017 + X_3 + (0.335374390252017)(1 - (X_3)) + (0.23286431371986138)(X_4 + exp(X_0)),16,0.49405214116199936,0.5670322594875287,0.49405214116199936,0.5670322594875287,0.5013712115214914,0.4361442312267414
10,(-0.5753998964423349)(0.6897676416780074 - (X_3)) + (0.25511183239808827)(exp(X_0)),10,0.5640033433393918,0.7042713057714789,0.5640033433393918,0.7042713057714789,0.43077201704721557,0.2996739922705264
11,-1 + 0.4878395805433816 + X_3 + (0.4878395805433816)(1 - (X_3)) + (0.4588360162299885)((X_0)((sqrt(X_0))^(-1))),16,0.5111476452404619,0.6268855571060201,0.5111476452404619,0.6268855571060201,0.4841173434033933,0.3766262292478232
12,0.5344905404633221 + (0.5989079968130263)(X_3) + (0.0014737217900830375)(((X_3)^(-1))((sin(X_2))^(-1))) + (-0.32102909217573283)((exp(X_0))^(-1)),20,0.4466142846784188,0.5688735306775832,0.4466142846784188,0.5688735306775832,0.5492485081379817,0.43431327475994963
13,0.36726235279547176 + (0.45394696734128936)(X_0) + ((-1)(0.593272813483601))(0.593272813483601 - (X_3)),12,0.4865391996548887,0.6242953883960576,0.4865391996548887,0.6242953883960576,0.5089537490908856,0.37920188794231857
14,0.17850766685155905 + (-0.5753998964423346)(1 - (X_3)) + (0.25511183239808677)(exp(X_0)),12,0.5640033433393918,0.7042713057714787,0.5640033433393918,0.7042713057714787,0.43077201704721557,0.2996739922705266
15,(0.4445262088703007)(X_0) + X_3 + (0.45316642072022484)((2)(0.45316642072022484) - (X_3)) - (0.45316642072022484),12,0.49203271672580773,0.6218208224571962,0.49203271672580773,0.6218208224571962,0.5034093428767648,0.3816625914675429
16,-0.1501372826748218 + (0.45394696734128936)(X_0) + X_3 + (0.40672718651639905)(0.40672718651639905 - (X_3)),11,0.4865391996548887,0.6242953883960575,0.4865391996548887,0.6242953883960575,0.5089537490908856,0.3792018879423187
17,(-1.573331467437955)((sin(-1.573331467437955))((sin((-3.9225044225378456)(((exp(-3.9225044225378456))^(-1))((sqrt(sqrt(-3.9225044225378456)))^(-1)))))((exp(-3.9225044225378456))^((-1)(exp(-3.9225044225378456))))) - (X_3)) + (0.2479818164566053)(exp(X_0)) + sqrt(((exp(-3.9225044225378456))^(exp(-3.9225044225378456)))((exp(sqrt(sqrt(-3.9225044225378456))) - (X_4))^(-1))) - (X_3),33,0.5313906139057619,0.6525296178646751,0.5313906139057619,0.6525296178646751,0.4636868541901561,0.35112582543198434
18,0.1183691640988421 + X_3 + (0.40062641137213717)(1 - (X_3)) + (-0.31604882233493503)((exp(X_0))^(-1)),15,0.4582596323973925,0.5683789245878005,0.4582596323973925,0.5683789245878005,0.5374952838510358,0.4348051100873548
19,(-0.5753998964423351)(0.6897676416779746 - (X_3)) + (0.25511183239808827)(exp(X_0)),10,0.5640033433393918,0.7042713057714793,0.5640033433393918,0.7042713057714793,0.43077201704721557,0.29967399227052594
20,(0.4798418167287659)(X_0) + (0.5062208930040131)(X_1 + X_3),9,0.3821898969547803,0.5187737878585861,0.3821898969547803,0.5187737878585861,0.6142696905653122,0.4841323609404766
