Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.7649232066381086 + sqrt(-0.6454725146258692 + (X_1)^(sin(X_2)) + X_4 + X_6 + X_8 + (X_9)((log(X_2))(sqrt(X_9)))),21,0.3999737468748014,0.3971362928628289,0.3999737468748014,0.3971362928628289,0.39838939795519257,0.38155485668371003
1,log((1 + X_1 + X_4 + X_6 + (-1.8459334850610463)((X_7)^(-1)) + X_8 + (X_9)((log((-1.2730891427130064)(X_2)))(sqrt(X_3))))^(1.6094502028638953)),28,0.3823037519720675,0.3811075180146722,0.3823037519720675,0.3811075180146722,0.4249672830154587,0.40651585404482693
2,sqrt(-0.17432494760406952 + X_0 + X_1 + X_4 + X_6 + X_7 + X_8 + (X_9)((log(X_2))(sqrt(X_9)))),21,0.3900358466686195,0.38198378399436655,0.3900358466686195,0.38198378399436655,0.4133372443396548,0.4051512785851309
3,sqrt(2.6647123513202557 + X_1 + X_4 + X_6 + X_8 + log(X_2) + log(X_3) + (X_9)((log(X_2))(sqrt(X_9)))),21,0.39229389444003476,0.3890997960953306,0.39229389444003476,0.3890997960953306,0.40994085772722977,0.39406978539825355
4,0.31020063218769867 + sqrt(-0.4323177967321312 + X_1 + X_4 + X_6 + X_7 + X_8 + (X_9)((log(X_2))(sqrt(X_9)))),21,0.38773674514068474,0.3796407450647654,0.38773674514068474,0.3796407450647654,0.4167953809428452,0.4088000033998971
5,sqrt(3.782406328214236 + X_1 + X_4 + X_6 + X_8 + (X_9)((log(X_2))(sqrt(X_9)))),17,0.39706893768088086,0.3936987304141967,0.39706893768088086,0.3936987304141967,0.4027585947378175,0.38690804106753396
6,(0.05963726469517824)((X_7 + X_8)(X_9)) + log((-2.3753427359118975)(((3)(X_2) + X_4 + (X_1)(X_6))^(0.9661450903640431))),22,0.3843136597901888,0.38745611398812535,0.3843136597901888,0.38745611398812535,0.4219441299661336,0.39662942861048467
7,sqrt(0.6247441498478736 + X_1 + X_4 + X_6 + X_7 + X_8 + log(X_3) + (X_9)((log(X_2))(sqrt(X_9))) + sqrt(log(X_2))),24,0.38517020408751085,0.37823353389393644,0.38517020408751085,0.37823353389393644,0.42065578008213167,0.4109913994769113
8,0.08512645418360254 + sqrt(X_1 + X_4 + X_5 + X_6 + X_7 + X_8 + (X_9)((log(X_2))(sqrt(X_3)))),22,0.3870540365492919,0.37691735259230624,0.3870540365492919,0.37691735259230624,0.4178222601565391,0.4130410382239751
9,sqrt(X_0 + X_1 + X_4 + X_6 + X_7 + X_8 + ((X_9)^(1.529785668283393))(log(X_2))),19,0.39044908669654427,0.3839398574186171,0.39044908669654427,0.3839398574186171,0.41271567958963973,0.40210516033570765
10,sqrt(-1.1520890764944114 + X_0 + X_1 + X_2 + X_3 + X_4 + X_7 + X_8 + (X_9)((log(X_2))(sqrt(X_9))) - (sqrt(X_8 - (sin(X_7))))),26,0.38996923120226995,0.38338440994721823,0.38996923120226995,0.38338440994721823,0.41343744234297175,0.4029701374159378
11,sqrt(1.7966469109399408 + X_1 + X_4 + X_6 + X_7 + X_8 + log(X_3) + (X_9)((log(X_2))(sqrt(X_9))) - (sin(X_9))),24,0.38625717169164164,0.37908204265283035,0.38625717169164164,0.37908204265283035,0.41902084468991196,0.4096700492743991
