Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,2211.7162038477254 + exp(sqrt(51.57746914990044 + (-48.57749159261768)(X_0) + (-2)(X_3) + (2)(X_4) - (X_7 + (X_5)(X_7)))),22,286565.56815776776,283235.717758516,286565.56815776776,283235.717758516,0.46610829607728355,0.4574745862514271
1,3092.1870412248727 + ((-11.807497655795487 - ((-23.936961286902104)^(X_3)))(-11.807497655795487 - ((-23.936961286902104)^(X_3))))^(X_7) + X_4 + (174.11277668373887)((((-11.807497655795487 - ((-23.936961286902104)^(X_3)))(-11.807497655795487 - ((-23.936961286902104)^(X_3))))(((-1702.6283231595926 + X_4)^(-1))(X_7)))(((exp(X_7))^(-1))((log(-23.936961286902104 + X_3))((sqrt(((-11.807497655795487 - ((-23.936961286902104)^(X_3)))^(-2))((-1702.6283231595926 + X_4)(exp(X_7)))))^(-1))))) - ((1071.2351666998761)^(X_0) + X_6 + log(-23.936961286902104 + X_3)),41,224922.0574403717,229167.12503763085,224922.0574403717,229167.12503763085,0.5809544696223544,0.561040569626839
2,X_3 + ((101.49898138246819)(X_0) + X_4 + (-2)(X_7) + exp(X_0) + log((9.24735773947351e-23)(((X_2)^(-1))((X_4 + exp(X_3))^(-1)))))((101.49898138246819)(X_0) + X_4 + (-2)(X_7) + exp(X_0) + log((9.24735773947351e-23)(((X_2)^(-1))((X_4 + exp(X_3))^(-1))))),25,230566.61910792463,236782.76332755983,230566.61910792463,236782.76332755983,0.5704382562965177,0.546453153368393
3,1599.5868686638437 + (335.22538135279666 + (-27.985403556510246)((X_3)(X_7)) + ((-1)(-27.985403556510246))(((X_3)(X_3))(X_7)))(((exp(X_0))^(-1))(log(X_2))) - ((15.689894580752158 + X_2)^(X_4)),27,228515.2035777532,230486.77517977747,228515.2035777532,230486.77517977747,0.5742601869628488,0.5585128385022572
4,1511.9286155108368 + (-742.8174879563749)(((exp(X_0))^(-1))(-1.9060861531233968 + (-0.4356541404514921)(X_7) + sin(X_3) + (-0.311418579562653)(((X_3)^(1 - (X_3)))(exp(X_3))))),25,230303.5147665189,235635.31632214462,230303.5147665189,235635.31632214462,0.5709284380934643,0.5486510370473794
5,3191.514540585806 + (52.87223008173717)(((X_3)^(1 + X_3))((-0.13198484427490337)(((X_1)((X_2)^(-1)))^((-1)(X_4))) + X_7)) + sin(X_0) - (sin(sin(X_3)) + (1045.1884414329309 + (52.87223008173717)(((X_3)^(1 + X_3))((-0.13198484427490337)(((X_1)((X_2)^(-1)))^((-1)(X_4))) + X_7)) - ((X_3)^(X_3) + sin(sin(X_3))))^(X_0)),34,224146.27702210148,233547.91943686432,224146.27702210148,233547.91943686432,0.5823998028214641,0.5526493528947108
6,372.2107667046513 + X_7 + exp(sqrt(X_0 + X_4 + log((-1.9527415187405198e-25)(((X_2)^(-1))((exp(X_3))^(-1)))) - (X_7))) + sqrt(X_0 + X_4 + log((-1.9527415187405198e-25)(((X_2)^(-1))((exp(X_3))^(-1)))) - (X_7)) - (X_4 + (-1807.3128868454885 + X_7 + exp(sqrt(X_0 + X_4 + log((-1.9527415187405198e-25)(((X_2)^(-1))((exp(X_3))^(-1)))) - (X_7))) + sqrt(X_0 + X_4 + log((-1.9527415187405198e-25)(((X_2)^(-1))((exp(X_3))^(-1)))) - (X_7)) - ((X_4)(X_0 + X_4 + log((-1.9527415187405198e-25)(((X_2)^(-1))((exp(X_3))^(-1)))) - (X_7))))^(X_0)),29,226742.69387128914,227690.4991320564,226742.69387128914,227690.4991320564,0.5775624965651058,0.5638689808410512
7,2982.138858711185 + (173.71306110120963)^(X_7) + (X_3)((((X_0)^((X_2)^(1 + X_4)) + ((173.71306110120963)^(-1))(1 + X_4))^(-1))(X_7)) - ((960.8481598739406 + X_0)^(X_0) + X_3),26,225367.0477221641,229382.82097996477,225367.0477221641,229382.82097996477,0.5801254215922561,0.5606274136474848
8,1523.7773991011459 + (X_2)(((exp(X_0))^(-1))(22.79672235617184 + X_3 - ((X_2)(0.061135138527254114 + sqrt((-0.00028054176910509627)((0.3783437984877056 + X_7)^(-1))))))),23,225382.90134247238,231663.38838265647,225382.90134247238,231663.38838265647,0.5800958851883743,0.5562590882698863
9,3119.427915572717 + (119.18652002726294)((((-0.48716174837285775)^(X_3))^(X_4))(((X_3)^(X_3))(X_7))) - ((970.0103454350341 + (119.18652002726294)((((-0.48716174837285775)^(X_3))^(X_4))(((X_3)^(X_3))(X_7))))^(X_0)),18,223029.77051839273,232888.82105757066,223029.77051839273,232888.82105757066,0.5844799325576984,0.5539118265112346
10,3099.7012134123347 + (126.21978152399457)(((0.3041128312409476)^(X_4))(((X_3)^(X_3))(X_7))) - ((984.0002062587199 + (-45.32849131468154)(X_7) + (126.21978152399457)(((0.3041128312409476)^(X_4))(((X_3)^(X_3))(X_7))))^(X_0)),20,221905.51915001156,230280.30095417582,221905.51915001156,230280.30095417582,0.5865744915187109,0.5589083306935649
11,exp(sqrt((123.04574079708878)(X_0) + X_4 + X_6 + ((-1)(2.0044945208682842e-28))((exp(X_3 - (X_0)))^(-1)) + log((2.0044945208682842e-28)((exp(X_3 - (X_0)))^(-1))) - ((X_0)((X_1)^(-1)) + X_7))),27,230123.9879256082,239761.05660096832,230123.9879256082,239761.05660096832,0.5712629091592305,0.5407483651333225
12,1447.86767777894 + (3.109953827721334)(X_1) + (144.68531553719802)((9.170589249051133 + X_3 + (-0.15042848255762958)(X_8) - ((-2.5893109733217976 + X_4)(X_7)))((exp(X_0))^(-1))),26,226022.04509297913,229907.06150640224,226022.04509297913,229907.06150640224,0.5789051156615143,0.5596232542471095
13,-2.249236138144589 + X_2 + (X_4)^((2.330573202612084)((X_4)^(1 + X_4)) - (X_4)) - (((X_3)(((X_4)^(X_4 - ((-2)(X_4) + (2.330573202612084)((X_4)^(1 + X_4)))))(X_7)))^(((X_0)^(X_0))^(((X_4 - ((X_8)(X_8)))^(-1))(sqrt(X_0))))),33,8386873.29436678,8423065.440565068,8386873.29436678,8423065.440565068,-14.625331760891218,-15.134007036040465
14,3113.997601610978 + (56.21970955151103)((((1 + X_4)^(-1))((X_7)(X_7)))((exp(X_3))(sqrt(X_7)))) - ((1083.63907302038 + X_0 - ((X_5)(X_5)))^(X_0) + exp(X_3)),26,227311.23659181583,229471.89911307412,227311.23659181583,229471.89911307412,0.5765032616969177,0.5604567884473739
15,3187.144047941529 + X_4 + X_6 + ((1 + X_3)^((5.473045391705552)((-319932.12239887024)^((-1)(X_4)))))(X_7) - ((1038.3122771553064 + X_6 + ((1 + X_3)^((5.473045391705552)((-319932.12239887024)^((-1)(X_4)))))(X_7) - ((X_6)(sqrt(X_3))))^(X_0)),26,224510.0522367165,231641.55570576142,224510.0522367165,231641.55570576142,0.5817220641439802,0.5563009077909533
16,1579.1921780324085 + (17.855999136048275 + (X_3)^(X_3) + (-2.709260059003875)(X_4) + (3.8957497249064046)(X_7) - (X_0))(((exp(X_0))^(-1))(log((6.763239402221114e+17)((X_2)^(7.069887991582988))))),27,222729.853519535,225820.9131745324,222729.853519535,225820.9131745324,0.5850386989111893,0.567450089548566
17,2312.0038786681803 + ((-0.8371797693202285 + (0.0012308494317658353)(((3.599911346426867)^((-1)(X_4)))((X_3)(X_7))) + (0.0008725271037860634)((X_7)(X_7)) + sin(exp(X_0)))((exp(X_0))^((-1)(6.046250298234498))))((33088.696106752635 + (exp(X_0))^(6.046250298234498))(log(X_2))),34,223049.15507744622,227359.93244153642,223049.15507744622,227359.93244153642,0.5844438177678812,0.5645021666269581
18,3150.5254023822968 + (X_8)^(X_7) + (218.06409591202402)((((-193268.60109649744)^((-1)(X_4)))(X_3))((X_7)((exp(X_8))((X_8 + exp(X_8))^(-1))))) - (X_5 + (1006.1304523707558 + (X_8)^(X_7) + (218.06409591202402)((((-193268.60109649744)^((-1)(X_4)))(X_3))((X_7)((exp(X_8))((X_8 + exp(X_8))^(-1))))) + (6.54313211017775e-06)(((-193268.60109649744)^(X_4))(X_8 + exp(X_8))))^(X_0)),34,225763.81165475803,231613.01013426515,225763.81165475803,231613.01013426515,0.5793862226250199,0.5563555855629141
19,3143.2472407983632 + X_1 + (104.93832017562396)(((sin(3.1915308692706956))^(X_4))(((X_3)^(X_3))(X_7))) - ((980.381447610173 + X_1 + ((-1)(3.1915308692706956))(((sin(3.1915308692706956))^((-1)(X_4)))((X_3)^((-1)(X_3)))) + (104.93832017562396)(((sin(3.1915308692706956))^(X_4))(((X_3)^(X_3))(X_7))))^(X_0)),30,224709.10263958442,230720.72220943402,224709.10263958442,230720.72220943402,0.5813512193162613,0.558064723377286
20,exp(sqrt(64.30416233082325 + (-6.861768867206381)(X_0) + (1.5053939752269314)(1 + X_3) - (X_3 + X_7))),16,256784.25376627874,254940.29620949546,256784.25376627874,254940.29620949546,0.5215929685302438,0.5116732071194376
21,2156.3412106486985 + (-2)(X_3) + (X_3 + X_7 + X_8 + (-320.0886639224229 - (exp((X_3)(X_0 + X_3))))(X_7 + sqrt(log(-320.0886639224229 - (exp((X_3)(X_0 + X_3)))))) - (log(-320.0886639224229 - (exp((X_3)(X_0 + X_3))))))^(X_0) - (X_6 + X_8 + (-320.0886639224229 - (exp((X_3)(X_0 + X_3))))(X_7 + sqrt(log(-320.0886639224229 - (exp((X_3)(X_0 + X_3))))))),26,229780.70318486635,238378.27531936433,229780.70318486635,238378.27531936433,0.5719024726502095,0.543397021146282
22,exp(sqrt((6.462433373473089)(X_0) + X_4 + ((-1)((60.25952003009476)((exp(60.25952003009476))^(-1))))(((X_2)^(-1))((60.25952003009476 - (X_4))^(-1))) + log(((60.25952003009476)((exp(60.25952003009476))^(-1)))(((X_2)^(-1))((60.25952003009476 - (X_4))^(-1)))) - (X_7))),25,234958.7579460809,231850.7639406023,234958.7579460809,231850.7639406023,0.5622553943314773,0.5559001787266076
