Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(0.42119163705182794)(X_1 + (0.8665283807387018)(-1.005180639195403 + X_0 + (X_2)(X_2) + (1.6684722912288477)(X_3) + X_4)),18,0.19475307462957053,0.23196110642108717,0.19475307462957053,0.23196110642108717,0.8034428321136146,0.7693383298778005
1,(0.4312123651962363)(X_1 + (0.8036982288746678)(1.4832002610097188 + X_0 + (1.0241549227071902)((X_2)(X_2)) + (2.7298994320134145)(X_3) + X_4 - (X_3 + exp(sqrt(X_0))))),24,0.160519897653746,0.17808632488495674,0.160519897653746,0.17808632488495674,0.8379931277991638,0.8229113071683709
2,(0.44192307738057945)(0.2914474997448948 + X_0 + X_1 + (0.659163096490776)((1.2481225722541773)((X_2)(X_2)) + (3.607025997661085)(X_3) + X_4) - (X_3 + sqrt((1.5759724547555345)(X_0)))),25,0.14733178084869147,0.20518081256261358,0.14733178084869147,0.20518081256261358,0.8513034125989641,0.7959686016637315
3,(0.42288116759970906)(X_1 + (0.6067901627252594)(-1.4107436271816969 + (1.4318600274050368)((X_2)(X_2)) + (-2)(X_3) + (4.39181806408247)(X_3) + X_4 + (X_0)((sqrt(X_1))^(-1)))),27,0.17279971937800281,0.3498015487823314,0.17279971937800281,0.3498015487823314,0.8255995520630139,0.6521580246862902
4,(0.3857014916751574)(0.44351774456413756 + X_0 + X_1 + (0.9082706612807075)((X_2)(X_2)) + (1.5460481369451538)(X_3) + X_4 - (sqrt((-2.4283263124058143)(X_0)))),22,0.1595028375430662,0.17687398155932277,0.1595028375430662,0.17687398155932277,0.8390196094365174,0.8241168589980151
5,(0.20643516323215771)(X_0 + (2)(X_1) + (1.2473477517391842)(-3.2604697269741667 + X_0 + (2.466976637963289)(X_3) + X_4 + (3.7408657774421576)(sqrt(X_2)))),23,0.1982481966899065,0.29074951460008236,0.1982481966899065,0.29074951460008236,0.7999153330232739,0.7108792518728171
6,(-1.1373718686746187e-06)(X_1 + (-219209.15285324553)(-1.1441927695029814 + (1.0988080577822659)((X_2)(X_2)) + (2.327467786688717)(X_3) + X_4 + (X_0)((sqrt(X_1))^(-1)))),24,0.3371294055371368,0.5184312493822694,0.3371294055371368,0.5184312493822694,0.6597475994171602,0.4844729805307493
7,(0.4221494451673648)(X_1 + (0.9378638950414584)(-0.34180624386097636 + X_0 + (0.9163493088678456)((X_2)(X_2)) + (2.5199605474200446)(X_3) + X_4 - (X_3 + sqrt((X_0)((-2.43539978363602 + sin(X_0))^(-1)))))),29,0.17583416656643713,0.194537411647587,0.17583416656643713,0.194537411647587,0.8225369953018746,0.8065523786973842
8,(0.7973185760117316)(X_1 + (0.4625782677175783)(0.4478998607198795 + X_0 + (0.9735892361910872)((X_2)(X_2)) + (1.6208127162857668)(X_3) + X_4 - (X_1 + sqrt((2.6708381823047564)(X_0))))),25,0.15709790884952557,0.18079804870283328,0.15709790884952557,0.18079804870283328,0.8414468161641656,0.8202147743125305
9,(0.4171047490777862)(-2.0135447487329166 + X_1 + (0.5682695042533032)((2)(X_0) + (2.6872082214217565)(X_3) + X_4 + (4.074924055643462)(sqrt(X_2)))),22,0.19896772533222193,0.2997493877734361,0.19896772533222193,0.2997493877734361,0.7991891390342154,0.7019297956080015
