Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,18.851349,1,20.57925493061181,16.92298485313433,20.57925493061181,16.92298485313433,-2.686739719592879e-13,-0.7105442910850062
1,x1 * 1.8337514,3,10.326556033483381,12.526706713077328,10.326556033483381,12.526706713077328,0.49820554396625316,-0.2661765545563337
2,sqrtabs(-34.99052 * x1),4,9.385806301741694,9.282017865108957,9.385806301741694,9.282017865108957,0.5439190420940483,0.06179064705772008
3,(x1 + 4.689179) + x0,5,6.991234477824785,10.054744294041,6.991234477824785,10.054744294041,0.6602775707186976,-0.016315124060747976
4,(sqrtabs(x0) + 0.96612805) / 0.15246846,6,5.149760358043586,9.41794017373485,5.149760358043586,9.41794017373485,0.7497596304915461,0.04805186923165261
5,(sqrtabs(sin(exp(x0))) + sqrtabs(x0)) / 0.15246846,9,4.586288047717173,13.510205586129953,4.586288047717173,13.510205586129953,0.7771402286826106,-0.365586818005049
6,(sqrtabs(sqrtabs(x0 + -0.9855484)) + sqrtabs(sqrtabs(x0))) / 0.13866805,11,4.548290636253644,16.14305364245686,4.548290636253644,16.14305364245686,0.7789866226162908,-0.6317102738332405
7,(x0 + exp(exp(sin(sqrtabs(sqrtabs(x0)))))) + exp(sin(exp(sqrtabs(x0)))),14,4.150149264007184,11.648042869213327,4.150149264007184,11.648042869213327,0.7983333566739135,-0.1773628237075464
8,(x0 + exp(exp(sin(sqrtabs(sqrtabs(x0)))))) + exp(sin(sqrtabs(exp(exp(sqrtabs(sqrtabs(x0))))))),17,4.033699360980265,14.09571815237781,4.033699360980265,14.09571815237781,0.803991963043269,-0.42476935502471114
9,(sin(sin(x0 + -2.0603929)) + (x0 + exp(exp(sin(sqrtabs(sqrtabs(x0 + -0.085101105))))))) + 0.94407654,18,3.9931262347895826,15.46465616298551,3.9931262347895826,15.46465616298551,0.8059635177145871,-0.5631391000322279
10,sqrtabs(1.8337514) + ((x0 + (sin(exp(sqrtabs(x1))) + exp(exp(sin(sqrtabs(sqrtabs(x0))))))) + sin(exp(sqrtabs(x0)))),21,3.9493927269433122,12.14034639535717,3.9493927269433122,12.14034639535717,0.8080886436238457,-0.22712396179486216
11,sqrtabs(1.8337514) + ((x0 + (sin(exp(x1 + x1)) + exp(exp(sin(sqrtabs(sqrtabs(x0))))))) + sin(exp(sqrtabs(x0)))),22,4.025730123203102,10.135973437467213,4.025730123203102,10.135973437467213,0.8043792092192863,-0.02452561699466438
12,x1 + (sqrtabs(((x1 + ((x1 + -3.2933264) * (x0 * -11.801156))) + -34.34804) + (((x1 * 16.259117) + (x0 + ((x0 * 58.784157) + -34.99052))) + (x0 * 58.42045))) + -6.0555005),32,3.3233811381354372,8.45141479189961,3.3233811381354372,8.45141479189961,0.838508189468377,0.14574648329855688
13,(sin(sin(x1) + sqrtabs(x0)) + x0) + (sin((((x1 + sqrtabs(x0)) + sin(x1)) + x0) + (x0 * (x1 + sqrtabs(x0)))) + exp(exp(sin(sqrtabs(sqrtabs(x0)))))),33,3.2558842463688524,14.241601855079406,3.2558842463688524,14.241601855079406,0.8417880405608575,-0.43951501230586976
14,(sin(sin(x1) + sqrtabs(x0)) + x0) + (sin(exp(x0) + exp(x0)) + (exp(exp(sin(sqrtabs(sqrtabs(x0))))) + sin(((x1 + sqrtabs(x0)) + x0) + (x0 * (x1 + sqrtabs(x0)))))),37,2.8927633125215424,14.318903653604382,2.8927633125215424,14.318903653604382,0.8594330396180033,-0.44732853641553705
15,(sin(sin(x1) + sqrtabs(x0)) + x0) + (sin(exp(x0) + exp(x0)) + (exp(exp(sin(sqrtabs(sqrtabs(x0))))) + sin(((x1 + sqrtabs(x0)) + (sin(x0) + x0)) + (x0 * (x1 + sqrtabs(x0)))))),40,2.809638132916122,13.793729744094948,2.809638132916122,13.793729744094948,0.8634723102274457,-0.3942449202252305
16,(sin(sin(x1) + sqrtabs(x0)) + x0) + (sin(exp(sin(x0)) + exp(sqrtabs(x0))) + (exp(exp(sin(sqrtabs(sqrtabs(x0))))) + sin(((x1 + sqrtabs(x0)) + (sin(x1) + x0)) + (x0 * (x1 + sqrtabs(x0)))))),42,2.5374556959581445,16.320256664346125,2.5374556959581445,16.320256664346125,0.8766983690850566,-0.6496216304932068
17,(sin(sin(x1) + sqrtabs(x0)) + (x0 + sin((sqrtabs(sqrtabs(x1)) * (sqrtabs(x0) + sqrtabs(x0))) + exp(sqrtabs(sin(sqrtabs(x1))))))) + (sin((((x1 + sqrtabs(x0)) + sin(x0)) + x0) + (x0 * (x1 + sqrtabs(x0)))) + exp(exp(sin(sqrtabs(sqrtabs(x0)))))),50,2.519888486783149,16.98463835205283,2.519888486783149,16.98463835205283,0.8775520058777506,-0.7167761137519704
