Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,x3,1,0.8717431191201882,0.9659013188630099,0.8717431191201882,0.9659013188630099,0.08932975676955501,0.09668063821866546
1,sin(x3),2,0.7314107750964249,0.814335675666775,0.7314107750964249,0.814335675666775,0.23592855068283336,0.23842615342425977
2,x3 * 0.54458755,3,0.6715428496577535,0.7518931210159909,0.6715428496577535,0.7518931210159909,0.2984698395386166,0.2968229766955428
3,sin(x0 + x3),4,0.6152414525410217,0.7667184826626203,0.6152414525410217,0.7667184826626203,0.3572853390612908,0.28295816881167435
4,(x4 + x3) * 0.43402794,5,0.5448399061644581,0.650244916952583,0.5448399061644581,0.650244916952583,0.43083062087234847,0.39188526621478836
5,x3 + sin(x1 + x0),6,0.4579571030916518,0.38486728917180857,0.4579571030916518,0.38486728917180857,0.521593119217858,0.6400687448750679
6,sin(x3) + sin(x1 + x0),7,0.3693683289134926,0.2745211113231865,0.3693683289134926,0.2745211113231865,0.6141377677029909,0.7432654555561968
7,sin(sin(x3)) + sin(x1 + x0),8,0.3626407506157707,0.2750044268376074,0.3626407506157707,0.2750044268376074,0.6211657616502464,0.7428134546597288
8,((x1 + x0) + (x4 + x3)) * 0.39836642,9,0.3424549817581822,0.3152637115212614,0.3424549817581822,0.3152637115212614,0.6422529129361508,0.705162619490542
9,((x4 + sin(x1 + x0)) + x3) * 0.41293168,10,0.33038662677101915,0.3718001629400112,0.33038662677101915,0.3718001629400112,0.6548601724951859,0.6522892356203522
10,(sin(x1 + x0) + (x3 + sin(x4))) * 0.544577,11,0.27283970505489064,0.2943888127958361,0.27283970505489064,0.2943888127958361,0.7149768147111653,0.7246850073635578
11,((x4 + (x1 + x0)) + ((x3 + sin(x1 + x0)) + x3)) * 0.28250012,16,0.2627695426321978,0.22122690196899852,0.2627695426321978,0.22122690196899852,0.725496653711557,0.7931066662889193
12,((x3 + (sin(x0 + x1) + (x4 + x3))) + sin(x1 + x0)) * 0.31205112,17,0.2531756646438366,0.23484224678860743,0.2531756646438366,0.23484224678860743,0.735518940104826,0.780373476725249
13,((((x4 + (x3 + x0)) + x3) + x1) + sin(x1 + (x0 + 0.28250012))) * 0.28250012,18,0.25226898823833616,0.22006389048637168,0.25226898823833616,0.22006389048637168,0.7364661035577039,0.7941943247999022
14,((x3 + (x4 + (x3 + sin(x1 + x0)))) + sin(x1 + (x0 + 0.31205112))) * 0.31205112,19,0.24734379536241757,0.23300543404021432,0.24734379536241757,0.23300543404021432,0.7416112277300592,0.7820912800734662
15,(sin(x0 + x3) + ((sin(x1 + x0) + sin(x1 + 1.0584582)) + (x4 + (x3 + -0.32211316)))) * 0.41293168,22,0.22928848814135996,0.2564005658435915,0.22928848814135996,0.2564005658435915,0.7604727829955548,0.7602119481824057
16,(sin(x0 + x3) + ((sin(x1 + x0) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,23,0.21705178046306486,0.2526419951428625,0.21705178046306486,0.2526419951428625,0.7732559129260549,0.7637269963765515
17,(sin(x0 + x1) + ((sin(x0 + sin(x3)) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,24,0.21402949533958218,0.2287226364381145,0.21402949533958218,0.2287226364381145,0.7764131562333396,0.7860965898509924
18,(sin((x0 + 0.010135409) + x1) + ((sin(x0 + sin(x3)) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,26,0.21380457645669645,0.22871543570658398,0.21380457645669645,0.22871543570658398,0.7766481187231972,0.7861033240381019
19,(((x4 + 0.19688605) + ((x1 * x1) * (-0.4780185 * powabs((x0; 1.8046529 + 1.1860132)))) + ((x3 + x0) + ((3.7062214e-6 + (x1 + x3)) + 0.38267317))) * 0.30239978,29,0.20563455607849807,0.25046620224259214,0.20563455607849807,0.25046620224259214,0.7851829660673559,0.765761816927738
20,((sin(x0 + 1.2016132) + sin(sin(x3 + x1) + sin(sin(x4)))) + ((sin(sin(sin(x4)) + -0.86346865) + x3) + sin(x0 + x1))) * 0.4608925,30,0.20348829703813204,0.24478604362981105,0.20348829703813204,0.24478604362981105,0.7874250649144319,0.7710739509446519
21,(sin(sin(sin(x0 + 1.6743448)) + (sin(x1 + x0) + -0.47686663)) + ((sin(x0 + x3) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,32,0.19421390015935958,0.24759414501273327,0.19421390015935958,0.24759414501273327,0.7971136039761815,0.7684477899699216
22,(sin(sin(sin(x0 + 1.6743448)) + (sin(x1 + x0) + -0.47686663)) + ((sin(x0 + sin(x3)) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,33,0.18703100175880538,0.2173658568997424,0.18703100175880538,0.2173658568997424,0.8046172500504218,0.7967175494088171
23,(sin(sin(sin(x0 + 1.6743448)) + (sin(x1 + x0) + sin(-0.51343673))) + ((sin(x0 + sin(x3)) + sin(x1 + 1.0584582)) + (sin(x4) + (x3 + -0.32211316)))) * 0.41293168,34,0.18632338717662247,0.2166981724703844,0.18632338717662247,0.2166981724703844,0.8053564627032505,0.7973419737271408
