id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,x3,"x[:, 3]",,1,0.35224303849124694,0.35224303849124694,0.2131222272814995,0.35224303849124694,0.7359999452099656,0.7359999452099656,0.7163903300513507,0.35224303849124694,0.35224303849124694,0.2131222272814995
1,0,(x3 * 1.046389666997933),"(x[:, 3] * t[0])",1.046389666997933,3,0.3469718191919008,0.3469718191919008,0.219995064758112,0.3469718191919008,0.7399506327517217,0.7399506327517217,0.7072443897465029,3.64280868519623,3.64280868519623,3.5158319307624413
2,0,((x2 * x3) ^ 0.47185392798984527),"(x[:, 2] * x[:, 3]) ** t[0]",0.47185392798984527,5,0.21200175309244987,0.21200175309244987,0.10014423525945598,0.21200175309244987,0.8411083589565933,0.8411083589565933,0.8667343436136298,8.259191315262951,8.259191315262951,8.147333797429958
3,0,((x3 * 0.6331592174016122) + (x2 * 0.35061965489622693)),"((x[:, 3] * t[0]) + (x[:, 2] * t[1]))",0.6331592174016122;0.35061965489622693,7,0.18060498159228675,0.18060498159228675,8.917445832875201e-2,0.18060498159228675,0.8646396952514885,0.8646396952514885,0.8813322335400426,11.44667036863099,11.44667036863099,11.355239845367455
4,0,(-9.56947825447451e-2 + ((x2 * 0.35784046013977605) + (x3 * 0.672882682622794))),"(t[0] + ((x[:, 2] * t[1]) + (x[:, 3] * t[2])))",-9.56947825447451e-2;0.35784046013977605;0.672882682622794,9,0.17754987581362042,0.17754987581362042,8.184960652257334e-2,0.17754987581362042,0.8669294441033378,0.8669294441033378,0.8910796861153631,14.662491087720522,14.662491087720522,14.566790818429475
5,0,((x3 * 0.7447430342799107) + ((x4 * -0.18357719398555974) + (x2 * 0.5034326500127628))),"((x[:, 3] * t[0]) + ((x[:, 4] * t[1]) + (x[:, 2] * t[2])))",0.7447430342799107;-0.18357719398555974;0.5034326500127628,11,0.1525879663572434,0.1525879663572434,9.416549831580279e-2,0.1525879663572434,0.8856379627794597,0.8856379627794597,0.8746904711040752,19.861942127865845,19.861942127865845,19.803519659824406
6,0,((((x4 * -0.1692531808210644) + -4.93604896263261e-2) + (x2 * 0.5023160948017823)) + (x3 * 0.756005772700659)),"((((x[:, 4] * t[0]) + t[1]) + (x[:, 2] * t[2])) + (x[:, 3] * t[3]))",-0.1692531808210644;-4.93604896263261e-2;0.5023160948017823;0.756005772700659,13,0.15405240302276735,0.15405240302276735,8.982957155736096e-2,0.15405240302276735,0.8845403928698007,0.8845403928698007,0.8804604500150921,23.446925502987483,23.446925502987483,23.382702671522075
7,0,((x3 * ((0.8748358638930095 ^ x0) + -0.2042243758132273)) + ((x4 * -0.22766657987235406) + (x2 * 0.5831526748408588))),"((x[:, 3] * (t[0] ** x[:, 0] + t[1])) + ((x[:, 4] * t[2]) + (x[:, 2] * t[3])))",0.8748358638930095;-0.2042243758132273;-0.22766657987235406;0.5831526748408588,15,0.15254571589707075,0.15254571589707075,0.10579744011766871,0.15254571589707075,0.8856696287673761,0.8856696287673761,0.8592114137698453,31.344168841094607,31.344168841094607,31.297420565315207
8,0,(((x4 * -0.1992965355339976) + ((x3 * 0.7732538243874199) + (x2 * 0.5132457017621779))) + (Sin(x1) * -6.720062174927374e-2)),"(((x[:, 4] * t[0]) + ((x[:, 3] * t[1]) + (x[:, 2] * t[2]))) + (np.sin(x[:, 1]) * t[3]))",-0.1992965355339976;0.7732538243874199;0.5132457017621779;-6.720062174927374e-2,16,0.15083079379679468,0.15083079379679468,9.476007257965213e-2,0.15083079379679468,0.8869549331707582,0.8869549331707582,0.8738992490298635,33.421895460674165,33.421895460674165,33.365824739457025
9,0,(((Sin(((x3 * x3) * x2)) * x3) * 0.18049343055312767) + ((x2 * 0.33527218126283276) + (x3 * 0.6478716577286263))),"(((np.sin(((x[:, 3] * x[:, 3]) * x[:, 2])) * x[:, 3]) * t[0]) + ((x[:, 2] * t[1]) + (x[:, 3] * t[2])))",0.18049343055312767;0.33527218126283276;0.6478716577286263,18,0.1439986925284352,0.1439986925284352,0.1234007318568212,0.1439986925284352,0.8920754747062378,0.8920754747062378,0.8357860591091294,32.39566913863342,32.39566913863342,32.37507117796181
