id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,20.90301964750141,"t[0]",20.90301964750141,1,239.0631163393245,244.33325001166745,250.98321937365662,244.33325001166745,0.0,-1.132165031139043e-2,-6.680753332086509e-3,239.0631163393245,244.33325001166745,250.98321937365662
1,0,(21.257019647501405 - x0),"(t[0] - x[:, 0])",21.257019647501405,3,229.64899751592787,235.29125668281083,241.8725356189608,235.29125668281083,3.93792190428669e-2,2.6104134410939173e-2,2.9861729501768797e-2,232.9448343819322,238.58709354881515,245.16837248496512
2,0,(25.050346780114747 / Exp(x8)),"(t[0] / np.exp(x[:, 8]))",25.050346780114747,4,171.10578335097617,183.4322949110027,187.84615508417446,183.4322949110027,0.28426523517701574,0.24075396532832727,0.24655875646752146,176.65096079545572,188.97747235548226,193.391332528654
3,0,((x0 * -21.08324767669994) + 28.366489325052754),"((x[:, 0] * t[0]) + t[1])",-21.08324767669994;28.366489325052754,5,137.41231622769536,146.07707193556683,152.68701585247135,146.07707193556683,0.42520486500873156,0.39537125849437726,0.38758025127743934,144.3437880332948,153.00854374116628,159.6184876580708
4,0,((33.35320672678313 / Exp(x0)) + -4.986717402238675),"((t[0] / np.exp(x[:, 0])) + t[1])",33.35320672678313;-4.986717402238675,6,137.4123162276954,146.07707193542166,152.6870158522359,146.07707193542166,0.4252048650087312,0.3953712584949781,0.3875802512783837,147.0689437023,155.73369941002625,162.3436433268405
5,0,((x0 * (x1 * -0.32722133015134075)) + 28.33656055818558),"((x[:, 0] * (x[:, 1] * t[0])) + t[1])",-0.32722133015134075;28.33656055818558,7,135.60499741406827,144.42232878033755,152.67630607646004,144.42232878033755,0.4327648719278323,0.4022204187233188,0.3876232076368724,146.87106280110697,155.68839416737626,163.94237146349874
6,0,((x8 * -6.9425652298765925) + (28.732925815890855 / Exp(x0))),"((x[:, 8] * t[0]) + (t[1] / np.exp(x[:, 0])))",-6.9425652298765925;28.732925815890855,8,130.4307717578978,143.65997963947,147.46799093320988,143.65997963947,0.454408635865161,0.40537586396549863,0.4085134911589441,145.99805295034028,159.2272608319125,163.03527212565237
7,0,((x0 * (-15.812937458132229 + (x8 * -8.220488488534887))) + 28.212357317094536),"((x[:, 0] * (t[0] + (x[:, 8] * t[1]))) + t[2])",-15.812937458132229;-8.220488488534887;28.212357317094536,9,132.26089816657333,142.30491386170814,147.67941417771536,142.30491386170814,0.4467532248728695,0.4109846272368961,0.4076654834252723,146.74583937848024,156.78985507361506,162.16435538962227
8,0,((x0 * (-16.32702487211139 + (-9.445281512295447 * Sin(x8)))) + 28.326693418586235),"((x[:, 0] * (t[0] + (t[1] * np.sin(x[:, 8])))) + t[2])",-16.32702487211139;-9.445281512295447;28.326693418586235,10,132.19642920235611,142.22775925758575,147.60792246088917,142.22775925758575,0.44702289827629693,0.4113039784572743,0.4079522330156681,150.11402389463666,160.1453539498663,165.52551715316972
9,0,((28.53016164201097 / Exp(x0)) + ((x4 * -0.4814916424010025) * Sin(x8))),"((t[0] / np.exp(x[:, 0])) + ((x[:, 4] * t[1]) * np.sin(x[:, 8])))",28.53016164201097;-0.4814916424010025,11,132.18967850036347,141.07734213632983,147.56250910132962,141.07734213632983,0.44705113643405214,0.4160656788871562,0.408134383659551,156.3591488510619,165.24681248702825,171.73197945202804
10,0,((((x4 * -0.50836652359206) * Sqrt(x8)) + 3.6539218939614657) + (25.122823631750215 / Exp(x0))),"((((x[:, 4] * t[0]) * np.sqrt(x[:, 8])) + t[1]) + (t[2] / np.exp(x[:, 0])))",-0.50836652359206;3.6539218939614657;25.122823631750215,13,133.2636771112675,141.2566540235033,147.71051140257904,141.2566540235033,0.44255860480746867,0.4153234876641112,0.40754075405957835,161.82759661663835,169.82057352887415,176.2744309079499
11,0,((((x4 * -0.4287131980411895) * Sqrt(Sin(x8))) - x2) + (28.733637954400553 / Exp(x0))),"((((x[:, 4] * t[0]) * np.sqrt(np.sin(x[:, 8]))) - x[:, 2]) + (t[1] / np.exp(x[:, 0])))",-0.4287131980411895;28.733637954400553,14,132.23881218035083,139.87622272209867,146.88930663900405,139.87622272209867,0.44684561045940696,0.42103724157116795,0.41083456402862184,167.02750527738283,174.66491581913067,181.67799973603604
12,0,((Sqrt(x1) * (x0 * -1.765571238336965)) + (28.462164274144293 + ((x4 * -0.897205271031214) * Sin(x8)))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + (t[1] + ((x[:, 4] * t[2]) * np.sin(x[:, 8]))))",-1.765571238336965;28.462164274144293;-0.897205271031214,15,134.9991382683161,141.3431605377241,150.40499580020563,141.3431605377241,0.4352991781605521,0.41496542788010604,0.3967333160562988,167.9575069283594,174.30152919776737,183.36336446024893
13,0,(((x4 * -0.4757649433320914) * Sin(x8)) + (((36.61917707172432 - x2) - Sqrt(x1)) / Exp(x0))),"(((x[:, 4] * t[0]) * np.sin(x[:, 8])) + (((t[1] - x[:, 2]) - np.sqrt(x[:, 1])) / np.exp(x[:, 0])))",-0.4757649433320914;36.61917707172432,16,131.71345428248404,139.16833283389238,146.9051749994197,139.16833283389238,0.44904318031422763,0.4239672740982404,0.4107709168530965,172.75264400186862,180.20752255327696,187.94436471880428
14,0,(((2.024938766048616 - x7) + (((x4 * -0.47979299150920707) * Sin(x8)) - x2)) + (28.03167330061716 / Exp(x0))),"(((t[0] - x[:, 7]) + (((x[:, 4] * t[1]) * np.sin(x[:, 8])) - x[:, 2])) + (t[2] / np.exp(x[:, 0])))",2.024938766048616;-0.47979299150920707;28.03167330061716,17,131.50536290109463,139.15577085310863,146.0511158251492,139.15577085310863,0.4499136256785139,0.4240192694903403,0.41419650416961284,173.74877594749063,181.39918389950464,188.2945288715452
15,0,((Sqrt(x1) * (x0 * -2.2368113236823355)) + (((x4 * -0.42913110013375494) * Sin(x8)) + ((28.552231960019835 - x2) - x2))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + (((x[:, 4] * t[1]) * np.sin(x[:, 8])) + ((t[2] - x[:, 2]) - x[:, 2])))",-2.2368113236823355;-0.42913110013375494;28.552231960019835,19,131.39650857924752,138.3627486462897,146.48025900450315,138.3627486462897,0.45036896284433847,0.42730167385771733,0.4124752330019328,176.95651876241658,183.92275882945876,192.0402691876722
16,0,((Sqrt(x1) * (x0 * -2.248806929850616)) + ((28.749146884091285 - x2) + (((x4 * -0.43719141510942783) * Sqrt(Sin(Sin(x8)))) - x2))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + ((t[1] - x[:, 2]) + (((x[:, 4] * t[2]) * np.sqrt(np.sin(np.sin(x[:, 8])))) - x[:, 2])))",-2.248806929850616;28.749146884091285;-0.43719141510942783,21,131.30425227002448,137.98345633403733,146.23117787142522,137.98345633403733,0.4507548705938722,0.42887160560936866,0.41347428458519575,181.66005299879026,188.3392570628031,196.586978600191
17,0,((Sqrt(x1) * (x0 * -1.2055311797185009)) + (35.1370149384518 + ((((x4 * -1.1745840092643653) * Sin(x8)) - x2) - (x2 + Sqrt(x1))))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + (t[1] + ((((x[:, 4] * t[2]) * np.sin(x[:, 8])) - x[:, 2]) - (x[:, 2] + np.sqrt(x[:, 1])))))",-1.2055311797185009;35.1370149384518;-1.1745840092643653,22,144.97668062913948,146.3100463273606,159.35729759140924,146.3100463273606,0.3935631608543051,0.39440695238222145,0.36082609511254293,197.73037663070363,199.06374232892475,212.1109935929734
18,0,((Sqrt(x1) * (x0 * -1.7942931567900477)) + ((30.626499844600435 - x2) + ((((x4 * -0.21739091373752106) * Sin(x8)) - x2) - (x2 + Sqrt(x1))))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + ((t[1] - x[:, 2]) + ((((x[:, 4] * t[2]) * np.sin(x[:, 8])) - x[:, 2]) - (x[:, 2] + np.sqrt(x[:, 1])))))",-1.7942931567900477;30.626499844600435;-0.21739091373752106,24,159.23223246156078,173.061916983242,180.03911580393125,173.061916983242,0.33393224810326794,0.2836780770476899,0.2778723885244435,216.78171900872167,230.61140353040292,237.58860235109216
19,0,((Sqrt(x1) * (x0 * -2.3315169251859906)) + (19.644199733677606 + (((18.93349447797718 - x7) + (((x4 * -0.33014559128261745) * x8) - x2)) - (x2 + Sqrt(x1))))),"((np.sqrt(x[:, 1]) * (x[:, 0] * t[0])) + (t[1] + (((t[2] - x[:, 7]) + (((x[:, 4] * t[3]) * x[:, 8]) - x[:, 2])) - (x[:, 2] + np.sqrt(x[:, 1])))))",-2.3315169251859906;19.644199733677606;18.93349447797718;-0.33014559128261745,25,130.5881236732853,136.13686261393113,145.2951325798071,136.13686261393113,0.4537504334715965,0.4365148559994948,0.4172287139915548,190.53550549324459,196.0842444338904,205.24251439976638
