id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,998.2974683544277,"t[0]",998.2974683544277,1,9848442.765942957,7181471.596806819,1.3478948068939269e7,7181471.596806819,-4.440892098500626e-16,-1.881919376852359e-2,-9.424947899658864e-4,9848442.765942957,7181471.596806819,1.3478948068939269e7
1,0,(x2 * 54.24488216067449),"(x[:, 2] * t[0])",54.24488216067449,3,1.0412007826841626e7,6911713.983473707,1.356266908676114e7,6911713.983473707,-5.722377377746923e-2,1.9450711002967025e-2,-7.159591555705669e-3,1.0412011122678492e7,6911717.279310573,1.3562672382598005e7
2,0,((x2 + x1) * 54.24205070272794),"((x[:, 2] + x[:, 1]) * t[0])",54.24205070272794,5,1.0284588732029306e7,6878987.372919218,1.3427614530696543e7,6878987.372919218,-4.428577963559843e-2,2.4093561501008054e-2,2.869517807180033e-3,1.0284596779218867e7,6878995.42010878,1.3427622577886105e7
3,0,((x2 + (x1 * x0)) * 58.01365283519627),"((x[:, 2] + (x[:, 1] * x[:, 0])) * t[0])",58.01365283519627,7,1.001033318794768e7,6832257.916873116,1.3137411125706024e7,6832257.916873116,-1.6438174628435887e-2,3.0722964136994158e-2,2.441993247619445e-2,1.0010345730263963e7,6832270.459189401,1.3137423668022308e7
4,0,((x2 ^ Sin((x1 ^ x0))) * 132.50647752481066),"(x[:, 2] ** np.sin(x[:, 1] ** x[:, 0]) * t[0])",132.50647752481066,8,1.0069007617246998e7,6123620.842133183,1.2808084635554858e7,6123620.842133183,-2.2395911368524812e-2,0.1312557091919273,4.887561529108275e-2,1.006902318452819e7,6123636.409414375,1.280810020283605e7
5,0,(((x0 ^ Sin((x0 ^ x0))) * 55.4306767366887) * x2),"((x[:, 0] ** np.sin(x[:, 0] ** x[:, 0]) * t[0]) * x[:, 2])",55.4306767366887,10,9935064.747744866,5988085.139815259,1.2434113708622284e7,5988085.139815259,-8.795500350721852e-3,0.15048385388358043,7.664658010735015e-2,9935082.665339557,5988103.057409951,1.2434131626216976e7
6,0,(x1 * ((-1357.7182920952541 * Sin((x0 ^ (x1 ^ x0)))) + 939.5442958351455)),"(x[:, 1] * ((t[0] * np.sin(x[:, 0] ** x[:, 1] ** x[:, 0])) + t[1]))",-1357.7182920952541;939.5442958351455,12,6041576.044430093,4935929.575754082,8474390.847376669,4935929.575754082,0.3865450418900176,0.29975079298454554,0.37069436923307475,6041599.395351881,4935952.92667587,8474414.198298458
7,0,((x0 ^ x1) * ((-214.68279443084603 * Sin((x0 ^ (x1 ^ x0)))) + 211.42845929768572)),"(x[:, 0] ** x[:, 1] * ((t[0] * np.sin(x[:, 0] ** x[:, 1] ** x[:, 0])) + t[1]))",-214.68279443084603;211.42845929768572,14,3030007.820232148,2220367.9798866957,4163884.1493010838,2220367.9798866957,0.6923363528384139,0.6850013977436802,0.6907912570698249,3030035.0629742346,2220395.2226287825,4163911.3920431705
8,0,((x0 ^ (x1 * Sin((x0 ^ x0)))) * (((x1 ^ x1) * -2.25178412233361) + 577.7786572643647)),"(x[:, 0] ** (x[:, 1] * np.sin(x[:, 0] ** x[:, 0])) * ((x[:, 1] ** x[:, 1] * t[0]) + t[1]))",-2.25178412233361;577.7786572643647,16,2271926.327693558,1754465.8725853285,3527220.4859950873,1754465.8725853285,0.7693111102244367,0.7510978799113314,0.7380697028530034,2271957.4622559426,1754497.0071477133,3527251.620557472
9,0,((x0 ^ (x1 * Sin((x0 ^ x1)))) * ((299.5538129210429 * Sin((x0 ^ x0))) + 297.2061155026743)),"(x[:, 0] ** (x[:, 1] * np.sin(x[:, 0] ** x[:, 1])) * ((t[0] * np.sin(x[:, 0] ** x[:, 0])) + t[1]))",299.5538129210429;297.2061155026743,17,1156911.181267025,870857.1091058417,1808755.5357200466,870857.1091058417,0.8825285165622573,0.8764534641923102,0.8656823760185866,1156944.2617395588,870890.1895783757,1808788.6161925804
10,0,((x0 ^ (x1 * Sin((x0 ^ x1)))) * ((Sin(Sin((x0 ^ x0))) * 352.9866950057194) + 295.37610284409317)),"(x[:, 0] ** (x[:, 1] * np.sin(x[:, 0] ** x[:, 1])) * ((np.sin(np.sin(x[:, 0] ** x[:, 0])) * t[0]) + t[1]))",352.9866950057194;295.37610284409317,18,1153522.534634009,864167.2144576765,1804087.5692716881,864167.2144576765,0.8828725959983215,0.877402544472022,0.8660290177563926,1153557.561016692,864202.2408403595,1804122.5956543712
