id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,2934.420671630858,"t[0]",2934.420671630858,1,524070.6880051999,524070.6880051999,534483.3200359168,524070.6880051999,1.1102230246251565e-16,1.1102230246251565e-16,-8.561867371525977e-6,524070.6880051999,524070.6880051999,534483.3200359168
1,0,(x2 + 2805.561680480954),"(x[:, 2] + t[0])",2805.561680480954,3,514172.25801102555,514172.25801102555,527600.171519952,514172.25801102555,1.8887585626762293e-2,1.8887585626762293e-2,1.2869683702774526e-2,514175.55384789157,514175.55384789157,527603.467356818
2,0,(3302.5627310810423 + (x0 * -1125.8166955664706)),"(t[0] + (x[:, 0] * t[1]))",3302.5627310810423;-1125.8166955664706,5,245138.78707215915,245138.78707215915,245354.6050744043,245138.78707215915,0.5322409883192574,0.5322409883192574,0.5409460004261608,245145.71854396476,245145.71854396476,245361.5365462099
3,0,((x2 + (x0 * -1113.6838346124066)) + 3169.736294399334),"((x[:, 2] + (x[:, 0] * t[0])) + t[1])",-1113.6838346124066;3169.736294399334,7,241220.02693654862,241220.02693654862,243083.01154566725,241220.02693654862,0.5397185294702932,0.5397185294702932,0.5451961105655508,241231.29300193564,241231.29300193564,243094.27761105428
4,0,(((x2 * x3) + 3118.9998122012876) + (x0 * -1086.139374032305)),"(((x[:, 2] * x[:, 3]) + t[0]) + (x[:, 0] * t[1]))",3118.9998122012876;-1086.139374032305,9,236657.55209526888,236657.55209526888,240081.0068831925,236657.55209526888,0.5484243681018071,0.5484243681018071,0.5508128066395066,236673.67793049195,236673.67793049195,240097.13271841555
5,0,((x7 * x2) + (3054.2760493715728 + ((x0 * -1085.0978298651453) + x2))),"((x[:, 7] * x[:, 2]) + (t[0] + ((x[:, 0] * t[1]) + x[:, 2])))",3054.2760493715728;-1085.0978298651453,11,234269.14610984633,234269.14610984633,236772.5799416394,234269.14610984633,0.5529817799931565,0.5529817799931565,0.5570028132194003,234288.85546400785,234288.85546400785,236792.2892958009
6,0,((x2 * x3) + ((x4 * -174.03471657983468) + (3181.5838463035957 + (x0 * -1066.1585050087883)))),"((x[:, 2] * x[:, 3]) + ((x[:, 4] * t[0]) + (t[1] + (x[:, 0] * t[2]))))",-174.03471657983468;3181.5838463035957;-1066.1585050087883,13,229500.9714644303,229500.9714644303,234556.45801656067,229500.9714644303,0.5620801225537095,0.5620801225537095,0.56114913699817,229526.268296368,229526.268296368,234581.75484849839
7,0,((3180.7206212440974 - ((x4 * 174.0556275580127) + (x0 * 1066.003833962433))) + ((x2 * x3) + x7)),"((t[0] - ((x[:, 4] * t[1]) + (x[:, 0] * t[2]))) + ((x[:, 2] * x[:, 3]) + x[:, 7]))",3180.7206212440974;174.0556275580127;1066.003833962433,15,229444.23900507388,229444.23900507388,234495.7638356096,229444.23900507388,0.5621883760024424,0.5621883760024424,0.5612626947058316,229477.1973737339,229477.1973737339,234528.72220426964
8,0,((3170.7513693242963 - ((x4 * 173.94557664371575) + (x0 * 1062.6768817618579))) + ((x2 * x3) + Exp(x8))),"((t[0] - ((x[:, 4] * t[1]) + (x[:, 0] * t[2]))) + ((x[:, 2] * x[:, 3]) + np.exp(x[:, 8])))",3170.7513693242963;173.94557664371575;1062.6768817618579,16,228889.90607781953,228889.90607781953,234637.4494375106,228889.90607781953,0.563246120577634,0.563246120577634,0.5609976035239687,228926.74743930742,228926.74743930742,234674.2907989985
9,0,((x7 * x2) + (((x4 * -177.76371265382227) + ((x2 * x3) + 3067.4643825199496)) + (x0 * -1037.146929027299))),"((x[:, 7] * x[:, 2]) + (((x[:, 4] * t[0]) + ((x[:, 2] * x[:, 3]) + t[1])) + (x[:, 0] * t[2])))",-177.76371265382227;3067.4643825199496;-1037.146929027299,17,223362.1991964614,223362.1991964614,229302.92036576933,223362.1991964614,0.5737937566272641,0.5737937566272641,0.5709784103055782,223397.54970266996,223397.54970266996,229338.27087197787
