id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,x3,"x[:, 3]",,1,0.8186895007439885,0.8186895007439885,0.780684761118323,0.8186895007439885,0.1673959023059831,0.1673959023059831,0.2373689358633736,0.8186895007439885,0.8186895007439885,0.780684761118323
1,0,(x3 * -49.682005281037156),"(x[:, 3] * t[0])",-49.682005281037156,3,2392.4354840704914,2392.4354840704914,2787.151048084562,1.0066965729843276,-2432.0977564698987,-2432.0977564698987,-2721.6968881336797,2395.7313209364956,2395.7313209364956,2790.446884950566
2,0,Sin((x3 * 0.6693155413654539)),"np.sin((x[:, 3] * t[0]))",0.6693155413654539,4,0.6557852818193859,0.6557852818193859,0.6203451402816003,0.6557852818193859,0.33306887122155915,0.33306887122155915,0.394000628643963,6.200962726298949,6.200962726298949,6.165522584761162
3,0,((x0 * 0.41679147929600757) + Sin(x3)),"((x[:, 0] * t[0]) + np.sin(x[:, 3]))",0.41679147929600757,6,0.5068239217519418,0.5068239217519418,0.5299652912309788,0.5068239217519418,0.4845620058929073,0.4845620058929073,0.48229040179035654,11.257380737120272,11.257380737120272,11.28052210659931
4,0,((x3 * 0.610151073617458) + (x0 * 0.4106678637716462)),"((x[:, 3] * t[0]) + (x[:, 0] * t[1]))",0.610151073617458;0.4106678637716462,7,0.4860756461562483,0.4860756461562483,0.4928983782788909,0.4860756461562483,0.5056629229870686,0.5056629229870686,0.5185001251983251,11.75214103319495,11.75214103319495,11.758963765317594
5,0,(Sin((x3 * 0.6894665857777711)) - (x0 * -0.41738911382484223)),"(np.sin((x[:, 3] * t[0])) - (x[:, 0] * t[1]))",0.6894665857777711;-0.41738911382484223,8,0.4847660059640156,0.4847660059640156,0.4982555658354002,0.4847660059640156,0.5069948220642728,0.5069948220642728,0.513266825087346,14.818841759788455,14.818841759788455,14.83233131965984
6,0,(Sin((x3 * 0.7015426377040467)) - ((x0 * -0.41039160732234725) + 1.6143071604503824e-2)),"(np.sin((x[:, 3] * t[0])) - ((x[:, 0] * t[1]) + t[2]))",0.7015426377040467;-0.41039160732234725;1.6143071604503824e-2,10,0.48438874961052525,0.48438874961052525,0.49900968703990384,0.48438874961052525,0.5073784903359579,0.5073784903359579,0.512530143285264,19.943490240163655,19.943490240163655,19.958111177593036
7,0,((x1 * 0.355891348153979) - ((x0 * -0.42577085800870307) - (x3 * 0.5913663854158845))),"((x[:, 1] * t[0]) - ((x[:, 0] * t[1]) - (x[:, 3] * t[2])))",0.355891348153979;-0.42577085800870307;0.5913663854158845,11,0.3606304037090154,0.3606304037090154,0.3275126270741337,0.3606304037090154,0.6332402557889056,0.6332402557889056,0.6800612542430906,20.06998456521762,20.06998456521762,20.03686678858274
8,0,((Sin((x0 + ((x1 * -1.8819721579868123) + -1.7749720691955164))) - x3) * -0.4605297519191355),"((np.sin((x[:, 0] + ((x[:, 1] * t[0]) + t[1]))) - x[:, 3]) * t[2])",-1.8819721579868123;-1.7749720691955164;-0.4605297519191355,12,0.6830167333136998,0.6830167333136998,0.7181936893665627,0.6830167333136998,0.305374588981812,0.305374588981812,0.29841487261358524,25.636315233471727,25.636315233471727,25.67149218952459
9,0,(Sin((x3 * 0.6759974398454178)) - Sin(((x0 * -0.8910983673192758) + (x1 * -0.8330938592870816)))),"(np.sin((x[:, 3] * t[0])) - np.sin(((x[:, 0] * t[1]) + (x[:, 1] * t[2]))))",0.6759974398454178;-0.8910983673192758;-0.8330938592870816,13,0.3009156563069765,0.3009156563069765,0.2739667373639055,0.3009156563069765,0.6939699259929556,0.6939699259929556,0.7323688704329557,27.33365569814484,27.33365569814484,27.30670677920177
