id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,631.2151898734137,"t[0]",631.2151898734137,1,5964543.649895868,1.104220072881605e7,1.3530987790177885e7,1.104220072881605e7,-4.440892098500626e-16,-1.2391929105615818e-2,-4.8069483169281835e-3,5964543.649895868,1.104220072881605e7,1.3530987790177885e7
1,0,(641.3987341772148 - x2),"(t[0] - x[:, 2])",641.3987341772148,3,5969741.822023718,1.1037829865859421e7,1.3531476203693323e7,1.1037829865859421e7,-8.715121278293214e-4,-1.1991191382294986e-2,-4.843217752801943e-3,5969745.117860584,1.1037833161696287e7,1.3531479499530189e7
2,0,(Sqrt(x1) * 456.9635874289964),"(np.sqrt(x[:, 1]) * t[0])",456.9635874289964,4,5966490.721070931,1.1022799092814898e7,1.3346818683613079e7,1.1022799092814898e7,-3.264409298271431e-4,-1.0613111623358762e-2,8.869392302931711e-3,5966496.266248376,1.1022804637992343e7,1.3346824228790523e7
3,0,(x1 * (x0 * 123.28333663562513)),"(x[:, 1] * (x[:, 0] * t[0]))",123.28333663562513,5,5877481.0242317105,1.0827769372035107e7,1.3107467032805081e7,1.0827769372035107e7,1.4596695199921128e-2,7.2679720575346e-3,2.6643571509388786e-2,5877487.9557035165,1.0827776303506913e7,1.3107473964276887e7
4,0,(214.7511987629449 * (Sqrt(x0) * x1)),"(t[0] * (np.sqrt(x[:, 0]) * x[:, 1]))",214.7511987629449,6,5872314.948992558,1.0819658530270042e7,1.311880012247097e7,1.0819658530270042e7,1.5462826046200195e-2,8.01160559063785e-3,2.5801979792747787e-2,5872324.605620032,1.0819668186897516e7,1.3118809779098444e7
5,0,(99.39285212098977 * ((x0 * x1) + 2.6662226024130873)),"(t[0] * ((x[:, 0] * x[:, 1]) + t[1]))",99.39285212098977;2.6662226024130873,7,5825102.74516769,1.0708019433214834e7,1.3056903639743285e7,1.0708019433214834e7,2.3378302333424972e-2,1.8247112407352883e-2,3.0398393364734155e-2,5825114.011233077,1.0708030699280221e7,1.3056914905808672e7
6,0,((x0 * Sin((x0 + -2187.474271505841))) * 1226.1588878554076),"((x[:, 0] * np.sin((x[:, 0] + t[0]))) * t[1])",-2187.474271505841;1226.1588878554076,8,6110923.894910289,1.0106659492263483e7,1.2475423074548215e7,1.0106659492263483e7,-2.454173422253003e-2,7.338213174437713e-2,7.357895943126969e-2,6110936.770413589,1.0106672367766783e7,1.2475435950051514e7
7,0,(-669.273588717159 * (x0 * Sin((x0 + Sqrt(x0))))),"(t[0] * (x[:, 0] * np.sin((x[:, 0] + np.sqrt(x[:, 0])))))",-669.273588717159,9,5423947.175219192,9915955.685530372,1.2249238527091749e7,9915955.685530372,9.063501022179832e-2,9.086659879291459e-2,9.037535363474036e-2,5423963.301054415,9915971.811365595,1.2249254652926972e7
8,0,((-1902.7818752313087 * Sin(Sin(Sqrt((x0 ^ x1))))) + 1404.9386217487963),"((t[0] * np.sin(np.sin(np.sqrt(x[:, 0] ** x[:, 1])))) + t[1])",-1902.7818752313087;1404.9386217487963,10,5061739.828096149,9140883.069702799,1.1288105867622618e7,9140883.069702799,0.15136175955648834,0.1619282720956734,0.16174876623880396,5061760.622511566,9140903.864118215,1.1288126662038034e7
9,0,(x0 * (481.5987945439608 - (576.1438799091818 * Sin(Sqrt((x0 ^ x1)))))),"(x[:, 0] * (t[0] - (t[1] * np.sin(np.sqrt(x[:, 0] ** x[:, 1])))))",481.5987945439608;576.1438799091818,11,5096874.742257777,9063970.708113236,1.1243919469684647e7,9063970.708113236,0.14547113049516158,0.168979896679759,0.16503003441801234,5096897.616114736,9063993.581970194,1.1243942343541605e7
