id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,21.729954899780918,"t[0]",21.729954899780918,1,241.01436126403337,241.01436126403337,249.53256821128613,241.01436126403337,0.0,0.0,-8.622663089239424e-4,241.01436126403337,241.01436126403337,249.53256821128613
1,0,(21.943954899780913 - x8),"(t[0] - x[:, 8])",21.943954899780913,3,234.49315021061545,234.49315021061545,243.27938131453823,234.49315021061545,2.70573546705537e-2,2.70573546705537e-2,2.4218943947498572e-2,237.78898707661978,237.78898707661978,246.57521818054255
2,0,Exp((3.2507988186720587 - x8)),"np.exp((t[0] - x[:, 8]))",3.2507988186720587,4,176.99565703177382,176.99565703177382,187.303021773605,176.99565703177382,0.26562194840384,0.26562194840384,0.2487372361746839,182.54083447625337,182.54083447625337,192.84819921808455
3,0,((x0 * -21.115072806952416) + 28.824619362916874),"((x[:, 0] * t[0]) + t[1])",-21.115072806952416;28.824619362916874,5,141.54426842850393,141.54426842850393,152.19815743306987,141.54426842850393,0.4127143806445587,0.4127143806445587,0.38954103719429845,148.47574023410337,148.47574023410337,159.1296292386693
4,0,Exp(((3.65343919727397 - x0) - x8)),"np.exp(((t[0] - x[:, 0]) - x[:, 8]))",3.65343919727397,6,198.65538162025274,198.65538162025274,205.77601304920688,198.65538162025274,0.17575292784057783,0.17575292784057783,0.17464302055330339,208.31200909485733,208.31200909485733,215.43264052381147
5,0,((x0 * -16.52132386116155) + ((x8 * -7.466535722073564) + 28.8911540990751)),"((x[:, 0] * t[0]) + ((x[:, 8] * t[1]) + t[2]))",-16.52132386116155;-7.466535722073564;28.8911540990751,9,136.5458986568668,136.5458986568668,146.68984357427263,136.5458986568668,0.4334532683416339,0.4334532683416339,0.41163460009783326,151.0308398687737,151.0308398687737,161.17478478617954
6,0,((Sin(x0) * -20.117309449232256) + ((x8 * -7.452773429959139) + 28.990683996254134)),"((np.sin(x[:, 0]) * t[0]) + ((x[:, 8] * t[1]) + t[2]))",-20.117309449232256;-7.452773429959139;28.990683996254134,10,136.50847791165066,136.50847791165066,146.65673712320984,136.50847791165066,0.433608531891158,0.433608531891158,0.4117673883662253,154.4260726039312,154.4260726039312,164.57433181549038
7,0,(((x0 * -16.42383710774529) + ((x8 * -7.364106019763552) + 30.238565974340574)) - x7),"(((x[:, 0] * t[0]) + ((x[:, 8] * t[1]) + t[2])) - x[:, 7])",-16.42383710774529;-7.364106019763552;30.238565974340574,11,135.8345028603392,135.8345028603392,145.9222658783975,135.8345028603392,0.43640494222860304,0.43640494222860304,0.4147133146631051,157.23951449994763,157.23951449994763,167.32727751800593
8,0,(((Sin(x0) * -20.02813045070037) + ((x8 * -7.382493403420424) + 30.34644454563903)) - x7),"(((np.sin(x[:, 0]) * t[0]) + ((x[:, 8] * t[1]) + t[2])) - x[:, 7])",-20.02813045070037;-7.382493403420424;30.34644454563903,12,135.79722470428842,135.79722470428842,145.88736940563652,135.79722470428842,0.4365596141570943,0.4365596141570943,0.4148532826162429,160.75052320444644,160.75052320444644,170.84066790579453
9,0,((x0 * -16.31449835243733) + ((32.127426996600725 + (x8 * -7.852122206316026)) + (x7 * -2.3133141654323905))),"((x[:, 0] * t[0]) + ((t[1] + (x[:, 8] * t[2])) + (x[:, 7] * t[3])))",-16.31449835243733;32.127426996600725;-7.852122206316026;-2.3133141654323905,13,135.559935410469,135.559935410469,145.49994062786126,135.559935410469,0.4375441583667212,0.4375441583667212,0.4164072394697992,158.8528085104337,158.8528085104337,168.79281372782597
10,0,((28.845630997807298 + (x0 * (x1 * -0.31517476200837385))) + (x8 * -1.5478958744744329)),"((t[0] + (x[:, 0] * (x[:, 1] * t[1]))) + (x[:, 8] * t[2]))",28.845630997807298;-0.31517476200837385;-1.5478958744744329,11,137.8942497008854,137.8942497008854,150.11258658861837,134.88635706361293,0.4278587841086322,0.4278587841086322,0.3979061543286603,157.603603862394,157.603603862394,169.82194075012697
11,0,(30.176521955646365 - ((x0 * (x1 * 0.3204708242766065)) + ((x8 * 0.6981409196106816) + x7))),"(t[0] - ((x[:, 0] * (x[:, 1] * t[1])) + ((x[:, 8] * t[2]) + x[:, 7])))",30.176521955646365;0.3204708242766065;0.6981409196106816,13,138.02956479859014,138.02956479859014,150.37443220737057,134.1580669667495,0.42729734413055354,0.42729734413055354,0.39685590505143764,165.062304840428,165.062304840428,177.40717224920843
12,0,(30.385150768967897 - ((x0 * (x1 * 0.3136794201901536)) + ((x8 * 1.3590213695325137) + (x2 + x7)))),"(t[0] - ((x[:, 0] * (x[:, 1] * t[1])) + ((x[:, 8] * t[2]) + (x[:, 2] + x[:, 7]))))",30.385150768967897;0.3136794201901536;1.3590213695325137,15,136.6541575808919,136.6541575808919,148.78273811838625,133.58667358931436,0.43300408795480005,0.43300408795480005,0.40324010798170395,169.6125262409352,169.6125262409352,181.74110677842953
13,0,((16.174130337666256 - (x2 + (x7 + x7))) + (15.570808987924556 + ((x0 * (x1 * -0.2559354109043714)) + (x8 * -7.262997641358577)))),"((t[0] - (x[:, 2] + (x[:, 7] + x[:, 7]))) + (t[1] + ((x[:, 0] * (x[:, 1] * t[2])) + (x[:, 8] * t[3]))))",16.174130337666256;15.570808987924556;-0.2559354109043714;-7.262997641358577,19,133.33129206465114,133.33129206465114,144.70712040651708,133.29267675348555,0.4467910901019482,0.4467910901019482,0.4195872005033354,175.0785590340393,175.0785590340393,186.45438737590524
14,0,(((15.949891923832318 - (x2 + x2)) - (x8 * 0.3354861834617455)) + (((x0 * (x1 * -0.31922309284949274)) + 15.945617173942727) - (x7 + x7))),"(((t[0] - (x[:, 2] + x[:, 2])) - (x[:, 8] * t[1])) + (((x[:, 0] * (x[:, 1] * t[2])) + t[3]) - (x[:, 7] + x[:, 7])))",15.949891923832318;0.3354861834617455;-0.31922309284949274;15.945617173942727,21,137.19050479214056,137.19050479214056,149.29631854997473,133.4014857111876,0.4307787134649327,0.4307787134649327,0.4011801633485196,183.33222091620115,183.33222091620115,195.43803467403535
15,0,(11.013828555520858 - ((x2 + x7) - ((Sin(x5) + ((x0 * (x1 * -0.25860167633752035)) + 10.907798440975625)) + (10.582095103470676 - ((x8 * 7.087458571367034) + x7))))),"(t[0] - ((x[:, 2] + x[:, 7]) - ((np.sin(x[:, 5]) + ((x[:, 0] * (x[:, 1] * t[1])) + t[2])) + (t[3] - ((x[:, 8] * t[4]) + x[:, 7])))))",11.013828555520858;-0.25860167633752035;10.907798440975625;10.582095103470676;7.087458571367034,24,132.94411562742283,132.94411562742283,144.73361529988094,132.94411562742283,0.4483975356066795,0.4483975356066795,0.41948093085201144,190.4936021745837,190.4936021745837,202.28310184704185
16,0,(16.296389837869164 - (((x8 * 0.6453768351358173) + (((x2 + x7) - ((x0 * (x1 * -0.316351658630465)) + Sin(x5))) + (x2 + -16.321587377629264))) + x7)),"(t[0] - (((x[:, 8] * t[1]) + (((x[:, 2] + x[:, 7]) - ((x[:, 0] * (x[:, 1] * t[2])) + np.sin(x[:, 5]))) + (x[:, 2] + t[3]))) + x[:, 7]))",16.296389837869164;0.6453768351358173;-0.316351658630465;-16.321587377629264,24,136.47457852789597,136.47457852789597,148.8587802187174,132.74404567815648,0.4337491848529853,0.4337491848529853,0.40293510703766733,194.02406507505685,194.02406507505685,206.4082667658783
17,0,(13.392829813174334 - ((x2 + x7) - (((x0 * (x1 * -0.25817716569276933)) + 13.432160262025363) + ((14.152742728043375 - Sqrt((x4 + (x4 + x1)))) - ((x8 * 6.900387540671156) + x7))))),"(t[0] - ((x[:, 2] + x[:, 7]) - (((x[:, 0] * (x[:, 1] * t[1])) + t[2]) + ((t[3] - np.sqrt((x[:, 4] + (x[:, 4] + x[:, 1])))) - ((x[:, 8] * t[4]) + x[:, 7])))))",13.392829813174334;-0.25817716569276933;13.432160262025363;14.152742728043375;6.900387540671156,28,132.33812018408574,132.33812018408574,143.5605870810023,132.33812018408574,0.4509118896898091,0.4509118896898091,0.4241858865618292,199.4791878224401,199.4791878224401,210.70165471935667
18,0,(Sin(x5) - ((x2 + (x2 + x7)) + ((x8 * 1.3209981138305378) + (Sqrt((x4 + x5)) - ((x0 * (x1 * -0.3109526845257467)) + 35.237882648964174))))),"(np.sin(x[:, 5]) - ((x[:, 2] + (x[:, 2] + x[:, 7])) + ((x[:, 8] * t[0]) + (np.sqrt((x[:, 4] + x[:, 5])) - ((x[:, 0] * (x[:, 1] * t[1])) + t[2])))))",1.3209981138305378;-0.3109526845257467;35.237882648964174,25,135.24636309828767,135.24636309828767,,132.12145448898403,0.4388452107626728,0.4388452107626728,,199.37009703482607,199.37009703482607,
19,0,(13.391257046722172 - ((x2 + x7) - (((x0 * (x1 * -0.25810345704641124)) + 14.2620274318072) + (((13.563230016773252 - x2) - Sqrt((x4 + (x4 + x1)))) - ((x8 * 6.878736404348755) + x7))))),"(t[0] - ((x[:, 2] + x[:, 7]) - (((x[:, 0] * (x[:, 1] * t[1])) + t[2]) + (((t[3] - x[:, 2]) - np.sqrt((x[:, 4] + (x[:, 4] + x[:, 1])))) - ((x[:, 8] * t[4]) + x[:, 7])))))",13.391257046722172;-0.25810345704641124;14.2620274318072;13.563230016773252;6.878736404348755,30,132.1032003393532,132.1032003393532,143.19768501320988,132.1032003393532,0.45188660274632775,0.45188660274632775,0.42564146804613223,204.0400585233043,204.0400585233043,215.134543197161
20,0,(Sin(x5) - (((x8 * 0.9127135149743789) + (Sqrt((x4 + x5)) - ((x0 * (x1 * -0.31224532495423146)) + 36.57814075030284))) + (x2 + (x2 + (x7 + x7))))),"(np.sin(x[:, 5]) - (((x[:, 8] * t[0]) + (np.sqrt((x[:, 4] + x[:, 5])) - ((x[:, 0] * (x[:, 1] * t[1])) + t[2]))) + (x[:, 2] + (x[:, 2] + (x[:, 7] + x[:, 7])))))",0.9127135149743789;-0.31224532495423146;36.57814075030284,27,135.33915993953153,135.33915993953153,,131.881276790514,0.43846018457270985,0.43846018457270985,,204.592792590993,204.592792590993,
21,0,(21.66382711358473 - ((x2 + x7) + (((-20.327127511158704 - ((x0 * (x1 * -0.24824121280164285)) + (Sin(x5) * 2.0703519177185212))) + Sqrt((x4 + (x4 + x1)))) + ((x8 * 7.135849796710032) + x7)))),"(t[0] - ((x[:, 2] + x[:, 7]) + (((t[1] - ((x[:, 0] * (x[:, 1] * t[2])) + (np.sin(x[:, 5]) * t[3]))) + np.sqrt((x[:, 4] + (x[:, 4] + x[:, 1])))) + ((x[:, 8] * t[4]) + x[:, 7]))))",21.66382711358473;-20.327127511158704;-0.24824121280164285;2.0703519177185212;7.135849796710032,31,132.01555501952114,132.01555501952114,144.0887853394977,131.8554597946595,0.4522502546024759,0.4522502546024759,0.4220673105785512,211.52898510082878,211.52898510082878,223.60221542080532
