id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,815.6151419558232,"t[0]",815.6151419558232,1,8477377.769865353,8477377.769865353,1.3471159567015175e7,8477377.769865353,4.773959005888173e-15,4.773959005888173e-15,-3.641230574904508e-4,8477377.769865353,8477377.769865353,1.3471159567015175e7
1,0,(x1 + 813.6435331230233),"(x[:, 1] + t[0])",813.6435331230233,3,8476678.406054392,8476678.406054392,1.3469705101712227e7,8476678.406054392,8.249765788259644e-5,8.249765788259644e-5,-2.561149160928977e-4,8476681.701891258,8476681.701891258,1.3469708397549093e7
2,0,(467.0299580556434 + (x1 * 176.80240527397962)),"(t[0] + (x[:, 1] * t[1]))",467.0299580556434;176.80240527397962,5,8415377.831087256,8415377.831087256,1.327728038382154e7,8415377.831087256,7.313575077251944e-3,7.313575077251944e-3,1.403328483525701e-2,8415384.762559062,8415384.762559062,1.3277287315293346e7
3,0,(Exp(Sin(Exp(x0))) * 494.2526736298215),"(np.exp(np.sin(np.exp(x[:, 0]))) * t[0])",494.2526736298215,6,8147502.887551562,8147502.887551562,1.3088887714687116e7,8147502.887551562,3.891237258370617e-2,3.891237258370617e-2,2.802326589899362e-2,8147512.544179036,8147512.544179036,1.308889737131459e7
4,0,(Exp(Sin((x0 ^ x0))) * 575.5065288767531),"(np.exp(np.sin(x[:, 0] ** x[:, 0])) * t[0])",575.5065288767531,7,7964643.526665839,7964643.526665839,1.2907195213294655e7,7964643.526665839,6.048264653513191e-2,6.048264653513191e-2,4.1515694588401875e-2,7964656.068982124,7964656.068982124,1.290720775561094e7
5,0,(145.5428689980547 * Exp(Exp(Sin((x1 ^ x0))))),"(t[0] * np.exp(np.exp(np.sin(x[:, 1] ** x[:, 0]))))",145.5428689980547,8,7710927.933938039,7710927.933938039,1.251502878872011e7,7710927.933938039,9.041119279264165e-2,9.041119279264165e-2,7.063785140500545e-2,7710943.501219231,7710943.501219231,1.2515044356001303e7
6,0,(178.04797023994428 * (Exp(Sin((x0 ^ x0))) ^ x0)),"(t[0] * np.exp(np.sin(x[:, 0] ** x[:, 0])) ** x[:, 0])",178.04797023994428,9,7145732.776663941,7145732.776663941,1.157702586824465e7,7145732.776663941,0.15708218146595532,0.15708218146595532,0.1402936567793538,7145748.902499164,7145748.902499164,1.1577041994079873e7
7,0,Exp(((Sin(((x1 ^ x0) - x1)) * -2.834179205601135) + 3.668888880755126)),"np.exp(((np.sin((x[:, 1] ** x[:, 0] - x[:, 1])) * t[0]) + t[1]))",-2.834179205601135;3.668888880755126,11,8529533.17859119,8529533.17859119,1.346259776876431e7,8529533.17859119,-6.152304420264709e-3,-6.152304420264709e-3,2.716734198963122e-4,8529557.348061541,8529557.348061541,1.346262193823466e7
8,0,(3810.0476756686203 + (Sin(Exp(((x1 ^ x0) - Sqrt(x1)))) * -4766.789782343291)),"(t[0] + (np.sin(np.exp((x[:, 1] ** x[:, 0] - np.sqrt(x[:, 1])))) * t[1]))",3810.0476756686203;-4766.789782343291,12,4340223.782025203,4340223.782025203,7018432.327027333,4340223.782025203,0.48802284151433784,0.48802284151433784,0.47881339649065635,4340251.413046319,4340251.413046319,7018459.958048449
9,0,(((x1 ^ x0) * ((Sin(x0) * 129.10601184220613) + 100.48200540989785)) * Exp(Sin(Exp(x1)))),"((x[:, 1] ** x[:, 0] * ((np.sin(x[:, 0]) * t[0]) + t[1])) * np.exp(np.sin(np.exp(x[:, 1]))))",129.10601184220613;100.48200540989785,15,4325939.016195536,4325939.016195536,6929300.036184109,4325939.016195536,0.4897078868452709,0.4897078868452709,0.48543233270931807,4325970.207818661,4325970.207818661,6929331.227807234
10,0,(((x1 ^ x0) * ((Sin(x0) * 141.64843621189993) + 109.92498547574604)) * Exp(Sin((x1 ^ x1)))),"((x[:, 1] ** x[:, 0] * ((np.sin(x[:, 0]) * t[0]) + t[1])) * np.exp(np.sin(x[:, 1] ** x[:, 1])))",141.64843621189993;109.92498547574604,16,3807170.097621014,3807170.097621014,6078168.703668359,3807170.097621014,0.5509023897514165,0.5509023897514165,0.548637080958583,3807203.368685681,3807203.368685681,6078201.974733026
11,0,(((x1 ^ x0) * ((Sin((x0 ^ x0)) * 86.03890649038534) + 85.97661067787686)) * Exp(Sin(Exp(x1)))),"((x[:, 1] ** x[:, 0] * ((np.sin(x[:, 0] ** x[:, 0]) * t[0]) + t[1])) * np.exp(np.sin(np.exp(x[:, 1]))))",86.03890649038534;85.97661067787686,17,2326800.4812695137,2326800.4812695137,3922423.9764302433,2326800.4812695137,0.7255282772061178,0.7255282772061178,0.70872201446941,2326835.831775722,2326835.831775722,3922459.3269364517
12,0,((-56.495449215326474 + (Sin(((x1 ^ x0) - x1)) * -813.9247667616273)) * (Exp(Sin((x1 ^ x0))) ^ x0)),"((t[0] + (np.sin((x[:, 1] ** x[:, 0] - x[:, 1])) * t[1])) * np.exp(np.sin(x[:, 1] ** x[:, 0])) ** x[:, 0])",-56.495449215326474;-813.9247667616273,18,2251106.4831453497,2251106.4831453497,3473278.9916475415,2251106.4831453497,0.7344572172839369,0.7344572172839369,0.7420753814600269,2251146.033187742,2251146.033187742,3473318.5416899337
13,0,((422.7773264858752 + (Sin((Exp(Sin(Exp(x1))) - x1)) * -735.3704669190563)) * (Exp(Sin((x0 ^ x0))) ^ x0)),"((t[0] + (np.sin((np.exp(np.sin(np.exp(x[:, 1]))) - x[:, 1])) * t[1])) * np.exp(np.sin(x[:, 0] ** x[:, 0])) ** x[:, 0])",422.7773264858752;-735.3704669190563,19,1775256.7690445483,1775256.7690445483,2638863.513597669,1775256.7690445483,0.7905889277041459,0.7905889277041459,0.8040388155513883,1775298.5163115177,1775298.5163115177,2638905.2608646383
