id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,2936.5018718261704,"t[0]",2936.5018718261704,1,546153.8820233751,527433.5683514092,522075.2059245512,527433.5683514092,0.0,-3.4314453653050414e-4,-1.1825286724054251e-5,546153.8820233751,527433.5683514092,522075.2059245512
1,0,(x2 + 2807.2901960296626),"(x[:, 2] + t[0])",2807.2901960296626,3,540231.6675498615,520595.9039314149,515929.8069775534,520595.9039314149,1.0843490577368553e-2,1.2625333652224846e-2,1.1759412934059021e-2,540234.9633867275,520599.1997682809,515933.1028144194
2,0,(3320.3351999614006 + (x0 * -1156.1244823350366)),"(t[0] + (x[:, 0] * t[1]))",3320.3351999614006;-1156.1244823350366,5,249722.79801746234,240549.0665463022,244627.19324732063,240549.0665463022,0.542761104082431,0.5437688761517521,0.5314274969239307,249729.72948926795,240555.9980181078,244634.12471912624
3,0,(3993.172718921563 - (Exp(x0) * 672.8375189606267)),"(t[0] - (np.exp(x[:, 0]) * t[1]))",3993.172718921563;672.8375189606267,6,249722.79801746248,240549.06654626323,244627.19324730398,240549.06654626323,0.5427611040824306,0.543768876151826,0.5314274969239625,249732.4546449371,240558.72317373785,244636.8498747786
4,0,((x2 + 3187.588971166552) - (x0 * 1145.4782383641227)),"((x[:, 2] + t[0]) - (x[:, 0] * t[1]))",3187.588971166552;1145.4782383641227,7,249234.8549246396,239289.45218917477,242992.73752659533,239289.45218917477,0.5436545209542748,0.5461578909254055,0.5345582241258446,249247.39724092418,239301.99450545936,243005.2798428799
5,0,(x2 - ((x8 + (x0 * 1145.970302428784)) + -3188.906336435965)),"(x[:, 2] - ((x[:, 8] + (x[:, 0] * t[0])) + t[1]))",1145.970302428784;-3188.906336435965,9,249215.87173016934,239202.14865927483,243053.27452803878,239202.14865927483,0.5436892789136982,0.5463234728922535,0.5344422681933969,249233.38492151085,239219.66185061634,243070.78771938029
6,0,((3335.9142894144475 + (x0 * -1133.858439467489)) + (Sin(x5) * -158.91017398470672)),"((t[0] + (x[:, 0] * t[1])) + (np.sin(x[:, 5]) * t[2]))",3335.9142894144475;-1133.858439467489;-158.91017398470672,10,247124.16153202087,237046.8722994791,242741.38789317082,237046.8722994791,0.5475191705742668,0.5504112216827642,0.5350396731639403,247142.07912671316,237064.78989417138,242759.3054878631
7,0,((3203.441732029738 + (x0 * -1136.7384213504722)) + (x3 + (x7 * x2))),"((t[0] + (x[:, 0] * t[1])) + (x[:, 3] + (x[:, 7] * x[:, 2])))",3203.441732029738;-1136.7384213504722,11,243563.68973171338,234924.90216061403,238201.8764320948,234924.90216061403,0.5540383438649824,0.5544358010965467,0.5437349053653268,243585.094743353,234946.30717225364,238223.28144373442
8,0,(1076.4016433703805 - (Sin(Exp(x0)) * ((Sin(x7) * -460.18010525532765) + -2333.737438401698))),"(t[0] - (np.sin(np.exp(x[:, 0])) * ((np.sin(x[:, 7]) * t[1]) + t[2])))",1076.4016433703805;-460.18010525532765;-2333.737438401698,12,240379.30705830327,232937.54307716008,238886.37817495104,232937.54307716008,0.5598689033066049,0.5582050739569745,0.5424237727363153,240404.26035680342,232962.49637566024,238911.3314734512
9,0,(((Sin((x3 * Exp(x7))) * -170.4740718106172) + 3302.139743686964) - (x0 * 1130.5310569530775)),"(((np.sin((x[:, 3] * np.exp(x[:, 7]))) * t[0]) + t[1]) - (x[:, 0] * t[2]))",-170.4740718106172;3302.139743686964;1130.5310569530775,13,238670.84606698764,231853.21424923924,239931.75371483207,231853.21424923924,0.5629970711134255,0.5602616379955971,0.5404214024075131,238699.409986493,231881.7781687446,239960.31763433744
