id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,944.7088607594959,"t[0]",944.7088607594959,1,1.1891566219035415e7,1.0183768623015378e7,8371802.0205896385,1.0183768623015378e7,2.220446049250313e-16,-4.200565273092316e-3,-1.4572781698292125e-3,1.1891566219035415e7,1.0183768623015378e7,8371802.0205896385
1,0,(x1 * 427.839679358718),"(x[:, 1] * t[0])",427.839679358718,3,1.1627834103472779e7,1.0165027687199721e7,8498709.185789233,1.0165027687199721e7,2.2178080725856808e-2,-2.3525599779505857e-3,-1.663825162434529e-2,1.1627837399309644e7,1.0165030983036587e7,8498712.481626099
2,0,((x1 * 186.66266582438377) * x0),"((x[:, 1] * t[0]) * x[:, 0])",186.66266582438377,5,1.1387676718064556e7,9936540.205920395,8380084.333666831,9936540.205920395,4.2373686669150645e-2,2.0178122557390155e-2,-2.4480305419991577e-3,1.1387683649536362e7,9936547.1373922,8380091.265138637
3,0,(x1 * (Exp(Sin(x2)) * 198.54816526212397)),"(x[:, 1] * (np.exp(np.sin(x[:, 2])) * t[0]))",198.54816526212397,7,1.2246269386690488e7,9889517.551617412,8582602.282641472,9889517.551617412,-2.9828128702447776e-2,2.4814930185263706e-2,-2.6673767541259608e-2,1.2246281929006772e7,9889530.093933696,8582614.824957756
4,0,((Exp(Sin(Exp(x0))) * 329.57315055790735) * x0),"((np.exp(np.sin(np.exp(x[:, 0]))) * t[0]) * x[:, 0])",329.57315055790735,8,1.0704946545177646e7,9516588.057314996,7784435.676623082,9516588.057314996,9.978665988995572e-2,6.15887437751691e-2,6.880504990131187e-2,1.0704959420680946e7,9516600.932818295,7784448.552126382
5,0,((Exp(Sin((x0 * -2.008575873045881))) * 288.7160790495822) + x2),"((np.exp(np.sin((x[:, 0] * t[0]))) * t[1]) + x[:, 2])",-2.008575873045881;288.7160790495822,9,1.2227978190641241e7,1.030135171190221e7,8585639.86778889,1.030135171190221e7,-2.8289963273913532e-2,-1.5795192831681737e-2,-2.7037131575246676e-2,1.2227995703832584e7,1.0301369225093553e7,8585657.380980233
6,0,((x1 * 85.01055909396537) * Exp(Exp(Sin((x1 ^ x1))))),"((x[:, 1] * t[0]) * np.exp(np.exp(np.sin(x[:, 1] ** x[:, 1]))))",85.01055909396537,10,9861431.548766248,8861103.530902527,7218261.728583182,8861103.530902527,0.17072054537437076,0.12622473034536108,0.13653228706963294,9861449.46636094,8861121.448497219,7218279.646177875
7,0,((Exp(Sin((x1 ^ x1))) * (x1 * 180.8342391946634)) * x0),"((np.exp(np.sin(x[:, 1] ** x[:, 1])) * (x[:, 1] * t[0])) * x[:, 0])",180.8342391946634,11,9466116.254554596,8226860.038102804,6906368.575565015,8226860.038102804,0.20396387824829032,0.18876618209740192,0.1738417775871094,9466137.659566235,8226881.443114444,6906389.980576655
8,0,(((Exp(Exp(Sin((x1 ^ x1)))) * 36.14650586984016) * x1) * x0),"(((np.exp(np.exp(np.sin(x[:, 1] ** x[:, 1]))) * t[0]) * x[:, 1]) * x[:, 0])",36.14650586984016,12,9354643.083601333,8113207.029680884,6812889.274340768,8113207.029680884,0.21333801525429907,0.1999732724710327,0.18502402082924696,9354666.434523122,8113230.380602673,6812912.625262557
9,0,(((Exp(Sin(((x0 ^ x1) + -572.2292383061176))) * 158.08123882665294) * x1) * x0),"(((np.exp(np.sin((x[:, 0] ** x[:, 1] + t[0]))) * t[1]) * x[:, 1]) * x[:, 0])",-572.2292383061176;158.08123882665294,13,9040326.279398888,8132397.308897217,6636647.037310437,8132397.308897217,0.23976992492985572,0.1980809583435067,0.20610658711078045,9040353.31213893,8132424.341637258,6636674.070050479
