id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,2969.359274536135,"t[0]",2969.359274536135,1,535029.310691296,541601.2738320807,522991.5348220418,541601.2738320807,-2.220446049250313e-16,-1.1707067373619484e-2,-1.7670125144335636e-3,535029.310691296,541601.2738320807,522991.5348220418
1,0,(x2 + -2839.6398509063724),"(x[:, 2] + t[0])",-2839.6398509063724,3,3.2783227526431426e7,3.190035299661438e7,3.2428952221443255e7,534786.8112224154,-60.273703835165904,-58.58961719206414,-61.116214934344214,3.2783230822268292e7,3.1900356292451248e7,3.242895551728012e7
2,0,(Log(x2) * 613.5712438607945),"(np.log(x[:, 2]) * t[0])",613.5712438607945,4,515680.7277420574,522112.71518432506,505687.2409068278,522112.71518432506,3.616359433511929e-2,2.4697412212173697e-2,3.1378592461780985e-2,515686.2729195019,522118.2603617695,505692.78608427226
3,0,((x0 * -1170.055102908786) + 3336.756576849475),"((x[:, 0] * t[0]) + t[1])",-1170.055102908786;3336.756576849475,5,240135.00007176553,251287.67648427977,245346.97339647825,251287.67648427977,0.5511741221027797,0.5305965282462325,0.5300487900774915,240141.93154357115,251294.60795608538,245353.90486828386
4,0,(1485.7566582594786 - (-1850.999918596329 / Exp(x0))),"(t[0] - (t[1] / np.exp(x[:, 0])))",1485.7566582594786;-1850.999918596329,6,240135.0000717653,251287.6764844048,245346.97339677383,251287.6764844048,0.5511741221027802,0.530596528245999,0.5300487900769254,240144.65669923992,251297.33311187942,245356.63002424844
5,0,((3203.758690280772 - (1157.4294247591454 ^ x0)) + x2),"((t[0] - t[1] ** x[:, 0]) + x[:, 2])",3203.758690280772;1157.4294247591454,7,240943.57598084988,248663.63962806048,243645.88184266587,248663.63962806048,0.5496628480605414,0.5354982091704709,0.5333071552524766,240956.11829713447,248676.18194434507,243658.42415895045
6,0,((1373.3142771730525 - (-1829.444413106927 / Exp(x0))) + x2),"((t[0] - (t[1] / np.exp(x[:, 0]))) + x[:, 2])",1373.3142771730525;-1829.444413106927,8,240943.57598085038,248663.63962797806,243645.88184262218,248663.63962797806,0.5496628480605406,0.5354982091706249,0.5333071552525603,240959.1432620428,248679.2069091705,243661.44912381461
7,0,(((3069.760803712019 - (1143.803746609527 ^ x0)) + x2) + x2),"(((t[0] - t[1] ** x[:, 0]) + x[:, 2]) + x[:, 2])",3069.760803712019;1143.803746609527,9,243603.61099501155,247877.6959687848,243766.5671428023,247877.6959687848,0.5446910923809793,0.5369663459586669,0.5330759879304029,243619.73683023461,247893.82180400786,243782.69297802536
8,0,((-357.46471410754475 / Exp(x7)) - ((1174.9379837099682 ^ x0) + -3482.590145184753)),"((t[0] / np.exp(x[:, 7])) - (t[1] ** x[:, 0] + t[2]))",-357.46471410754475;1174.9379837099682;-3482.590145184753,10,232997.49335289752,245479.4901691611,238903.32095506217,245479.4901691611,0.5645145252848891,0.5414461761838225,0.5423913195949438,233018.28776831433,245500.2845845779,238924.11537047898
9,0,(((((x3 * 172.93279719491926) ^ x7) + 1479.1283490514384) / Exp(x0)) + 1623.0529169208196),"((((x[:, 3] * t[0]) ** x[:, 7] + t[1]) / np.exp(x[:, 0])) + t[2])",172.93279719491926;1479.1283490514384;1623.0529169208196,12,227615.56534049826,241686.99028923878,238053.35474251327,241686.99028923878,0.5745736527099744,0.5485305371647027,0.5440193920526999,227641.9320354263,241713.3569841668,238079.7214374413
10,0,(x2 + ((((403.31945287532477 ^ x7) + 790.5406681587718) / (-527.2182590126042 ^ x0)) + 2057.0888836977715)),"(x[:, 2] + (((t[0] ** x[:, 7] + t[1]) / t[2] ** x[:, 0]) + t[3]))",403.31945287532477;790.5406681587718;-527.2182590126042;2057.0888836977715,13,231286.25871505344,241124.30351040405,241100.84770036157,241124.30351040405,0.5677129194731123,0.549581631795328,0.53818205490138,231311.55554699115,241149.60034234176,241126.14453229928
11,0,((((((x3 * 173.50413849773565) ^ x7) + 940.6472021687296) / Exp((x2 * x0))) + 2046.466094113111) + x2),"(((((x[:, 3] * t[0]) ** x[:, 7] + t[1]) / np.exp((x[:, 2] * x[:, 0]))) + t[2]) + x[:, 2])",173.50413849773565;940.6472021687296;2046.466094113111,16,227841.6746852441,236838.25079091254,237476.58235797784,236838.25079091254,0.5741510415740467,0.5575879457331898,0.545124173889663,227878.516046732,236875.09215240044,237513.42371946573
12,0,(x2 + ((((389.7563299040229 ^ x7) + ((x3 * 124.5634739940683) + 671.5898462024791)) / (x1 ^ x0)) + 2010.3515986394393)),"(x[:, 2] + (((t[0] ** x[:, 7] + ((x[:, 3] * t[1]) + t[2])) / x[:, 1] ** x[:, 0]) + t[3]))",389.7563299040229;124.5634739940683;671.5898462024791;2010.3515986394393,17,227067.1627604995,235658.8713954195,236259.40278766525,235658.8713954195,0.575598648105629,0.5597910174894521,0.5474556271937028,227106.3067070804,235698.0153420004,236298.54673424616
13,0,((((((x3 * 250.12136957296534) / Exp((x4 + x0))) ^ x7) + 944.1905473858728) / Exp((x2 * x0))) + 2161.8254983761844),"(((((x[:, 3] * t[0]) / np.exp((x[:, 4] + x[:, 0]))) ** x[:, 7] + t[1]) / np.exp((x[:, 2] * x[:, 0]))) + t[2])",250.12136957296534;944.1905473858728;2161.8254983761844,19,217803.83634481233,232381.85172006008,231457.86035475973,232381.85172006008,0.5929123283668436,0.5659124653620276,0.5566527680615941,217849.3963549955,232427.41173024324,231503.4203649429
14,0,(((((((x3 * 248.63249258693867) / Exp((x0 + Sin(x4)))) ^ x7) + 1443.4246679685746) / Exp(x0)) + (1383.4420442474002 + x2)) + x2),"((((((x[:, 3] * t[0]) / np.exp((x[:, 0] + np.sin(x[:, 4])))) ** x[:, 7] + t[1]) / np.exp(x[:, 0])) + (t[2] + x[:, 2])) + x[:, 2])",248.63249258693867;1443.4246679685746;1383.4420442474002,22,222878.21211245382,230618.26757593665,230177.56708628,230618.26757593665,0.5834280334576822,0.569206827153117,0.5591051128459963,222932.88005874917,230672.935522232,230232.23503257535
