id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,1009.8987341772098,"t[0]",1009.8987341772098,1,1.137630447075791e7,5671938.143842853,1.3481696614404786e7,5671938.143842853,0.0,-2.7171139227044172e-2,-1.1466009220784112e-3,1.137630447075791e7,5671938.143842853,1.3481696614404786e7
1,0,(x2 * 65.75343289102605),"(x[:, 2] * t[0])",65.75343289102605,3,1.1804343702896249e7,5538252.588682585,1.3495295288768081e7,5538252.588682585,-3.762550775944762e-2,-2.961082539237214e-3,-2.1564342542801374e-3,1.1804346998733114e7,5538255.884519451,1.3495298584604947e7
2,0,(Log(x2) * 382.27402024678105),"(np.log(x[:, 2]) * t[0])",382.27402024678105,4,1.1714526197879812e7,5491241.051708273,1.344743326340965e7,5491241.051708273,-2.9730368767052706e-2,5.552567075073123e-3,1.397784874908714e-3,1.1714531743057257e7,5491246.5968857175,1.3447438808587095e7
3,0,Sqrt((Sqrt(x2) * -0.7113851520538436)),"np.sqrt((np.sqrt(x[:, 2]) * t[0]))",-0.7113851520538436,5,,,,Infinity,,,,,,
4,0,(x2 * (205.19843398576285 + (x2 * -8.840720284912045))),"(x[:, 2] * (t[0] + (x[:, 2] * t[1])))",205.19843398576285;-8.840720284912045,7,1.1680656240596611e7,5419302.354114123,1.3509373872822106e7,5419302.354114123,-2.675313153063197e-2,1.8580451386982832e-2,-3.2019055309757682e-3,1.168066594465714e7,5419312.05817465,1.3509383576882634e7
5,0,Sqrt(Exp(Exp(Exp(Sin((x1 * 1508.4699982787197)))))),"np.sqrt(np.exp(np.exp(np.exp(np.sin((x[:, 1] * t[0]))))))",1508.4699982787197,8,1.0166178125782268e7,4911722.156972214,1.1911177487824492e7,4911722.156972214,0.10637253495510746,0.11050171641581885,0.11547966135258192,1.0166192459858023e7,4911736.491047967,1.1911191821900247e7
6,0,Sqrt(Exp(Exp(Exp(Sin((0.47574481395210555 + (x0 * x1))))))),"np.sqrt(np.exp(np.exp(np.exp(np.sin((t[0] + (x[:, 0] * x[:, 1])))))))",0.47574481395210555,10,1.2448019914361672e7,5930803.931661925,1.4362375266501378e7,5930803.931661925,-9.420593887571682e-2,-7.40509639778959e-2,-6.654552394109103e-2,1.2448040708777089e7,5930824.726077342,1.4362396060916794e7
7,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * -7556.741958360784),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * t[0])",-7556.741958360784,11,6838438.877129823,4309382.883110593,8875723.652349437,4309382.883110593,0.39888749508176313,0.21958356858750805,0.34089151985670585,6838460.282141463,4309404.288122233,8875745.057361076
8,0,((7910.675014297552 / Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) + -9102.847912581457),"((t[0] / np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) + t[1])",7910.675014297552;-9102.847912581457,12,4521279.720712449,3188442.575548827,5995218.255337347,3188442.575548827,0.6025704364423332,0.4225825265316504,0.5547969554733991,4521304.674010949,3188467.5288473275,5995243.208635847
9,0,((8942.71486225296 / Sin(Sin(Exp(Sin(Exp(Sin((x0 * x1)))))))) + -11765.530005449085),"((t[0] / np.sin(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1])))))))) + t[1])",8942.71486225296;-11765.530005449085,13,4197929.302586769,2998692.882874196,5572655.03771136,2998692.882874196,0.6309935872956558,0.4569456318846524,0.586176368695689,4197956.33532681,2998719.9156142375,5572682.070451401
10,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * ((x0 * x1) * -1729.0578442887108)),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * ((x[:, 0] * x[:, 1]) * t[0]))",-1729.0578442887108,15,2017012.1873545633,1588010.7110408146,2409430.832395991,1588010.7110408146,0.8227005797410601,0.7124159802526691,0.8210764151573664,2017041.376006799,1588039.8996930504,2409460.021048227
11,0,((x0 * x1) * ((1051.186208747175 / Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) + -1100.4021146842072)),"((x[:, 0] * x[:, 1]) * ((t[0] / np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) + t[1]))",1051.186208747175;-1100.4021146842072,16,1662436.90843386,1138867.6206951158,2341479.1187042305,1138867.6206951158,0.8538684585396732,0.7937544589325115,0.8261224882989804,1662470.1794985267,1138900.8917597826,2341512.3897688976
12,0,((x0 * x1) * (((x2 + 1047.5308940232853) / Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) + -1101.431518315931)),"((x[:, 0] * x[:, 1]) * (((x[:, 2] + t[0]) / np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) + t[1]))",1047.5308940232853;-1101.431518315931,18,1657278.0073422755,1135318.9957589463,2287269.3208088037,1135318.9957589463,0.8543219363017044,0.7943971043609233,0.8301480910440897,1657317.5573846675,1135358.5458013383,2287308.870851196
13,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * ((Sin(Exp((x0 * x1))) * 9485.908369059121) + -9488.41192924199)),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * ((np.sin(np.exp((x[:, 0] * x[:, 1]))) * t[0]) + t[1]))",9485.908369059121;-9488.41192924199,19,956804.3632630879,918550.6307988424,1209547.0385503292,918550.6307988424,0.915894975761022,0.8336532109576003,0.9101794128043067,956843.8726523798,918590.1401881343,1209586.5479396211
14,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * (-19641.841379596222 + (Exp(Sin(Exp((x0 * x1)))) * 7881.0352161254))),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * (t[0] + (np.exp(np.sin(np.exp((x[:, 0] * x[:, 1])))) * t[1])))",-19641.841379596222;7881.0352161254,20,1017506.4002683816,848116.8118373638,1505056.9384182764,848116.8118373638,0.9105591448537775,0.8464085662220631,0.8882349394747768,1017547.9890992151,848158.4006681973,1505098.52724911
15,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * ((x1 + -19644.47554869353) + (Exp(Sin(Exp((x0 * x1)))) * 7881.827559329244))),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * ((x[:, 1] + t[0]) + (np.exp(np.sin(np.exp((x[:, 0] * x[:, 1])))) * t[1])))",-19644.47554869353;7881.827559329244,22,1017578.6790300456,848067.547932365,1505395.9118356174,848067.547932365,0.9105527914055334,0.846417487768832,0.8882097674141467,1017624.4267439626,848113.2956462819,1505441.6595495343
16,0,(Log(Sin(Exp(Sin(Exp(Sin((x0 * x1))))))) * ((x0 + (31.688665004197897 + (Sin(Exp((x0 * x1))) * -33.174713852281016))) * -280.6645748446786)),"(np.log(np.sin(np.exp(np.sin(np.exp(np.sin((x[:, 0] * x[:, 1]))))))) * ((x[:, 0] + (t[0] + (np.sin(np.exp((x[:, 0] * x[:, 1]))) * t[1]))) * t[2]))",31.688665004197897;-33.174713852281016;-280.6645748446786,23,989559.5797273435,957304.3510013475,1200373.7471001593,957304.3510013475,0.9130157264803394,0.8266350274160704,0.9108606185766419,989607.4068828021,957352.1781568062,1200421.574255618
