id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,3.240092332477686,"t[0]",3.240092332477686,1,0.7012652570128807,0.7012652570128807,0.9543850546537572,0.7012652570128807,9.992007221626409e-16,9.992007221626409e-16,-9.011940512575478e-3,0.7012652570128807,0.7012652570128807,0.9543850546537572
1,0,(x0 * 0.4593267110737316),"(x[:, 0] * t[0])",0.4593267110737316,3,0.686435338208642,0.686435338208642,0.7959994930409932,0.686435338208642,2.1147374201039182e-2,2.1147374201039182e-2,0.15843925970560901,3.982272204212971,3.982272204212971,4.091836359045322
2,0,(1.2311529893095547 * Sqrt(x0)),"(t[0] * np.sqrt(x[:, 0]))",1.2311529893095547,4,0.6310811373727987,0.6310811373727987,0.807998066695966,0.6310811373727987,0.10008212860714061,0.10008212860714061,0.14575391428035045,6.176258581852361,6.176258581852361,6.353175511175528
3,0,(1.5256426571247363 - (x0 * -0.2458471563405629)),"(t[0] - (x[:, 0] * t[1]))",1.5256426571247363;-0.2458471563405629,5,0.6288402752411921,0.6288402752411921,0.8065663424006706,0.6288402752411921,0.10327758440535273,0.10327758440535273,0.1472675873019792,7.560312080840645,7.560312080840645,7.738038148000124
4,0,(2.8384219477123347 - (Exp(x0) * -2.455273741822115e-4)),"(t[0] - (np.exp(x[:, 0]) * t[1]))",2.8384219477123347;-2.455273741822115e-4,6,0.621329973838396,0.621329973838396,0.8113653814431918,0.621329973838396,0.11398722862013544,0.11398722862013544,0.1421938618980889,10.277957448442997,10.277957448442997,10.467992856047793
5,0,(1.2201655737809527 * Sqrt((x0 + Sin(x2)))),"(t[0] * np.sqrt((x[:, 0] + np.sin(x[:, 2]))))",1.2201655737809527,7,0.587929614374011,0.587929614374011,0.7800179889877699,0.587929614374011,0.16161593848472733,0.16161593848472733,0.1753355096399739,14.209300657761203,14.209300657761203,14.401389032374961
6,0,((x0 / Log((x2 + x0))) + 0.20292036932763058),"((x[:, 0] / np.log((x[:, 2] + x[:, 0]))) + t[0])",0.20292036932763058,8,0.5691684171621361,0.5691684171621361,0.7773622698391099,0.5691684171621361,0.1883692918332025,0.1883692918332025,0.17814323626831885,14.903244170986575,14.903244170986575,15.111438023663549
7,0,(((0.3648072340371323 + (-3.4341462565931815 / x0)) * x2) + 3.6587968802874324),"(((t[0] + (t[1] / x[:, 0])) * x[:, 2]) + t[2])",0.3648072340371323;-3.4341462565931815;3.6587968802874324,9,0.5650265715905688,0.5650265715905688,0.7824028159948035,0.5650265715905688,0.19427553847831647,0.19427553847831647,0.17281418041921526,16.690861794643062,16.690861794643062,16.908238039047298
8,0,((15.906697731683234 / (x2 + x0)) + ((x0 * x0) * 3.269600606677249e-2)),"((t[0] / (x[:, 2] + x[:, 0])) + ((x[:, 0] * x[:, 0]) * t[1]))",15.906697731683234;3.269600606677249e-2,11,0.5468641484619841,0.5468641484619841,0.7958829135164968,0.5468641484619841,0.2201750436184251,0.2201750436184251,0.1585625119837777,20.25621830997059,20.25621830997059,20.5052370750251
9,0,((16.758424017289308 / (x2 + x0)) + (-0.3424975476024041 - ((x0 * x0) * -3.71227656924504e-2))),"((t[0] / (x[:, 2] + x[:, 0])) + (t[1] - ((x[:, 0] * x[:, 0]) * t[2])))",16.758424017289308;-0.3424975476024041;-3.71227656924504e-2,13,0.5429536310420873,0.5429536310420873,0.7798857009176666,0.5429536310420873,0.2257514177233595,0.2257514177233595,0.1754753695860939,25.83978556876116,25.83978556876116,26.07671763863674
10,0,(((16.336383704747853 / (x2 + x0)) - (-0.9927245998612471 / Sin(Log((x0 + x0))))) + -0.6285502100906915),"(((t[0] / (x[:, 2] + x[:, 0])) - (t[1] / np.sin(np.log((x[:, 0] + x[:, 0]))))) + t[2])",16.336383704747853;-0.9927245998612471;-0.6285502100906915,15,0.5407287169969189,0.5407287169969189,0.7825408830724108,0.5407287169969189,0.22892413164711156,0.22892413164711156,0.17266821068800664,31.732351842194458,31.732351842194458,31.97416400826995
