id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,859.9873417721471,"t[0]",859.9873417721471,1,1.0913595980852399e7,1.0913595980852399e7,8597666.713718053,1.0913595980852399e7,5.551115123125783e-16,5.551115123125783e-16,-4.614799658388957e-4,1.0913595980852399e7,1.0913595980852399e7,8597666.713718053
1,0,(x1 * 368.17517096265027),"(x[:, 1] * t[0])",368.17517096265027,3,1.0837711644519214e7,1.0837711644519214e7,8542249.065397566,1.0837711644519214e7,6.953192739251879e-3,6.953192739251879e-3,5.987155960752388e-3,1.083771494035608e7,1.083771494035608e7,8542252.361234432
2,0,(642.7164385047281 * Sqrt(x1)),"(t[0] * np.sqrt(x[:, 1]))",642.7164385047281,4,1.082831259739057e7,1.082831259739057e7,8523795.786462111,1.082831259739057e7,7.814416404222979e-3,7.814416404222979e-3,8.13445887080022e-3,1.0828318142568015e7,1.0828318142568015e7,8523801.331639556
3,0,((x1 * x0) * 166.21526315789498),"((x[:, 1] * x[:, 0]) * t[0])",166.21526315789498,5,1.0656485423241174e7,1.0656485423241174e7,8343204.348914269,1.0656485423241174e7,2.355873884852644e-2,2.355873884852644e-2,2.9148855322106537e-2,1.065649235471298e7,1.065649235471298e7,8343211.280386075
4,0,(x1 / Exp((0.5472549259250064 ^ x0))),"(x[:, 1] / np.exp(t[0] ** x[:, 0]))",0.5472549259250064,6,1.1649633611680672e7,1.1649633611680672e7,9225629.85861703,1.1649633611680672e7,-6.744226487031635e-2,-6.744226487031635e-2,-7.353397256516492e-2,1.1649644362237487e7,1.1649644362237487e7,9225640.609173845
5,0,((x1 + 0.33462438896335944) / Exp((0.1154028293719842 ^ x0))),"((x[:, 1] + t[0]) / np.exp(t[1] ** x[:, 0]))",0.33462438896335944;0.1154028293719842,8,1.1648531805650897e7,1.1648531805650897e7,9224568.72913267,1.1648531805650897e7,-6.73413076760323e-2,-6.73413076760323e-2,-7.341049497412677e-2,1.164854737293209e7,1.164854737293209e7,9224584.296413863
6,0,(Exp(Sin(Exp(x1))) / Exp((-0.5413071444948843 ^ x0))),"(np.exp(np.sin(np.exp(x[:, 1]))) / np.exp(t[0] ** x[:, 0]))",-0.5413071444948843,9,1.164876555220496e7,1.164876555220496e7,9224723.406171914,1.164876555220496e7,-6.736272559863754e-2,-6.736272559863754e-2,-7.342849385972583e-2,1.1648783065396301e7,1.1648783065396301e7,9224740.919363257
7,0,((3402.3708149445984 / Exp((Sin(Sqrt(Exp(x0))) ^ x1))) + -1374.1735762440035),"((t[0] / np.exp(np.sin(np.sqrt(np.exp(x[:, 0]))) ** x[:, 1])) + t[1])",3402.3708149445984;-1374.1735762440035,11,7031410.240551822,7031410.240551822,5760431.3623020705,7031410.240551822,0.35572012626376937,0.35572012626376937,0.32969142932988604,7031434.410022172,7031434.410022172,5760455.531772421
8,0,(13.647872531482385 / (Exp((Sin(Exp((Sqrt(x0) ^ x1))) ^ x0)) ^ 5.2958645236791675)),"(t[0] / np.exp(np.sin(np.exp(np.sqrt(x[:, 0]) ** x[:, 1])) ** x[:, 0]) ** t[1])",13.647872531482385;5.2958645236791675,13,8567861.034157338,8567861.034157338,6367801.702352524,8567861.034157338,0.2149369420318099,0.2149369420318099,0.2590152040785989,8567888.06689738,8567888.06689738,6367828.735092565
9,0,((0.9029854017101346 / x2) / (Exp((Sin(Exp((Sqrt(x0) ^ x1))) ^ x0)) ^ 0.4450384066433921)),"((t[0] / x[:, 2]) / np.exp(np.sin(np.exp(np.sqrt(x[:, 0]) ** x[:, 1])) ** x[:, 0]) ** t[1])",0.9029854017101346;0.4450384066433921,15,1.1653003017673612e7,1.1653003017673612e7,9228135.977360684,1.1653003017673612e7,-6.775099958972963e-2,-6.775099958972963e-2,-7.382559532174926e-2,1.1653035976042273e7,1.1653035976042273e7,9228168.935729345
