id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,17.7,"t[0]",17.7,1,23.57428571428572,23.57428571428572,9.854705882352942,23.57428571428572,0.0,0.0,-0.1653068739770871,23.57428571428572,23.57428571428572,9.854705882352942
1,0,(x1 * 1.929106299853492),"(x[:, 1] * t[0])",1.929106299853492,3,10.280368479802798,10.280368479802798,14.51767370676091,10.280368479802798,0.5639160140672672,0.5639160140672672,-0.7166970954394043,13.576205345807127,13.576205345807127,17.81351057276524
2,0,((x1 + 5.699999999999999) + x0),"((x[:, 1] + t[0]) + x[:, 0])",5.699999999999999,5,7.260000000000001,7.260000000000001,9.392941176470586,7.260000000000001,0.6920373288086292,0.6920373288086292,-0.11070376432078577,14.191471805599454,14.191471805599454,16.32441298207004
3,0,(7.6049530874370905 - (Sqrt(x0) * -6.436966849283468)),"(t[0] - (np.sqrt(x[:, 0]) * t[1]))",7.6049530874370905;-6.436966849283468,6,5.916007477807341,5.916007477807341,6.793820545642228,5.916007477807341,0.7490482829678138,0.7490482829678138,0.19663905986472818,15.572634952411942,15.572634952411942,16.450448020246828
4,0,((((x1 + -2.252080984790807) + x0) * 17.343266266229723) / x1),"((((x[:, 1] + t[0]) + x[:, 0]) * t[1]) / x[:, 1])",-2.252080984790807;17.343266266229723,9,5.14607285890257,5.14607285890257,5.875244237953562,5.14607285890257,0.7817082171111502,0.7817082171111502,0.3052595807002537,21.271908081955065,21.271908081955065,22.001079461006057
5,0,(((Sqrt(x0) * 6.035979692279187) / Log(Sqrt(x1))) + x1),"(((np.sqrt(x[:, 0]) * t[0]) / np.log(np.sqrt(x[:, 1]))) + x[:, 1])",6.035979692279187,10,5.0098727835638295,5.0098727835638295,9.176041138964251,5.0098727835638295,0.7874857018243437,0.7874857018243437,-8.505560112957022e-2,25.804288200362187,25.804288200362187,29.97045655576261
6,0,(((Sqrt(Sqrt(x0)) * 8.30023459160449) + -1.130419268501249) + (x1 + Sin(x1))),"(((np.sqrt(np.sqrt(x[:, 0])) * t[0]) + t[1]) + (x[:, 1] + np.sin(x[:, 1])))",8.30023459160449;-1.130419268501249,12,4.697895746701223,4.697895746701223,13.484775698723,4.697895746701223,0.8007194871718062,0.8007194871718062,-0.5945581738670003,28.048817535364982,28.048817535364982,36.83569748738676
7,0,(((Sqrt(x0) * -62.08318846187739) / (-1.8155442947785554 - x1)) + (x1 + Sin(x1))),"(((np.sqrt(x[:, 0]) * t[0]) / (t[1] - x[:, 1])) + (x[:, 1] + np.sin(x[:, 1])))",-62.08318846187739;-1.8155442947785554,13,4.264799801113619,4.264799801113619,8.954329027310905,4.264799801113619,0.819091027706973,0.819091027706973,-5.8838416077271916e-2,32.82871930648447,32.82871930648447,37.51824853268176
8,0,(((Sqrt(x0) * (26.26941230488652 - x1)) / Log((x1 + 9.213104788054073))) + (x1 + Sin(x1))),"(((np.sqrt(x[:, 0]) * (t[0] - x[:, 1])) / np.log((x[:, 1] + t[1]))) + (x[:, 1] + np.sin(x[:, 1])))",26.26941230488652;9.213104788054073,16,4.069765790523755,4.069765790523755,9.551854199900347,4.069765790523755,0.8273641950450474,0.8273641950450474,-0.12949503427626885,40.91112727842849,40.91112727842849,46.39321568780508
9,0,(((Sqrt(x0) * 12.562062336946052) / Log(((0.16150888439842515 - Sin(((x0 * 0.682799998845611) + 0.12548811128500814))) + x1))) + (x1 + Sin(x1))),"(((np.sqrt(x[:, 0]) * t[0]) / np.log(((t[1] - np.sin(((x[:, 0] * t[2]) + t[3]))) + x[:, 1]))) + (x[:, 1] + np.sin(x[:, 1])))",12.562062336946052;0.16150888439842515;0.682799998845611;0.12548811128500814,21,4.084091152511456,4.084091152511456,12.878485167748192,4.084091152511456,0.8267565260721114,0.8267565260721114,-0.5228650627983749,52.43837810538642,52.43837810538642,61.23277212062315
