id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,3.7837837837837753,3.7837837837837753,1,0.6919892865838859,0.6124908692476261,0.6421532391754134,-5.10702591327572e-15,-9.666521724584598e-3,-6.525971911752748e-7,0.6919892865838859,0.6124908692476261,0.6421532391754134,0.6919892865838859,0.6124908692476261,0.6421532391754134
1,(2.352117544905141 + Sqrt(Abs(x2))),2.352117544905141,5,0.5167362947713974,0.45460214268666493,0.47390693312004434,0.25325968943486077,0.2506066829391068,0.2620028780063147,0.5167362947713974,0.45460214268666493,0.47390693312004434,6.06191373925096,5.999779587166227,6.019084377599607
2,Log(((x2 + x8) * 11.077517538781532)),11.077517538781532,6,0.5146186476559509,0.42692490171553077,0.4726794021238209,0.25631992050563446,0.29623149961039064,0.26391446502701243,0.5146186476559509,0.42692490171553077,0.4726794021238209,11.265175463024281,11.177481717083861,11.223236217492152
3,(((x2 + x8) * 0.2837528631057613) + 2.5778341142388532),0.2837528631057613;2.5778341142388532,7,0.5136851242980262,0.4198732472477602,0.4661074579611554,0.25766896358480296,0.3078558679011758,0.274148702044857,0.5136851242980262,0.4198732472477602,0.4661074579611554,11.77975051133673,11.685938634286464,11.732172844999859
4,Log(((x2 + x8) * (x4 + 8.69558634022701))),8.69558634022701,8,0.49551017034867456,0.4133838811789943,0.4465430886348217,0.28393375453131486,0.31855332641985856,0.30461554531595636,0.49551017034867456,0.4133838811789943,0.4465430886348217,16.06279136279118,15.9806650736215,16.013824281077326
5,(((x8 + (x9 + x2)) * 0.2565745456948849) + 2.141475543232964),0.2565745456948849;2.141475543232964,9,0.4703837211733292,0.40604580819131014,0.4367299429014764,0.32024421433537653,0.3306498441013993,0.31989718144065726,0.4703837211733292,0.40604580819131014,0.4367299429014764,16.596218944225825,16.531881031243806,16.56256516595397
6,Log(((Sqrt(Abs(x8)) * -0.14964545042544342) * (Sqrt(Abs(x4)) + x2))),-0.14964545042544342,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,(Sqrt(Abs((((x9 + x8) + 2.2406266940479878) * 0.8642152548418303))) + Sqrt(Abs(x2))),2.2406266940479878;0.8642152548418303,13,0.463795712340883,0.3945415408527275,0.4279134349096744,0.32976460570583965,0.34961416532141143,0.3336267917697301,0.463795712340883,0.3945415408527275,0.4279134349096744,21.86880735194933,21.799553180461174,21.83292507451812
8,Log(((Sqrt(Abs(x8)) * (x9 + 6.948614303324137)) * (Sqrt(Abs(x4)) + x2))),6.948614303324137,14,0.46837331289462264,0.3873092976565233,0.4163500756565382,0.32314947358965096,0.36153622685540254,0.35163396839660577,0.46837331289462264,0.3873092976565233,0.4163500756565382,26.835068240929257,26.754004225691155,26.78304500369117
9,(Sqrt(Abs(((((Abs(x9) ^ x8) + x8) + 30.5406243450102) * 0.13829200249913498))) + Sqrt(Abs(x2))),30.5406243450102;0.13829200249913498,16,0.45205565420060695,0.38536914081747764,0.4075349981019233,0.3467302703019389,0.3647344972389034,0.36536135116061574,0.45205565420060695,0.38536914081747764,0.4075349981019233,27.48479569603847,27.418109182655343,27.440275039939788
10,Log((10.76961325357707 + (Sqrt(Abs(((((Abs(x9) ^ x8) + x4) + x3) * -27.49810396586758))) * x2))),10.76961325357707;-27.49810396586758,17,0.44513381246880607,0.37192422514057133,0.3915993051763609,0.3567330866258327,0.3868978990591745,0.39017739560759823,0.44513381246880607,0.37192422514057133,0.3915993051763609,36.41356290444436,36.34035331711613,36.36002839715192
11,Log((17.10578978987054 + (Sqrt(Abs(((2.934844872809373 + (Abs(x9) ^ x8)) * 29.06699155183162))) * (x2 + (-2.113169586338487 / Exp(x4)))))),17.10578978987054;2.934844872809373;29.06699155183162;-2.113169586338487,20,0.439033861073088,0.3644693561217836,0.37893082900949515,0.36554818176383896,0.3991869502924733,0.40990552849149564,0.439033861073088,0.3644693561217836,0.37893082900949515,45.167353557257094,45.09278905230579,45.10725052519351
12,Log((9.916103999773853 + (Sqrt(Abs(((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x4)) + 13.298383399891328) * 8.070811198935553))) * x2))),9.916103999773853;13.298383399891328;8.070811198935553,23,0.43521263418762884,0.3619662739312272,0.39959758235176734,0.3710702714255494,0.4033131804386211,0.37772198480046715,0.43521263418762884,0.3619662739312272,0.39959758235176734,47.64843898015963,47.575192619903234,47.61282392832377
13,Log((17.11435904402618 + (Sqrt(Abs((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + 11.357771717112076) * 9.573801472504627))) * (x2 + (-2.099129414842295 / Exp(x4)))))),17.11435904402618;11.357771717112076;9.573801472504627;-2.099129414842295,23,0.44005132991909757,0.35915675475660075,0.3776859125908645,0.36407782829777235,0.4079445596071761,0.4118441891648549,0.44005132991909757,0.35915675475660075,0.3776859125908645,50.138184325679106,50.0572897505166,50.07581890835087
14,Log((16.203183388842156 + (Sqrt(Abs(((((Abs(x9) ^ x8) + Exp(x3)) + x8) * 16.956030817745635))) * (x2 + (-2.0897127100685315 / Exp(x4)))))),16.203183388842156;16.956030817745635;-2.0897127100685315,23,0.44629838292472995,0.3581116542483648,0.38702422962461713,0.35505015528787365,0.409667365689656,0.3973019855937828,0.44629838292472995,0.3581116542483648,0.38702422962461713,54.310234889617,54.22204816094063,54.250960736316884
15,Log((-9.098832191936417 + (Sqrt(Abs(((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x3)) + 49.27304474959933) * -3.14725842880849))) * (Sqrt(Abs(x4)) + x2)))),-9.098832191936417;49.27304474959933;-3.14725842880849,27,0.43798692451329496,0.3576104915446619,0.3809762282525923,0.36706111929060536,0.4104935122157053,0.40672030656449043,0.43798692451329496,0.3576104915446619,0.3809762282525923,55.105933219849305,55.02555678688067,55.0489225235886
16,Log((15.365519341960105 + (Sqrt(Abs(((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x4)) + 10.533268400389177) * 8.73700982396295))) * (x2 + (-0.5927595925828384 / x4))))),15.365519341960105;10.533268400389177;8.73700982396295;-0.5927595925828384,27,0.43050114314284904,0.35100977363068553,0.38525393066237157,0.3778788899058134,0.4213745297650383,0.4000588043864607,0.43050114314284904,0.35100977363068553,0.38525393066237157,59.42433636475819,59.34484499524603,59.379089152277714
17,Sqrt(Abs(((-4.490202696747996 - (x4 * Sin(x2))) - Log((x4 * (Abs((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x3)) + 19.270590391884806)) ^ x2)))))),-4.490202696747996;19.270590391884806,29,0.4431317062832275,0.3497524999141521,0.3834131561832103,0.35962634844996044,0.4234470948332938,0.40292537200326384,0.4431317062832275,0.3497524999141521,0.3834131561832103,63.78050761704942,63.68712841068035,63.72078906694941
18,Sqrt(Abs(((-4.344847957281518 - (x4 * Sin(x2))) - Log((x4 * (Abs((1.5998350539716044 * ((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + Exp(x3)) + 11.137833593900904) * 0.837515552344233))) ^ x2)))))),-4.344847957281518;1.5998350539716044;11.137833593900904;0.837515552344233,31,0.44126426485297726,0.34946382628737643,0.37899576951995945,0.36232500501366127,0.42392296167685706,0.40980439912099254,0.44126426485297726,0.34946382628737643,0.37899576951995945,71.69581216446495,71.60401172589935,71.63354366913194
19,Sqrt(Abs(((-4.152129715889013 - (x4 * Sin(x2))) - Log((x4 * (Abs((Exp(Sqrt(Abs((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x3)) * -6.409916772936139e-2)))) * 14.893621479083503)) ^ x2)))))),-4.152129715889013;-6.409916772936139e-2;14.893621479083503,34,0.4418174170637449,0.3441953181193504,0.3804636897504185,0.3615256397323021,0.4326078851324878,0.4075184631498455,0.4418174170637449,0.3441953181193504,0.3804636897504185,74.33542264629098,74.23780054734658,74.27406891897765
20,Sqrt(Abs(((-4.42366553242041 - (x4 * Sin(x2))) - Log((x4 * (Abs((Exp(Sqrt(Abs(((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x3)) + x9) * -5.71310802732752e-2)))) * 13.123695203325365)) ^ x2)))))),-4.42366553242041;-5.71310802732752e-2;13.123695203325365,36,0.4402901985103343,0.34511595636025083,0.3807512113541164,0.3637326371280999,0.43109025008333457,0.40707071676503737,0.4402901985103343,0.34511595636025083,0.3807512113541164,79.6120100869681,79.516835844818,79.55247109981187
21,Sqrt(Abs(((-4.836337754689793 - (x4 * Sin(x2))) - Log((x4 * (Abs((Exp(Sqrt(Abs(((((Abs(Sqrt(Abs(Exp(x9)))) ^ x8) + (Abs(x3) ^ x3)) + 39.51619416713877) * -0.15391709898297512)))) * Sqrt(Abs(x1)))) ^ x2)))))),-4.836337754689793;39.51619416713877;-0.15391709898297512,38,0.43211724854514455,0.34023341683700403,0.3818552077005948,0.37554344131776707,0.4391389197780763,0.4053515055244914,0.43211724854514455,0.34023341683700403,0.3818552077005948,84.38167348271365,84.28978965100552,84.33141144186911
