id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,199.69999999999996,199.69999999999996,1,1657.3100000000002,1432.0172727272727,1615.4149999999988,-2.220446049250313e-16,-6.997675364676992e-3,-0.15141339332449721,1657.3100000000002,1432.0172727272727,1615.4149999999988,1657.3100000000002,1432.0172727272727,1615.4149999999988
1,(101119.37135316251 / x12),101119.37135316251,3,255.77315899765145,632.7332619148415,793.3495397613658,0.8456696942650129,0.5550605875998385,0.4345271737175507,255.77315899765145,632.7332619148415,793.3495397613658,259.0689958636558,636.0290987808459,796.6453766273702
2,(117.43995133046829 - (-6118.1467014968375 / x4)),117.43995133046829;-6118.1467014968375,5,1026.8741808332018,528.4256056820954,786.0264123011276,0.3803970404853637,0.6284099593913318,0.4397468522761505,1026.8741808332018,528.4256056820954,786.0264123011276,1033.8056526388011,535.3570774876948,792.9578841067271
3,Sqrt(Abs(((x8 + 2.0627562593507458e7) / x12))),2.0627562593507458e7,7,667.75434522251,464.402570174975,651.4487553012901,0.5970854304731703,0.6734310978603362,0.5356692726522416,667.75434522251,464.402570174975,651.4487553012901,678.5049020378783,475.1531269903433,662.1993121166585
4,((x1 * (40.356239251990615 / x5)) + 118.78716442434208),40.356239251990615;118.78716442434208,7,870.3804090636647,332.1664834497832,595.6239122546788,0.4748234132035257,0.7664198030021284,0.5754593401977989,870.3804090636647,332.1664834497832,595.6239122546788,882.9227253482611,344.70879973437957,608.1662285392752
5,(Sqrt(Abs((x1 * (20162.253551258465 / x5)))) + x2),20162.253551258465,9,919.587173752099,295.85885099339094,703.139789540935,0.4451326705612715,0.7919514094833481,0.4988256447681857,919.587173752099,295.85885099339094,703.139789540935,936.2227060855378,312.4943833268296,719.7753218743737
6,Sqrt(Abs((((-4500188.643054223 / Exp(x2)) + 2.3416717517246842e7) / x12))),-4500188.643054223;2.3416717517246842e7,10,422.85509805136405,295.7132976452718,491.4004332263922,0.7448545546389245,0.7920537629158024,0.6497463250605395,422.85509805136405,295.7132976452718,491.4004332263922,440.36828939286187,313.2264889867696,508.91362456789
7,Sqrt(Abs(((x1 * (-12659.111484513021 / x4)) * Sqrt(Abs(Log(x8)))))),-12659.111484513021,12,578.5553461950876,184.20128287887067,639.5676868335595,0.6509069840916378,0.870469255370818,0.5441376980170862,578.5553461950876,184.20128287887067,639.5676868335595,599.3497616118859,204.99569829566903,660.3621022503578
8,(((x1 * (26.88721246860114 / x5)) * Sqrt(Abs(Log(x8)))) + 107.35477999837433),26.88721246860114;107.35477999837433,12,557.2264441802466,168.34150986942174,497.4242020581896,0.6637765751849403,0.8816218824071598,0.6454527855606449,557.2264441802466,168.34150986942174,497.4242020581896,581.395914530945,192.51098022012016,521.593672408888
9,((((2152.53224137923 * Sqrt(Abs(Log(x8)))) * Sqrt(Abs(Exp(x2)))) / x5) + 130.33270111955864),2152.53224137923;130.33270111955864,15,352.64924098568383,149.89965408840814,502.62051858220894,0.7872158853891644,0.8945902356907225,0.6417490261912511,352.64924098568383,149.89965408840814,502.62051858220894,382.5828471946064,179.83326029733075,532.5541247911316
10,((((3437.381319123028 * Sqrt(Abs(Log(Log(x8))))) * Sqrt(Abs(Exp(x2)))) / x5) + 134.4787320025776),3437.381319123028;134.4787320025776,16,369.4516452452021,137.1215368990673,498.91533220001406,0.7770775260843161,0.9035758356204617,0.6443899582274293,369.4516452452021,137.1215368990673,498.91533220001406,401.6878365471187,169.35772820098396,531.1515235019307
11,Sqrt(Abs((((((x10 * -6276.8873066744945) / Exp(x2)) + 2085175.3806977551) * Sqrt(Abs(Log(x8)))) / x5))),-6276.8873066744945;2085175.3806977551,17,529.8268264426378,107.50220783861693,700.4788067394275,0.6803091597572948,0.9244042125386607,0.500722303668259,529.8268264426378,107.50220783861693,700.4788067394275,565.7952555346133,143.4706369305925,736.447235831403
12,Sqrt(Abs((((x2 - ((x1 * (-1.1627437309989415 / x4)) * Sqrt(Abs(Log(x8))))) * 56.40370253094238) * -171.13818432413186))),-1.1627437309989415;56.40370253094238;-171.13818432413186,18,418.5911103526772,101.07615501523928,662.8080173022287,0.7474273911623792,0.9289230269259955,0.5275727733587705,418.5911103526772,101.07615501523928,662.8080173022287,455.43247184058197,137.91751650314401,699.6493787901334
13,((((((x10 * -26.690274873349402) / Sqrt(Abs(Exp(x2)))) + 5366.210300331282) * Sqrt(Abs(Log(x8)))) / x5) + 118.17179422083832),-26.690274873349402;5366.210300331282;118.17179422083832,19,506.0692035410408,81.65127107031203,691.2238035681079,0.6946442104729708,0.9425826477624935,0.5073189581543929,506.0692035410408,81.65127107031203,691.2238035681079,546.8334231786131,122.41549070788435,731.9880232056802
14,((((((x10 * -2.820986467983423) / Sqrt(Abs(Exp(x2)))) + 588.9910731680812) * Sqrt(Abs((Log(Log(x8)) * -156.6367267990598)))) / x5) + 132.44603380809795),-2.820986467983423;588.9910731680812;-156.6367267990598;132.44603380809795,22,552.6267032291221,114.66016110137456,610.9590256127777,0.666552000996119,0.9193707241630364,0.5645289879919171,552.6267032291221,114.66016110137456,610.9590256127777,600.5846086850895,162.61806655734196,658.9169310687452
15,(x2 + ((((54.04721358503642 * Sqrt(Abs(Log(x8)))) * Sqrt(Abs((((x10 * -55.23923727820305) / Sqrt(Abs(Exp(x2)))) + 8141.43896478098)))) / x5) + 117.27798194782162)),54.04721358503642;-55.23923727820305;8141.43896478098;117.27798194782162,25,509.15822078052116,76.02458771529007,790.0946160879139,0.6927803363398994,0.9465393437929326,0.43684717366298975,509.15822078052116,76.02458771529007,790.0946160879139,561.9119167820853,128.77828371685422,842.848312089478
16,(((x12 - ((x1 * -21.282328669835437) * Sqrt(Abs(Log(x8))))) / x5) - ((((x10 * 0.4984122297029338) / Sqrt(Abs(Exp(x2)))) + -79.75607180744353) + -79.126743597881)),-21.282328669835437;0.4984122297029338;-79.75607180744353;-79.126743597881,25,526.9581721360682,63.48869685105615,634.1935664624156,0.6820400696694835,0.955354609641554,0.5479681899790113,526.9581721360682,63.48869685105615,634.1935664624156,587.6564907172192,124.18701543220709,694.8918850435665
17,Sqrt(Abs(((((x1 * ((((x11 / Exp(x2)) * 160.22640472886914) / Sqrt(Abs(Exp(x2)))) + -18390.23515760746)) * Sqrt(Abs(Log(Log(x8))))) / x5) + -9763.697649199727))),160.22640472886914;-18390.23515760746;-9763.697649199727,27,515.2834224022986,62.858190426657735,552.0538943574016,0.6890844667549834,0.9557979831369466,0.6065145812066498,515.2834224022986,62.858190426657735,552.0538943574016,574.9211819972106,122.49595002156974,611.6916539523137
18,(127.01384119540852 + ((((x10 * x6) - ((x1 * (((x10 * 7.972291356344888) / Sqrt(Abs(Exp(x2)))) + -1026.9343726910956)) * Log(Log(x8)))) / Sqrt(Abs(x6))) / x5)),127.01384119540852;7.972291356344888;-1026.9343726910956,28,389.4799982637369,36.84580557985243,549.2597363479703,0.7649926698905233,0.9740899490023703,0.6085061629086423,389.4799982637369,36.84580557985243,549.2597363479703,458.0954888337336,105.46129614984915,617.875226917967
19,(137.41922148078467 + (((36910.38436900818 - ((x1 * ((((Sqrt(Abs(x4)) * x10) / Sqrt(Abs(Exp(x2)))) + -572.9462469102286) - x12)) * Log(Log(x8)))) / Sqrt(Abs(x6))) / x5)),137.41922148078467;36910.38436900818;-572.9462469102286,30,640.9574661803281,35.797607703565085,798.3008262869209,0.6132543301009901,0.9748270440394526,0.43099806347670766,640.9574661803281,35.797607703565085,798.3008262869209,715.8173616808022,110.65750320403919,873.160721787395
