id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,2969.1982047965926,2969.1982047965926,1,516881.2619702595,518751.8304551753,526097.9252322398,2.220446049250313e-16,-6.152123974629831e-3,-8.580849847810157e-4,516881.2619702595,518751.8304551753,526097.9252322398,516881.2619702595,518751.8304551753,526097.9252322398
1,(x2 + 2838.42351121874),2838.42351121874,3,512182.12285134627,512779.056253927,519475.0825935384,9.091331926023072e-3,5.432450952718049e-3,1.1741329083617358e-2,512182.12285134627,512779.056253927,519475.0825935384,512185.4186882123,512782.352090793,519478.3784304044
2,((x0 * -1139.727872571652) + 3316.592736526403),-1139.727872571652;3316.592736526403,5,241628.99205459835,244257.58991131847,242032.12707960283,0.5325251468131162,0.5262468902123074,0.5395537606297336,241628.99205459835,244257.58991131847,242032.12707960283,241635.92352640396,244264.52138312408,242039.05855140844
3,((Exp(x0) * -663.2950740188148) + 3979.8878105552462),-663.2950740188148;3979.8878105552462,6,241628.99205459887,244257.58991087193,242032.12707959153,0.5325251468131151,0.5262468902131734,0.5395537606297551,241628.99205459887,244257.58991087193,242032.12707959153,241638.6486820735,244267.24653834655,242041.78370706615
4,(3183.756018488301 + (x2 - (x0 * 1132.9628071009356))),3183.756018488301;1132.9628071009356,7,240187.77660911853,242753.2615010944,240048.57952672348,0.5353134379575584,0.5291646307121803,0.5433272969050851,240187.77660911853,242753.2615010944,240048.57952672348,240200.31892540312,242765.803817379,240061.12184300806
5,((1792.3207705818159 / Exp(x0)) + (x2 + 1391.43524790389)),1792.3207705818159;1391.43524790389,8,240187.77660911877,242753.2615011408,240048.5795266423,0.5353134379575579,0.5291646307120903,0.5433272969052396,240187.77660911877,242753.2615011408,240048.5795266423,240202.1106848726,242767.59557689464,240062.91360239615
6,((x7 * 289.59082689549916) + ((x0 * -1112.3830726462684) + 3059.5433410885857)),289.59082689549916;-1112.3830726462684;3059.5433410885857,9,231627.43681540122,233513.50349825496,235766.69304165567,0.5518749588010241,0.547085728226981,0.5514732341955153,231627.43681540122,233513.50349825496,235766.69304165567,231641.92175661313,233527.98843946686,235781.17798286758
7,((Sqrt(Abs(x0)) * -1112.3827653242502) + (3059.5435486920537 + (x7 * 289.5904772991058))),-1112.3827653242502;3059.5435486920537;289.5904772991058,11,231627.4368023163,233513.5067739153,235766.68833238067,0.5518749588263392,0.5470857218736296,0.5514732431545241,231627.4368023163,233513.5067739153,235766.68833238067,231645.3543970086,233531.42436860758,235784.60592707296
8,((x0 * -1104.4333914229846) + (((x4 - x7) * -176.46623711344634) + 3221.3580117967867)),-1104.4333914229846;-176.46623711344634;3221.3580117967867,11,230105.99390351216,231570.86927489904,231926.6912849009,0.5548184644450275,0.5508535906906571,0.5587785220901731,230105.99390351216,231570.86927489904,231926.6912849009,230127.39891515177,231592.27428653865,231948.09629654052
9,((3108.21424560494 - ((-297.52637109763754 / Exp(x4)) * x7)) + (x0 * -1099.6030251239295)),3108.21424560494;-297.52637109763754;-1099.6030251239295,12,228555.91181566197,228024.3510254721,232209.73764544487,0.5578173777388498,0.557732288094471,0.5582400496408646,228555.91181566197,228024.3510254721,232209.73764544487,228582.27851059,228050.71772040013,232236.1043403729
10,(3192.2800751780537 + ((-132.2866850301728 * (x4 - (x3 * x7))) - (x0 * 1074.7096318600077))),3192.2800751780537;-132.2866850301728;1074.7096318600077,13,227798.75678288436,223440.21080339255,226732.09466027777,0.5592822306721742,0.5666235192193728,0.5686608154440078,227798.75678288436,223440.21080339255,226732.09466027777,227825.7895229262,223467.2435434344,226759.12740031962
11,((x0 * -1069.1884174088625) + (x2 + ((-129.9094819612091 * (x4 - (x3 * x7))) + 3061.7258415533734))),-1069.1884174088625;-129.9094819612091;3061.7258415533734,15,226846.60760223656,222574.94069213545,224873.0392765302,0.5611243349438949,0.5683017655582613,0.5721975155943397,226846.60760223656,222574.94069213545,224873.0392765302,226879.5659708966,222607.8990607955,224905.99764519025
12,((x0 * -988.3987147231943) + ((x2 / Exp(((Exp(x0) - (x3 - x4)) + x4))) + 3147.5511640050527)),-988.3987147231943;3147.5511640050527,17,227850.89302559473,221569.34610661396,226848.33168338684,0.5591813637099794,0.5702521801277715,0.5684396840561545,227850.89302559473,221569.34610661396,226848.33168338684,227890.03697217564,221608.49005319487,226887.47562996775
13,((x0 * -979.0903122387911) + ((46.03477847215009 / Exp((x0 - (x3 - x4)))) - (-2891.71674218103 - (x7 * 277.5487871382782)))),-979.0903122387911;46.03477847215009;-2891.71674218103;277.5487871382782,18,222053.6475582356,216747.90848648935,223196.39170312273,0.5703971803663253,0.579603664628256,0.5753871998698941,222053.6475582356,216747.90848648935,223196.39170312273,222095.0940899095,216789.35501816325,223237.83823479663
