id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,21.31398739136038,21.31398739136038,1,256.75078797089304,254.53957081049575,249.34765760959226,-2.220446049250313e-16,-6.184655989784904e-4,-4.3283838922163476e-3,256.75078797089304,254.53957081049575,249.34765760959226,256.75078797089304,254.53957081049575,249.34765760959226
1,(21.669843247216235 - x0),21.669843247216235,3,247.19939390988873,245.38214999185644,240.08815048115594,3.720103114965745e-2,3.538019794561009e-2,3.296727759140361e-2,247.19939390988873,245.38214999185644,240.08815048115594,250.49523077589305,248.67798685786076,243.38398734716026
2,(21.669843247216257 - Sqrt(Abs(x0))),21.669843247216257,5,247.1993939098889,245.3821499918564,240.08815048115596,3.720103114965678e-2,3.53801979456102e-2,3.296727759140339e-2,247.1993939098889,245.3821499918564,240.08815048115596,252.74457135436845,250.92732743633596,245.6333279256355
3,(Abs(28.902844118524246) ^ (Abs(0.601870180641696) ^ x0)),28.902844118524246;0.601870180641696,7,152.41933366485367,155.29640946124223,146.88402638271882,0.4063530053035983,0.38951553012624396,0.40837704973546674,152.41933366485367,155.29640946124223,146.88402638271882,157.9123951081942,160.78947090458277,152.37708782605935
4,(Abs(-28.90003516396751) ^ (Abs(0.6014221056236422) ^ Sqrt(Abs(x0)))),-28.90003516396751;0.6014221056236422,9,152.41938389563992,155.29510297446419,146.88645450466169,0.4063528096633564,0.38952066604594016,0.40836726968856296,152.41938389563992,155.29510297446419,146.88645450466169,160.73715006235926,163.61286914118352,155.20422067138102
5,((31.25875938640138 - (Abs(22.099693384380206) ^ x0)) - x7),31.25875938640138;22.099693384380206,8,151.6328959026614,153.64547089534875,146.16280945131697,0.40941604463604786,0.39600552148335366,0.41128198432396257,151.6328959026614,153.64547089534875,146.16280945131697,162.8989612897001,164.91153628238746,157.42887483835568
6,((31.256653606730723 - (Abs(-39.58014836087359) ^ Sin(x0))) - x7),31.256653606730723;-39.58014836087359,9,151.63290542188042,153.6455805296554,146.16377477108168,0.40941600756033303,0.39600509050081,0.41127809618621747,151.63290542188042,153.6455805296554,146.16377477108168,165.96698117570486,167.97965628347984,160.4978505249061
7,((-20.79482685788879 * x0) - (-32.081158304899134 - (x7 * -2.340339755868136))),-20.79482685788879;-32.081158304899134;-2.340339755868136,9,151.25271699448365,152.11544779871707,145.84128272796113,0.410896775858656,0.4020201830088985,0.41257703725344197,151.25271699448365,152.11544779871707,145.84128272796113,165.73765820639056,166.60038901062399,160.32622393986804
8,((37.91161739553326 - (20.35234436933775 * x0)) - Sqrt(Abs((x7 * x1)))),37.91161739553326;20.35234436933775,11,150.35467200080348,150.32281049894948,145.23773102340397,0.4143945060926213,0.40906720512242434,0.41500803706248124,150.35467200080348,150.32281049894948,145.23773102340397,169.8137734913566,169.78191198950262,164.6968325139571
9,((-22.182823175576974 * x0) - (-32.13456856277916 - ((x7 * -3.30479503777486e-2) * x1))),-22.182823175576974;-32.13456856277916;-3.30479503777486e-2,11,151.0164739012935,151.45338630303095,145.41446179278452,0.4118169019274296,0.4046228076453595,0.4142961966959119,151.0164739012935,151.45338630303095,145.41446179278452,170.7258280628021,171.16274046453955,165.12381595429312
10,((37.994230457327696 - (18.756546275549578 * x0)) - Sqrt(Abs((x1 * (x8 + x7))))),37.994230457327696;18.756546275549578,13,147.0250949437857,148.15502038596782,142.29087597238572,0.4273626339933435,0.41758898745153517,0.42687744942964156,147.0250949437857,148.15502038596782,142.29087597238572,173.39178987182032,174.52171531400245,168.65757090042035
11,((38.994809188766396 - (Abs(-34.660403443212864) ^ Sin(x0))) - Sqrt(Abs((x1 * (x8 + x7))))),38.994809188766396;-34.660403443212864,15,147.0250951613199,148.15507120437258,142.29049588838458,0.42736263314608536,0.41758878767971186,0.4268789803409574,147.0250951613199,148.15507120437258,142.29049588838458,178.19773370769872,179.3277097507514,173.4631344347634
12,((0.672801643126054 - (Abs(0.9401779997727586) ^ x0)) - Sqrt(Abs((x1 * (x7 + (x8 + -0.6018672058891585)))))),0.672801643126054;0.9401779997727586;-0.6018672058891585,16,1087.3285872995907,1100.7316664484877,1137.3259161269302,-3.234957157844663,-3.327077426943144,-3.5809481839646233,1087.3285872995907,1100.7316664484877,1137.3259161269302,1119.5647786015074,1132.9678577504044,1169.562107428847
