id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,2.4917431284782965e-2,2.4917431284782965e-2,1,1.1353296468315641,0.7083162426495103,1.005637543881196,2.220446049250313e-16,-1.6826286721465467e-2,-4.0049306138101315e-6,1.1353296468315641,0.7083162426495103,1.005637543881196,1.1353296468315641,0.7083162426495103,1.005637543881196
1,Sin(x4),,2,1.2672022809080485,0.6593257441078927,0.8284116590081088,-0.11615360740777758,5.350222435484453e-2,0.1762290680376687,1.2672022809080485,0.6593257441078927,0.8284116590081088,2.653496642027939,2.0456201052277834,2.2147060201279993
2,(x4 * 0.31079987680044413),0.31079987680044413,3,1.0384459654078961,0.5505736772583121,0.8083037487646085,8.533528715122307e-2,0.2096216998793694,0.19622433461918476,1.0384459654078961,0.5505736772583121,0.8083037487646085,4.334282831412225,3.846410543262641,4.104140614768937
3,Sin((x3 + x4)),,4,0.8533120757353801,0.49643363631143844,0.7936974781725762,0.24840148575634247,0.28734265767222633,0.2107487815016672,0.8533120757353801,0.49643363631143844,0.7936974781725762,6.398489520214943,6.041611080791001,6.338874922652138
4,(0.45755537124816537 * (x3 + x4)),0.45755537124816537,5,0.6862221425681552,0.42598667251638556,0.5420726726333203,0.39557454129447045,0.38847308542943704,0.4609639955319713,0.6862221425681552,0.42598667251638556,0.5420726726333203,8.733411704738657,8.473176234686887,8.589262234803822
5,Sin(((x0 + x3) * 0.5871599108263776)),0.5871599108263776,6,0.5807552682041475,0.41433203247447914,0.6133112430012416,0.4884699172395457,0.40520395173367185,0.3901245006196088,0.5807552682041475,0.41433203247447914,0.6133112430012416,11.331312083572477,11.16488884784281,11.363868058369572
6,(0.4224951761300981 * (x4 + (x0 + x3))),0.4224951761300981,7,0.5417528100845475,0.28266747000511233,0.4425498956403249,0.5228233389338057,0.5942155543022428,0.5599292501412098,0.5417528100845475,0.28266747000511233,0.4425498956403249,13.084069094680933,12.824983754601497,12.98486618023671
7,((((x3 + x4) + x0) + x1) * 0.4254270226824495),0.4254270226824495,9,0.4350134725121895,0.17464779563473534,0.3034574620959917,0.616839502318812,0.7492836407999318,0.698242493760832,0.4350134725121895,0.17464779563473534,0.3034574620959917,17.94820481401001,17.687839137132556,17.81664880359381
8,((x1 - (((x3 + x4) + x0) * -1.296974099116972)) * 0.3436630352373623),-1.296974099116972;0.3436630352373623,11,0.4262368992009276,0.17396654594074132,0.30064593139303436,0.6245699208239177,0.7502616115917393,0.7010382743878079,0.4262368992009276,0.17396654594074132,0.30064593139303436,23.30009385767912,23.047823504418933,23.174502889871228
9,(((Sin(Exp(x2)) - x0) - (x1 + (x3 + x4))) * -0.4116118519413325),-0.4116118519413325,13,0.3840245556402364,0.12640515628090485,0.28877879447671156,0.6617506142714076,0.8185385595524747,0.7128389321054802,0.3840245556402364,0.12640515628090485,0.28877879447671156,31.55666310201906,31.299043702659727,31.461417340855533
10,((((0.7536788117314684 + (Sin(Exp(x2)) - x0)) + -1.1817623376604176) - (x1 + (x3 + x4))) * -0.42680118179797766),0.7536788117314684;-1.1817623376604176;-0.42680118179797766,17,0.3517343730236519,0.1163392277507749,0.2732152656968543,0.6901918539648295,0.8329887445311641,0.7283152746559418,0.3517343730236519,0.1163392277507749,0.2732152656968543,41.115954010595956,40.88055886532308,41.03743490326916
11,(((((0.8499667541220426 + (x2 + 0.6810336187293529)) - Exp(x2)) - x0) - (x1 + (x3 + x4))) * -0.4331657980596932),0.8499667541220426;0.6810336187293529;-0.4331657980596932,18,0.32667007241794055,0.10371998750227332,0.2521536721349023,0.7122685263001813,0.851104346617504,0.7492588820623306,0.32667007241794055,0.10371998750227332,0.2521536721349023,41.77320174631077,41.5502516613951,41.69868534602773
12,(((((Sqrt(Abs(Sin(x0))) + (x2 + 0.7603135805120739)) - Exp(x2)) - x0) - (x1 + (x3 + x4))) * -0.4379129603981526),0.7603135805120739;-0.4379129603981526,21,0.29144484795411957,8.704151906731672e-2,0.2068218834268866,0.7432949551106386,0.8750471903725495,0.7943367240089708,0.29144484795411957,8.704151906731672e-2,0.2068218834268866,49.98957784371412,49.785174514827325,49.90495487918689
13,((((((x2 + (x0 * -0.9659729362112112)) - Exp(x2)) + 0.6642061639288339) + Sqrt(Abs(x0))) - (x1 + (x3 + x4))) * -0.43937942268584584),-0.9659729362112112;0.6642061639288339;-0.43937942268584584,22,0.28648850650188823,8.582823781046858e-2,0.19314443937322154,0.7476605078521381,0.8767889212561092,0.8079375476000352,0.28648850650188823,8.582823781046858e-2,0.19314443937322154,50.642289235267675,50.44162896657625,50.54894516813901
14,((((((0.23706913076628924 + (x2 + 0.5247616648296575)) - Exp(x2)) - x0) + Sqrt(Abs((x3 * x0)))) - (x1 + (x3 + x4))) * -0.42261467470394315),0.23706913076628924;0.5247616648296575;-0.42261467470394315,24,0.31203829125421984,8.421338569800074e-2,0.19588240490422618,0.7251562203761307,0.8791071288281718,0.8052149200360329,0.31203829125421984,8.421338569800074e-2,0.19588240490422618,55.46362956561674,55.23580466006052,55.34747367926675
15,(((((((x2 + 0.7631122050245575) + (x0 * 2.140337762791871e-2)) - Exp(x2)) - x0) + Sqrt(Abs((x3 * x0)))) - (x1 + (x3 + x4))) * -0.4246362806722193),0.7631122050245575;2.140337762791871e-2;-0.4246362806722193,26,0.3119693730840809,8.415085904505318e-2,0.19444043180409895,0.7252169236003716,0.8791968892212131,0.8066488152638942,0.3119693730840809,8.415085904505318e-2,0.19444043180409895,60.25935119304335,60.03153267900432,60.141822251763365
16,(((((((x2 + 0.6591030989974729) + Sin(Sin((Abs(7.331607484509563e-2) ^ x3)))) - Exp(x2)) - x0) + Sqrt(Abs((x3 * x0)))) - (x1 + (x3 + x4))) * -0.42322994142149256),0.6591030989974729;7.331607484509563e-2;-0.42322994142149256,29,0.3101660203716968,0.1146482695297721,0.25615672749838553,0.7268053192856396,0.8354162065394217,0.7452782516455378,0.3101660203716968,0.1146482695297721,0.25615672749838553,69.56379867183318,69.36828092099125,69.50978937895987
17,(((((0.9581046766149863 * ((Abs(x2) ^ 1.4400887849202528) + x4)) - (((x4 + -3.537210144833487) * 0.5176924976883055) + Sqrt(Abs(Exp((0.9237059906088273 - x1)))))) - (Sqrt(Abs(x0)) - x0)) + x3) * 0.5431909697649967),0.9581046766149863;1.4400887849202528;-3.537210144833487;0.5176924976883055;0.9237059906088273;0.5431909697649967,31,0.16692820775755463,7.997682142094413e-2,0.21849667932409633,0.8529693924373316,0.8851889460489409,0.7827273298241646,0.16692820775755463,7.997682142094413e-2,0.21849667932409633,69.74431440182155,69.65736301548495,69.7958828733881
18,(((((0.6766693667367 * ((Abs(x2) ^ 2.119667583095907) + Sin((Abs((x1 + 0.17887947319100303)) ^ x1)))) - (((x4 + -0.7202944382934912) * -0.4762321864926285) + (x1 * -0.8047034830472859))) - (Sqrt(Abs(x0)) - x0)) + x3) * 0.5427110481946185),0.6766693667367;2.119667583095907;0.17887947319100303;-0.7202944382934912;-0.4762321864926285;-0.8047034830472859;0.5427110481946185,34,0.18486557870970352,9.29265453769301e-2,0.2282855980841397,0.8371701300801758,0.8665989167211102,0.7729932481726345,0.18486557870970352,9.29265453769301e-2,0.2282855980841397,77.21697172213771,77.12503268880494,77.26039174151215
19,(((((1.4312712832880712 * ((Abs(x2) ^ 1.6622336879795985) + Sin((x0 + x1)))) - ((-0.759889221305644 * (x3 + x4)) + (Exp((-3.329384060610227 - x1)) * 9.95457482740162))) - (Sqrt(Abs(x0)) - x0)) + x3) * 0.3182741662013849),1.4312712832880712;1.6622336879795985;-0.759889221305644;-3.329384060610227;9.95457482740162;0.3182741662013849,34,0.1148881482901226,6.674545836998148e-2,0.1311986283724008,0.898806352312962,0.9041832835344802,0.8695363407898944,0.1148881482901226,6.674545836998148e-2,0.1311986283724008,82.1932675870593,82.14512489713915,82.20957806714158
20,(((((1.6445183643437464 * ((Abs(x2) ^ 1.57492408217906) + Sin((x0 + x1)))) - ((-1.0857545553538315 * (x3 + x4)) + -0.25353635877619807)) - (Sqrt(Abs(Exp(((x0 * Sin(x0)) - x1)))) - x0)) + x3) * 0.29009551091278896),1.6445183643437464;1.57492408217906;-1.0857545553538315;-0.25353635877619807;0.29009551091278896,35,0.11013423320049161,6.372396668567593e-2,0.11818261730755113,0.9029936076206148,0.9085207983120884,0.8824794367117472,0.11013423320049161,6.372396668567593e-2,0.11818261730755113,84.75346302943122,84.70705276291639,84.76151141353827
21,(((((2.406604189651913 * ((Abs(x2) ^ 1.4135408720392764) + Sin((x0 + x1)))) - ((-1.4105513395282183 * (x3 + x4)) + (Exp(((Abs(x2) ^ 0.25961648049913766) - x1)) * 0.2572492231132698))) - (Sqrt(Abs(x0)) - x0)) + x3) * 0.23360276258108287),2.406604189651913;1.4135408720392764;-1.4105513395282183;0.25961648049913766;0.2572492231132698;0.23360276258108287,37,9.883051650718447e-2,7.441706233383738e-2,0.10820169573648238,0.9129499376828598,0.8931702810052904,0.8924044455826832,9.883051650718447e-2,7.441706233383738e-2,0.10820169573648238,87.30710867019943,87.28269521602608,87.31647984942873
22,(((((1.8821777976244614 * ((Abs(x2) ^ 1.510720419193648) + Sin((x0 + x1)))) - ((-1.1901363353438672 * (x3 + x4)) + (x2 * -0.130826522121528))) - (Sqrt(Abs(Exp(((x0 * Sin(x0)) - x1)))) - x0)) + x3) * 0.2703577454609731),1.8821777976244614;1.510720419193648;-1.1901363353438672;-0.130826522121528;0.2703577454609731,37,0.10986765216338587,5.8616318785654e-2,0.10853157718127815,0.9032284125848379,0.9158531031998501,0.8920764121197767,0.10986765216338587,5.8616318785654e-2,0.10853157718127815,89.88309516331718,89.83184382993944,89.88175908833507
23,(((((1.7781251821685367 * ((Abs(x2) ^ 1.4782455404525072) + Sin((x0 + x1)))) - ((-1.0773713772134277 * (x3 + x4)) + (x2 * -0.17212314164019726))) - (Sqrt(Abs(Exp(((x0 * Sin(Sin(x0))) - x1)))) - x0)) + x3) * 0.28515606416612455),1.7781251821685367;1.4782455404525072;-1.0773713772134277;-0.17212314164019726;0.28515606416612455,38,0.1093875348967054,5.735035255455219e-2,0.11450145026694616,0.9036513005698564,0.9176704662142445,0.8861399820104203,0.1093875348967054,5.735035255455219e-2,0.11450145026694616,92.44756440351203,92.39552722116987,92.45267831888226
24,(((((1.6354135176991755 * ((Abs(x2) ^ 1.440307289951863) + Sin((x0 + x1)))) - ((-0.9480376924550898 * (x3 + x4)) + (x2 * -0.18409392089747953))) - (Sqrt(Abs(Exp(((x0 * Sin((x0 * 0.48894957824586804))) - x1)))) - x0)) + x3) * 0.3079804728211402),1.6354135176991755;1.440307289951863;-0.9480376924550898;-0.18409392089747953;0.48894957824586804;0.3079804728211402,39,0.11405054826323151,6.056769388637066e-2,0.1267341203527869,0.8995441116317895,0.9130517986720302,0.8739758388245721,0.11405054826323151,6.056769388637066e-2,0.1267341203527869,95.0171767743401,94.96369391996323,95.02986034642966
25,(((((1.8909280897653191 * ((Abs(x2) ^ (0.5275440161519092 + Sqrt(Abs(x3)))) + Sin((x0 + x1)))) - ((-1.1135486240152916 * (x3 + x4)) + (x2 * -0.13938138397998354))) - (Sqrt(Abs(Exp(((x0 * Sin(x0)) - x1)))) - x0)) + x3) * 0.27649336221712123),1.8909280897653191;0.5275440161519092;-1.1135486240152916;-0.13938138397998354;0.27649336221712123,41,0.11315673643109174,5.731666654978888e-2,0.10944405187918065,0.9003313823902288,0.9177188242965184,0.8911690490665054,0.11315673643109174,5.731666654978888e-2,0.10944405187918065,97.58123231996949,97.52539225008819,97.57751963541757
26,(((((1.6496064642645292 * ((Abs(x2) ^ 1.381780256599041) + Sin((x0 + x1)))) - ((((3.979146325040826 * (x3 + x4)) + x2) * -0.25010292190325445) + -0.349366475561748)) - (Sqrt(Abs(Exp(((Sin((x0 + 0.4909375383442776)) * x0) - x1)))) - x0)) + x3) * 0.3032292741684938),1.6496064642645292;1.381780256599041;3.979146325040826;-0.25010292190325445;-0.349366475561748;0.4909375383442776;0.3032292741684938,41,0.1069434236869534,6.055975950767583e-2,0.11709420124357112,0.9058040772691816,0.9130631889019021,0.8835617555150111,0.1069434236869534,6.055975950767583e-2,0.11709420124357112,100.1399683646869,100.0935847005076,100.15011914224351
