id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,18.60869565217391,18.60869565217391,1,16.17296786389414,40.168517643352224,8.53163571666852,1.1102230246251565e-16,-0.21193578977376148,-8.855450948119126e-3,16.17296786389414,40.168517643352224,8.53163571666852,16.17296786389414,40.168517643352224,8.53163571666852
1,(x1 + x1),,3,12.41304347826087,7.479166666666667,18.764705882352942,0.23248202910408522,0.7743439316955634,-1.218903436988544,12.41304347826087,7.479166666666667,18.764705882352942,14.492485019940705,9.558608208346502,20.844147424032776
2,(0.16686738138773638 / (Abs(x0) ^ 0.8719594107699657)),0.16686738138773638;0.8719594107699657,6,Infinity,Infinity,362.9497015745766,-Infinity,-Infinity,-41.918356691920074,Infinity,Infinity,362.9497015745766,Infinity,Infinity,369.88117338017605
3,(Sqrt(Abs((x1 * Sqrt(Abs(x0))))) * 4.6466548245051875),4.6466548245051875,9,10.473443323003963,5.777479734425725,14.837768589361414,0.352410552525382,0.8256860129365031,-0.7545479223917553,10.473443323003963,5.777479734425725,14.837768589361414,21.739508710042664,17.043545121464426,26.103833976400118
4,((x1 + (3.802620957792059 * Sqrt(Abs(x0)))) + 2.7712959132242037),3.802620957792059;2.7712959132242037,9,6.169808619967856,4.770601569928604,11.228883365810717,0.6185110443617561,0.8560648208957689,-0.3278016745987309,6.169808619967856,4.770601569928604,11.228883365810717,20.503884373792296,19.104677323753045,25.562959119635156
5,Log((Abs((x1 - (x0 * -161.1404306382483))) ^ Sqrt(Abs(x1)))),-161.1404306382483,11,6.233620313369408,4.08078135492615,10.805562705768823,0.6145654671530107,0.8768775831314514,-0.27774452617315504,6.233620313369408,4.08078135492615,10.805562705768823,24.948594188487927,22.79575523004467,29.520536580887345
6,((x1 * (Sin((x1 - x0)) + -6.970643817756113)) * -0.2770873518368934),-6.970643817756113;-0.2770873518368934,10,7.836680501636101,3.80453743338389,7.3200174206129,0.5154457383711653,0.8852122171898213,0.1344169253039571,7.836680501636101,3.80453743338389,7.3200174206129,27.295781992189234,23.26363892393702,26.77911891116603
7,((x1 + (x1 - (2.964459375165164 * Sin((x1 - x0))))) * 0.9642064968294001),2.964459375165164;0.9642064968294001,12,7.246152301148369,3.2497093508384087,8.389488591554597,0.551959024334348,0.901952093338069,7.953272111587806e-3,7.246152301148369,3.2497093508384087,8.389488591554597,30.597074089812125,26.600631139502166,31.740410380218357
8,((((x1 + x1) + Sin(x1)) - (2.972707517035569 * Sin((x1 - x0)))) * 0.982460008769637),2.972707517035569;0.982460008769637,15,6.949779366281563,3.0799667509311983,12.950630784486533,0.5702842283019174,0.9070734456793059,-0.5313961934192344,6.949779366281563,3.0799667509311983,12.950630784486533,36.13843160211126,32.2686189867609,42.139283020316235
9,((x1 + (Sin((x0 - (x0 * 0.46355405637855257))) - (1.7067109878688127 * Sin((x1 - x0))))) * 1.818613573924529),0.46355405637855257;1.7067109878688127;1.818613573924529,17,6.065652416522767,2.7720532431218765,8.47758053329202,0.6249511859808844,0.9163635918475617,-2.463491866364409e-3,6.065652416522767,2.7720532431218765,8.47758053329202,39.14612495046309,35.8525257770622,41.55805306723234
10,(((((x0 * -0.14388412154077104) * x0) + x1) + (x0 - (1.6500967026899336 * Sin((x1 - x0))))) * 1.7098144809363889),-0.14388412154077104;1.6500967026899336;1.7098144809363889,18,5.7099503505557125,2.692559698062523,9.70756906645426,0.6469448032909857,0.9187620142431505,-0.1479081261069075,5.7099503505557125,2.692559698062523,9.70756906645426,40.736333033551354,37.71894238105816,44.7339517494499
11,(((((x0 * -0.15410377115044027) * x0) + x1) + (x0 - (2.0439187264919667 * Sin(((x1 + -0.10295545524940648) - x0))))) * 1.7155970092873087),-0.15410377115044027;2.0439187264919667;-0.10295545524940648;1.7155970092873087,20,5.727069169543364,2.462746563826813,10.098482106531797,0.6458863198307008,0.9256957717896263,-0.19413311325191906,5.727069169543364,2.462746563826813,10.098482106531797,44.645272150649625,41.380949544933074,49.01668508763806
12,(((Sin(x1) + ((x0 * ((x0 + x0) * -0.14723624158216547)) + (x1 - (x0 * -2.576623893015641)))) - (Sin((x1 - x0)) * (Sin(x0) + 1.2681884732187263))) * 1.3865566238650813),-0.14723624158216547;-2.576623893015641;1.2681884732187263;1.3865566238650813,28,5.311100062922511,2.348731096028842,21.93401100382843,0.6716063429038621,0.9291357649514109,-1.5936698772939515,5.311100062922511,2.348731096028842,21.93401100382843,59.79658423647128,56.83421526957761,76.4194951773772
13,(((Sin(x1) + (((x1 - x0) + (((x0 * -0.7001516666357114) * x0) + Sqrt(Abs((x0 + 3.8632662978326553))))) + (x1 - (x0 * -6.332868095260728)))) - (Sin((x1 - x0)) * (Sin(x0) + 3.796775001182671))) * 0.6425644708169587),-0.7001516666357114;3.8632662978326553;-6.332868095260728;3.796775001182671;0.6425644708169587,36,4.966604212394264,2.404053150997125,15.762346551579883,0.6929070623158711,0.9274666274697845,-0.8638781315084239,4.966604212394264,2.404053150997125,15.762346551579883,77.74705817118851,75.18450710979138,88.54280051037414
14,(((Sin(x1) + (((x1 - Sqrt(Abs(x1))) + (((x1 + 0.5349216009923308) - (x0 * ((x0 + x0) * 0.324132209877086))) + 0.4234994571646418)) + (x0 - (x0 * -4.056076044654272)))) - (Sin((x1 - x0)) * (Sin(x0) + Sqrt(Abs(x1))))) * 0.7730406563906169),0.5349216009923308;0.324132209877086;0.4234994571646418;-4.056076044654272;0.7730406563906169,42,5.153789419368505,2.1747637858536293,17.618822754370974,0.6813331070251957,0.934384582229758,-1.0834041636715273,5.153789419368505,2.1747637858536293,17.618822754370974,88.33145108656194,85.35242545304706,100.7964844215644
15,(((Sin(x1) + (((x1 - Sqrt(Abs((x0 - (x1 + x1))))) + ((x1 - (x0 * ((x0 + x0) * 0.2680890436087303))) + 1.2183312754318467)) + (x0 - (x0 * -3.1876907279429094)))) - (Sin((x1 - x0)) * (Sin(x0) + 2.5384078656367763))) * 0.8398509508973397),0.2680890436087303;1.2183312754318467;-3.1876907279429094;2.5384078656367763;0.8398509508973397,42,5.1570368089933325,2.1843570153965373,18.27077580717625,0.6811323158252034,0.9340951421681208,-1.1604968118960466,5.1570368089933325,2.1843570153965373,18.27077580717625,90.4141400178666,87.4414602242698,103.52787901604951
16,(((Sin(x1) + (((x1 - Sqrt(Abs((x0 - (x1 + x1))))) + ((x1 - (x0 * ((x0 + x0) * 0.2767702191648068))) + 0.9918994788387597)) + (x0 - (x0 * -3.094307102867068)))) - (Sin((x1 - x0)) * (Sin(x0) + Sqrt(Abs(x1))))) * 0.8692511069187967),0.2767702191648068;0.9918994788387597;-3.094307102867068;0.8692511069187967,44,5.241018210301146,2.0880648818848506,18.491137666243425,0.6759396139034182,0.9370003995618001,-1.1865543312374598,5.241018210301146,2.0880648818848506,18.491137666243425,92.57756296085425,89.42460963243795,105.82768241679653
17,((x1 + ((Sin(((Sqrt(Abs(x0)) - (x0 * x0)) + -1.962685922639247)) + (((x0 * -0.17540086274552646) * x0) + ((x1 - (((x0 + 4.339075928074218e-2) * -7.919172700687355e-2) * x0)) + x1))) - (Sin((x1 - x0)) * (Sin(x1) + (x1 - x0))))) * 0.6887228513361723),-1.962685922639247;-0.17540086274552646;4.339075928074218e-2;-7.919172700687355e-2;0.6887228513361723,44,6.934399196642562,2.262150368966957,9.989926080081087,0.5712352083427135,0.9317480167343268,-0.18129649637620093,6.934399196642562,2.262150368966957,9.989926080081087,96.3503854888755,91.6781366611999,99.40591237231403
