id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,x3,,1,0.46852498182754226,0.11967915181865635,0.2131222272814995,0.7347944577872301,0.6656689062325003,0.7163903300513507,0.46852498182754226,0.11967915181865635,0.2131222272814995,0.46852498182754226,0.11967915181865635,0.2131222272814995
1,Sqrt(Abs(x3)),,3,1.117518525241337,0.11384802396823995,0.38051057107027464,0.36743585099047216,0.6819585216124777,0.4936404388704482,1.117518525241337,0.11384802396823995,0.38051057107027464,2.503812886361228,1.5001423850881306,1.766804932190165
2,(0.4739744713438986 * (x2 + x3)),0.4739744713438986,5,0.27120291389660456,6.258611907235243e-2,9.847872238585209e-2,0.846487340869037,0.8251618153525323,0.8689507035043986,0.27120291389660456,6.258611907235243e-2,9.847872238585209e-2,8.318392476067107,8.109775681242853,8.145668284556354
3,Log((x2 + ((Abs(x3) ^ x0) + x3))),,9,0.8030519066695203,5.532100483120009e-2,0.20454848268918113,0.5454376509390024,0.8454573601795108,0.7277997306805947,0.8030519066695203,5.532100483120009e-2,0.20454848268918113,15.13712766049396,14.38939675865564,14.538624236513622
4,Log(((Abs(((Abs(x3) ^ x2) + x3)) ^ 0.6007372927828541) + x2)),0.6007372927828541,12,0.39807776604108297,4.90069126189272e-2,0.10662002479408289,0.7746706496332925,0.8630961662990322,0.8581167697641101,0.39807776604108297,4.90069126189272e-2,0.10662002479408289,18.315672458321632,17.966601604899477,18.02421471707463
5,Log((x2 + (Abs(((Abs(x3) ^ x2) + x3)) ^ Sin(Exp(x1))))),,14,0.4465229208175259,2.653275936340349e-2,0.15909510128939958,0.7472485824257913,0.9258790998779979,0.7882862348865366,0.4465229208175259,2.653275936340349e-2,0.15909510128939958,25.399821420975552,24.97983125952143,25.112393601447426
6,Log((x2 + (Abs(((Abs(x3) ^ (x2 / x3)) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),,19,0.46248064663423993,1.782204851869566e-2,0.19715076858927738,0.7382158147146725,0.9502130079977378,0.737644143818587,0.46248064663423993,1.782204851869566e-2,0.19715076858927738,35.618073884013754,35.17341528589821,35.35274400596879
7,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(-1.0032397849304446) ^ (Exp(x0) + 60.74954483194906)) * x2) / Sqrt(Abs(x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),-1.0032397849304446;60.74954483194906,29,0.453065054361127,2.2140711204106767e-2,0.20893665981768433,0.7435454499548365,0.9381485573621401,0.7219602202599045,0.453065054361127,2.2140711204106767e-2,0.20893665981768433,62.01184963343801,61.580925290280994,61.767721238894566
8,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(-1.141654115717229) ^ x2) * x2) / Log((Abs(Exp(Exp(x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),-1.141654115717229,30,0.4608186791850717,1.6607256985689756e-2,0.19902158981962523,0.7391565606633248,0.9536066030872549,0.7351545724658483,0.4608186791850717,1.6607256985689756e-2,0.19902158981962523,62.58348492388508,62.13927350168569,62.32168783451963
9,Log((x2 + (Abs(((Abs(x3) ^ ((x2 * (Abs(1.0208370199527088) ^ x4)) / Log((Abs(((Abs(x0) ^ x0) + (Abs(Exp(x1)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),1.0208370199527088,37,0.45696404431999355,1.629950626836112e-2,0.1985859373765851,0.7413384518517898,0.9544663237016533,0.7357343113657226,0.45696404431999355,1.629950626836112e-2,0.1985859373765851,77.40544476816609,76.96478023011447,77.1470666612227
10,Log((x2 + (Abs(((Abs(x3) ^ (x2 / Log((Abs(((Abs(-0.9513563179120238) ^ x4) + (Abs((((x2 + x3) / x2) + x1)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),-0.9513563179120238,37,0.4579872436879662,1.612132346151716e-2,0.20008251510601616,0.7407592764530385,0.9549640883649003,0.7337427597509029,0.4579872436879662,1.612132346151716e-2,0.20008251510601616,77.49009338711598,77.04822746688953,77.23218865853403
11,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(1.056072811393605) ^ x2) * x2) / Log((Abs((1.1089281752213407 + (Abs((((x3 + x0) / x2) + x1)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),1.056072811393605;1.1089281752213407,39,0.46009103609642427,1.6095840443852205e-2,0.2003309348700129,0.7395684383376153,0.9550352767468278,0.7334121783367795,0.46009103609642427,1.6095840443852205e-2,0.2003309348700129,82.46201047910044,82.01801528344787,82.20225037787402
12,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(-1.0898378151492871) ^ x2) * x2) / Log((Abs(((Abs(1.0374904253200714) ^ x2) + (Abs((((x2 + x1) / x2) + x4)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),-1.0898378151492871;1.0374904253200714,42,0.45694406321030795,1.5874075579225693e-2,0.19916782547478307,0.741349762029974,0.955654790577124,0.7349599712437089,0.45694406321030795,1.5874075579225693e-2,0.19916782547478307,90.23017157436409,89.78910158673301,89.97239533662858
13,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(1.0615430356599875) ^ x2) * x2) / Log((Abs(((Abs((x2 / x1)) ^ x0) + (Abs((((x1 + x1) / x2) + x4)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),1.0615430356599875,44,0.46220034839314783,1.5719942583589098e-2,0.2002377262262924,0.7383744757250633,0.9560853706090993,0.7335362145436977,0.46220034839314783,1.5719942583589098e-2,0.2002377262262924,95.36532657447002,94.91884616866045,95.10336395230316
14,Log((x2 + (Abs(((Abs(x3) ^ (((Abs(-1.0654679144407946) ^ x2) * x2) / Log((Abs((((Abs(-2.1205649482304405e-2) ^ x2) + (Abs(x2) ^ x0)) + (Abs((((x1 + x1) / x2) + -1.0091660413896484)) ^ x0))) ^ x3)))) + (Abs(x3) ^ x2))) ^ Sin(Exp(x1))))),-1.0654679144407946;-2.1205649482304405e-2;-1.0091660413896484,47,0.45238353398252573,1.555122794515216e-2,0.20047547868271456,0.7439312201667705,0.9565566853597977,0.7332198285122852,0.45238353398252573,1.555122794515216e-2,0.20047547868271456,97.36374287571454,96.92691056967716,97.11183482041473
