gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,674.1266,319.11166,370.55374,1059.1322,1139.6902,688.02057,374.22354,374.22354,1168.4388,1177.2552,146.16443,135.66957,137.6547,154.20677,154.20677,154.10744,143.99611,148.34756,161.19522,162.08653,3.295837,3.295837,3.295837,6.931472,8.04719,4.7941175,1.5142632,3.2352986,6.9392147,7.6009903,3,3,3,5,5,5.96,5.702,5.768,6.158,6.286
2,591.56006,319.11163,319.1117,945.67316,1059.1322,626.30115,374.22354,374.22354,1054.1792,1168.4388,145.2819,135.66957,137.6547,151.94778,153.08401,153.44565,143.99611,148.34756,158.38742,159.61516,3.295837,3.295837,3.295837,6.931472,6.931472,4.8679104,3.1437988,4.339877,7.6009903,8.7293825,3,3,3,5,5,5.124,4.778,4.928,5.532,5.56
3,625.99884,319.11163,319.1117,920.4953,945.67316,626.30115,374.22354,374.22354,1030.132,1039.0664,145.2819,135.66957,137.6547,149.77324,150.1915,153.44565,143.99611,148.34756,157.97481,158.36041,3.295837,3.295837,3.295837,6.931472,6.931472,4.84242,3.2352986,4.6471653,7.6009903,8.7293825,3,3,3,5,5,4.494,4.028,4.102,4.814,5.118
4,539.75287,295.61,319.11166,920.4953,945.67316,626.30115,374.2228,374.22354,1030.132,1039.0664,145.2819,132.16724,135.66957,149.77324,150.1915,153.44562,143.99611,147.90234,157.97481,158.36041,3.295837,3.295837,3.295837,6.931472,6.931472,4.84242,4.339877,4.6471653,8.7293825,8.803621,3,3,3,5,5,3.718,3.25,3.376,4.182,4.194
5,514.0099,295.60995,319.11166,879.4423,920.49536,626.30115,374.2228,374.22354,1039.0671,1054.1791,143.797,132.16722,135.66957,149.62073,149.77324,153.24817,142.6769,147.90231,157.64677,157.97475,3.295837,3.295837,3.295837,6.931472,9.656628,4.84242,1.5142611,1.5174732,8.7293825,8.803621,3,3,3,5,6,2.97,2.544,2.63,3.4,3.4
6,514.0099,295.60995,319.11166,729.3011,879.44226,626.30115,374.22278,374.22354,1039.0671,1054.179,143.797,132.16722,135.66957,149.06607,149.62073,153.17496,142.6769,147.90231,157.64676,157.97475,5.4930615,3.295837,3.295837,9.656628,9.656628,4.8423843,1.5142611,1.5174732,8.7293825,8.803621,5,3,3,6,6,2.266,1.896,1.98,2.542,2.564
7,514.0098,295.60995,319.11166,729.3011,879.4421,516.5838,374.2228,374.22354,1012.7613,1039.0671,143.797,132.16722,135.66957,149.06606,149.62073,152.58057,142.6769,147.90231,157.25293,157.97475,5.4930615,3.295837,3.295837,9.656628,9.656628,4.84239,1.5142611,1.5142615,8.7293825,8.803621,5,3,3,6,6,1.802,1.52,1.564,2.09,2.166
8,514.0098,295.60995,319.1117,729.3011,879.4421,516.5838,374.22278,374.2228,1012.7613,1039.0671,143.797,132.16722,135.66957,149.06606,149.62073,152.3051,142.6769,147.21663,157.25293,157.97475,5.4930615,3.295837,3.295837,9.656628,9.656628,4.461099,1.514261,1.5142611,8.7293825,8.803074,5,3,3,6,6,1.784,1.408,1.504,2.07,2.148
9,496.64966,295.60995,319.1117,729.3011,879.44214,516.58276,374.2226,374.2228,1012.736,1039.0671,141.49933,132.16722,135.66957,146.16443,149.06606,152.3051,142.6769,146.49658,157.2523,157.97475,5.4930615,3.295837,3.295837,9.656628,9.704061,2.9944212,1.4366095,1.5142611,8.661997,8.803074,5,3,3,6,7,1.912,1.516,1.654,2.362,2.43
10,514.00977,319.1117,319.1117,729.3011,879.442,626.2978,374.2226,374.2228,1012.673,1039.0671,142.8295,133.65656,135.66957,146.16444,149.06606,152.3051,142.6769,143.99611,157.25073,157.97475,5.4930615,3.295837,3.295837,9.656628,9.704061,1.5301356,0.9992391,1.4307698,7.472166,7.6007795,5,3,3,6,7,2.206,1.644,1.78,2.584,2.602
