-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10793,93.47771,93.47771,3.295837,3.6675434,9.499135,13.415104,0.498676,-0.17751276,86.51433,49.5119,5.97,Inf,3,"(7.529408 + X2) [likelihood params: Float32[3.0820668]]"
2,20492,93.47771,93.47771,3.295837,3.6675434,9.499135,13.415104,0.498676,-0.17751276,86.51433,49.5119,5.164,Inf,3,"(7.529408 + X2) [likelihood params: Float32[3.0820668]]"
3,29558,93.47737,93.47737,3.295837,3.6672077,9.499135,13.4136305,0.498676,-0.17738342,86.51433,49.510506,4.7,Inf,3,"(7.5296907 + X2) [likelihood params: Float32[3.0820668]]"
4,38407,93.47737,93.47737,3.295837,3.6672077,9.499135,13.4136305,0.498676,-0.17738342,86.51433,49.510506,3.566,Inf,3,"(7.5296907 + X2) [likelihood params: Float32[3.0820668]]"
5,47104,93.47737,93.47737,3.295837,3.6672077,9.499135,13.4136305,0.498676,-0.17738342,86.51433,49.510506,2.716,Inf,3,"(7.5296907 + X2) [likelihood params: Float32[3.0820668]]"
6,55468,93.47737,93.47737,3.295837,3.6672077,9.499135,13.4136305,0.498676,-0.17738342,86.51433,49.510506,2.294,Inf,3,"(7.5296907 + X2) [likelihood params: Float32[3.0820668]]"
7,63195,93.47737,93.47737,3.295837,3.6672077,9.499135,13.4136305,0.498676,-0.17738342,86.51433,49.510506,2.088,Inf,3,"(7.5296907 + X2) [likelihood params: Float32[3.0820668]]"
8,70920,93.459114,93.459114,3.295837,3.4865332,9.499136,13.415094,0.49867594,-0.17751193,86.67674,49.108368,2.244,Inf,3,"(7.52941 + X2) [likelihood params: Float32[3.3080063]]"
9,78836,93.459114,93.459114,3.295837,3.4865332,9.499136,13.415094,0.49867594,-0.17751193,86.67674,49.108368,2.25,Inf,3,"(7.52941 + X2) [likelihood params: Float32[3.3080063]]"
10,86905,93.459114,93.459114,3.295837,3.4865332,9.499136,13.415094,0.49867594,-0.17751193,86.67674,49.108368,2.432,Inf,3,"(7.52941 + X2) [likelihood params: Float32[3.3080063]]"
11,95264,93.459114,93.459114,3.295837,3.4865332,9.499136,13.415094,0.49867594,-0.17751193,86.67674,49.108368,2.57,6.805647e35,3,"(7.52941 + X2) [likelihood params: Float32[3.3080063]]"
12,103350,93.459015,93.459015,3.295837,3.486432,9.499136,13.414784,0.49867594,-0.17748475,86.67674,49.108116,2.612,Inf,3,"(7.529468 + X2) [likelihood params: Float32[3.3080063]]"
13,111179,93.459015,93.459015,3.295837,3.486432,9.499136,13.414784,0.49867594,-0.17748475,86.67674,49.108116,2.614,107.50027,3,"(7.529468 + X2) [likelihood params: Float32[3.3080063]]"
14,119018,93.459015,93.459015,3.295837,3.486432,9.499136,13.414784,0.49867594,-0.17748475,86.67674,49.108116,2.822,4.604168e12,3,"(7.529468 + X2) [likelihood params: Float32[3.3080063]]"
15,126738,93.459015,93.459015,3.295837,3.486432,9.499136,13.414784,0.49867594,-0.17748475,86.67674,49.108116,3.006,Inf,3,"(7.529468 + X2) [likelihood params: Float32[3.3080063]]"
16,134138,93.459015,93.459015,3.295837,3.486432,9.499136,13.414784,0.49867594,-0.17748475,86.67674,49.108116,3.184,1.537108e13,3,"(7.529468 + X2) [likelihood params: Float32[3.3080063]]"
17,141813,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.23,1.2144393e10,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
18,149006,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.574,1.4563149e14,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
19,156646,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.772,102.604126,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
20,164419,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.002,102.95779,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
21,171726,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.132,4.1742154e21,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
22,178825,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.952,4.162999e10,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
23,185837,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.962,102.87159,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
24,193006,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.882,102.82294,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
25,200186,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.208,102.2517,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
26,207443,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.06,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
27,214839,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.984,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
28,222296,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.236,102.34795,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
29,229880,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.504,102.8684,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
30,237364,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.18,101.43656,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
31,244225,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.796,102.62212,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
32,250985,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.72,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
33,258068,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.888,3.5228672e6,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
34,265048,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.98,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
35,272047,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.996,102.474266,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
36,278866,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.976,103.35501,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
37,285813,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.036,104.64527,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
38,292834,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.244,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
39,299756,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.076,103.014946,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
40,307124,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.204,102.18614,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
41,314121,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.972,104.19227,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
42,320803,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.02,2.467495e12,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
43,328060,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.156,102.34801,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
44,335270,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.288,103.212975,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
45,342493,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.316,102.89193,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
46,349674,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.028,101.72332,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
47,356584,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.0,102.62678,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
48,363860,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.216,105.09584,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
49,371027,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.284,4.2350076e10,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
50,378290,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.14,101.786896,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
51,385477,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.964,101.838646,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
52,392255,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.984,103.495766,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
53,399210,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.06,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
54,406438,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.172,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
55,413449,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.168,102.34645,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
56,420648,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.208,102.83319,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
57,427770,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.424,2.268206e17,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
58,435162,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.364,103.1702,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
59,441973,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.264,103.44,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
60,448798,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.048,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
61,455499,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.908,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
62,462283,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.028,103.19961,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
63,468955,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.832,102.70566,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
64,475769,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.784,102.7919,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
65,482541,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.912,6.569758e11,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
66,489868,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.98,102.502556,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
67,496919,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.952,101.90945,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
68,503764,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.868,102.40207,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
69,510454,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.804,102.30038,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
70,517103,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.932,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
71,524073,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.812,103.381065,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
72,531030,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.828,102.837,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
73,538221,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.904,101.84983,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
74,545299,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.904,101.80146,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
75,552254,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.956,101.77764,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
76,559305,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.116,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
77,566604,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.048,102.670586,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
78,573704,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.076,2.0492983e12,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
79,580824,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.292,102.695,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
80,587918,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.42,102.23334,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
81,594836,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.228,102.9719,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
82,601879,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.2,102.84403,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
83,609080,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.2,102.833626,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
84,616590,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.356,102.299164,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
85,623876,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.312,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
86,631039,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.38,102.90917,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
87,638317,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.272,103.2274,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
88,645602,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.284,102.8784,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
89,652721,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.292,102.96499,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
90,659955,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.24,102.11938,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
91,667177,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,4.072,101.748,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
92,674187,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.96,102.38144,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
93,680827,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.904,102.962425,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
94,687660,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.996,102.65827,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
95,694475,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.852,4.002416e20,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
96,701050,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.844,6.805647e35,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
97,707831,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.792,102.191185,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
98,714399,93.42941,93.42941,3.295837,3.5657916,9.499135,13.415073,0.498676,-0.17751014,86.56779,49.253654,3.856,102.25532,3,"(X2 + 7.529413) [likelihood params: Float32[3.2084448]]"
