-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10510,425.52,425.52,5.5451775,5.9017735,0.7040176,0.6538154,0.14482963,0.07222891,414.07306,201.70401,6.29,Inf,4,"(abs(X1) ^ sqrt(abs(-0.37104034))) [likelihood params: Float32[0.83905745]]"
2,19675,423.9637,423.9637,3.295837,6.59492,0.7040172,0.65381545,0.14483005,0.07222885,414.07297,201.70404,5.79,Inf,3,"(abs(X1) ^ 0.60913044) [likelihood params: Float32[0.8390575]]"
3,28939,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,5.128,Inf,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
4,37812,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,4.116,Inf,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
5,45675,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,3.332,Inf,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
6,52391,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,2.438,Inf,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
7,58214,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,1.718,454.6103,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
8,63218,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,1.696,459.18817,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
9,69148,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,1.888,6.805647e35,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
10,75088,423.96368,423.96368,3.295837,6.5948677,0.7040172,0.6538184,0.14483005,0.07222462,414.07297,201.70438,2.084,Inf,3,"(abs(X1) ^ 0.6091128) [likelihood params: Float32[0.83905745]]"
11,82138,423.70578,423.70578,6.931472,2.7013388,0.70401746,0.6538136,0.14482981,0.07223147,414.073,201.7038,2.298,6.805647e35,5,"(abs(X1) ^ (-1.1691827 / -1.9193989)) [likelihood params: Float32[0.83905745]]"
12,90110,423.70578,423.70578,6.931472,2.7013388,0.70401746,0.6538136,0.14482981,0.07223147,414.073,201.7038,2.81,6.805647e35,5,"(abs(X1) ^ (-1.1691827 / -1.9193989)) [likelihood params: Float32[0.83905745]]"
13,98531,423.70578,423.70578,6.931472,2.7013388,0.70401746,0.6538136,0.14482981,0.07223147,414.073,201.7038,3.18,Inf,5,"(abs(X1) ^ (-1.1691827 / -1.9193989)) [likelihood params: Float32[0.83905745]]"
14,107020,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,3.436,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
15,115723,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,3.814,6.805647e35,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
16,124465,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.09,6.805647e35,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
17,133754,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.518,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
18,142794,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.42,6.805647e35,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
19,152101,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.652,6.805647e35,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
20,161325,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.958,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
21,170371,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,5.264,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
22,179804,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,5.178,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
23,189295,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,4.966,6.805647e35,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
24,198804,423.70575,423.70575,6.931472,2.7013385,0.7040173,0.65381473,0.14482999,0.0722298,414.07297,201.70395,5.042,Inf,5,"(abs(X1) ^ (2.0019782 / 3.286598)) [likelihood params: Float32[0.83905745]]"
25,207866,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,4.89,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
26,217865,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.26,6.805647e35,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
27,227023,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.332,6.805647e35,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
28,236792,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.596,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
29,246124,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.572,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
30,255316,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.602,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
31,263767,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.78,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
32,272472,423.70572,423.70572,6.931472,2.7013388,0.7040173,0.6538146,0.14482999,0.07223004,414.07294,201.70392,5.93,Inf,5,"(abs(X1) ^ (3.687187 / 6.053156)) [likelihood params: Float32[0.8390574]]"
