-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11474,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,5.924,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
2,20006,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,4.518,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
3,27279,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,3.238,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
4,34259,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,2.448,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
5,40607,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.782,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
6,46027,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.378,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
7,50563,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.156,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
8,54976,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.048,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
9,59436,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.04,Inf,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
10,63966,2972.8894,2972.8894,14.334076,6.442734,7.184526e6,1.1576419e7,0.15250683,0.14033961,2952.1128,1519.6926,1.054,2982.1497,8,"(abs(X1) ^ (sin(exp(exp(X1))) / 0.13561298)) [likelihood params: Float32[2680.397]]"
