-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,12018,213.52222,213.52222,3.295837,3.9451675,0.69250244,0.7107499,0.30108255,0.29323155,206.2812,103.616516,6.208,Inf,3,"(X4 / 1.8463147) [likelihood params: Float32[0.83216727]]"
2,22187,213.52222,213.52222,3.295837,3.9451675,0.69250244,0.7107499,0.30108255,0.29323155,206.2812,103.616516,5.574,Inf,3,"(X4 / 1.8463147) [likelihood params: Float32[0.83216727]]"
3,31800,213.52214,213.52214,3.295837,3.9450977,0.69250244,0.71075046,0.30108255,0.293231,206.2812,103.616554,4.59,Inf,3,"(X4 * 0.5416034) [likelihood params: Float32[0.8321673]]"
4,40445,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,3.308,Inf,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
5,48306,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.622,Inf,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
6,54473,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.148,2.7455137e11,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
7,59774,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.16,5.272622e14,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
8,65093,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.196,236.10838,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
9,70021,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.396,3.812323e13,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
10,74642,213.29903,213.29903,8.04719,3.8928778,0.6528599,0.7941966,0.3410923,0.21025229,201.35895,109.060875,2.36,235.97864,5,"(X4 - (X1 / -2.0026002)) [likelihood params: Float32[0.8079975]]"
11,79544,195.25986,195.25986,12.542316,5.871443,0.48677182,0.6228637,0.50871897,0.38062543,176.8461,99.496155,2.63,238.89207,7,"((0.5933057 * X4) - (X1 / -2.2081795)) [likelihood params: Float32[0.6976903]]"
12,85202,195.25986,195.25986,12.542316,5.871443,0.48677182,0.6228637,0.50871897,0.38062543,176.8461,99.496155,2.768,235.01459,7,"((0.5933057 * X4) - (X1 / -2.2081795)) [likelihood params: Float32[0.6976903]]"
13,90832,195.25986,195.25986,12.542316,5.871443,0.48677182,0.6228637,0.50871897,0.38062543,176.8461,99.496155,2.694,6.805647e35,7,"((0.5933057 * X4) - (X1 / -2.2081795)) [likelihood params: Float32[0.6976903]]"
14,95727,195.25986,195.25986,12.542316,5.871443,0.48677182,0.6228637,0.50871897,0.38062543,176.8461,99.496155,2.582,235.90082,7,"((0.5933057 * X4) - (X1 / -2.2081795)) [likelihood params: Float32[0.6976903]]"
15,100834,195.25958,195.25958,12.542316,5.8711987,0.48677173,0.62286097,0.5087191,0.38062817,176.84607,99.495926,2.734,236.71733,7,"((0.59319067 * X4) - (X1 / -2.2082193)) [likelihood params: Float32[0.6976903]]"
16,106601,195.25958,195.25958,12.542316,5.8711987,0.48677173,0.62286097,0.5087191,0.38062817,176.84607,99.495926,3.05,6.805647e35,7,"((0.59319067 * X4) - (X1 / -2.2082193)) [likelihood params: Float32[0.6976903]]"
