-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10633,761.2787,775.3542,8.04719,6.028344,0.5739676,0.61822474,0.102337,0.108478725,761.2787,392.90704,5.826,Inf,5,"log(abs((sqrt(abs(X5)) / -0.032436423))) [likelihood params: Float32[0.75760686]]"
2,20962,761.14307,785.1707,14.334076,9.69357,0.5737343,0.61754775,0.1027019,0.10945499,761.14307,392.71582,5.894,Inf,8,"(3.4048831 + (log(abs(X5)) / (-1.6554954 * -1.1360799))) [likelihood params: Float32[0.75745285]]"
3,30814,698.0165,724.03485,19.4591,6.559238,0.47479403,0.52659607,0.25744057,0.2406134,698.0165,366.65088,5.364,Inf,10,"(-20.523964 / ((-4.968106 - (X10 / X3)) + log(abs(X10)))) [likelihood params: Float32[0.6890526]]"
4,40864,698.0165,724.03485,19.4591,6.559238,0.47479403,0.52659607,0.25744057,0.2406134,698.0165,366.65088,5.246,Inf,10,"(-20.523964 / ((-4.968106 - (X10 / X3)) + log(abs(X10)))) [likelihood params: Float32[0.6890526]]"
5,50707,693.0868,718.4904,16.125835,9.277746,0.46782738,0.5194912,0.26833612,0.25085908,693.0868,364.41107,5.236,6.805647e35,9,"((sqrt(abs(X3)) / 0.8594584) - log(abs((0.39761817 - 0.2759221)))) [likelihood params: Float32[0.68397814]]"
6,61054,693.0868,718.4904,16.125835,9.277746,0.46782738,0.5194912,0.26833612,0.25085908,693.0868,364.41107,6.008,Inf,9,"((sqrt(abs(X3)) / 0.8594584) - log(abs((0.39761817 - 0.2759221)))) [likelihood params: Float32[0.68397814]]"
7,71630,693.0868,718.4904,16.125835,9.277746,0.46782738,0.5194912,0.26833612,0.25085908,693.0868,364.41107,6.584,Inf,9,"((sqrt(abs(X3)) / 0.8594584) - log(abs((0.39761817 - 0.2759221)))) [likelihood params: Float32[0.68397814]]"
8,82456,693.0864,714.8622,12.542316,9.23349,0.46782693,0.5194909,0.26833683,0.25085944,693.0864,364.41095,7.134,Inf,7,"((sqrt(abs(X3)) / 0.8594503) - log(abs(0.12169703))) [likelihood params: Float32[0.6839781]]"
9,93181,693.08606,723.3246,22.873857,7.3646545,0.46782637,0.5194908,0.26833773,0.25085968,693.08606,364.41092,7.802,Inf,11,"((sqrt(abs(X3)) / 0.8594574) - (exp((-209.54729 * 1019.5208)) + -2.1062284)) [likelihood params: Float32[0.68397814]]"
10,104070,693.08563,710.1068,9.656628,7.36458,0.46782583,0.5194901,0.26833856,0.25086063,693.08563,364.41064,8.432,Inf,6,"((sqrt(abs(X3)) / 0.8594562) - -2.106228) [likelihood params: Float32[0.683978]]"
11,115572,682.542,717.6443,27.03274,8.069556,0.45326683,0.49593017,0.29110825,0.28483564,682.542,356.43103,9.992,Inf,13,"((log(abs(-13.359502)) - (1.2209702 / X3)) + ((0.0936277 + sqrt(abs(X10))) - -0.37711352)) [likelihood params: Float32[0.67325085]]"
12,127684,682.542,717.6443,27.03274,8.069556,0.45326683,0.49593017,0.29110825,0.28483564,682.542,356.43103,11.388,Inf,13,"((log(abs(-13.359502)) - (1.2209702 / X3)) + ((0.0936277 + sqrt(abs(X10))) - -0.37711352)) [likelihood params: Float32[0.67325085]]"
