-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,11440,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.06,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
2,21027,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.306,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
3,29332,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.156,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
4,37834,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.226,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
5,45233,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.598,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
6,53471,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,6.768,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
7,62089,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,7.37,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
8,70838,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,8.276,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
9,80517,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,9.248,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
10,90317,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,10.508,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
11,100687,131.2711,150.26895,11.266066,7.731777,279.00418,571.7561,0.82297975,0.5924715,131.2711,76.147026,10.928,Inf,7,"((-0.40040898 * (X13 - X9)) - -391.87485) [likelihood params: Float32[16.703419]]"
12,111230,129.0661,160.26952,21.405012,9.798399,242.00737,385.56903,0.8464532,0.7251794,129.0661,71.36046,12.69,Inf,11,"(-41.562733 + (150.73422 - ((30.00528 * (X13 - 819.2608)) / X4))) [likelihood params: Float32[15.556586]]"
13,122276,126.359344,203.85226,62.345276,15.147636,203.23016,443.80838,0.8710562,0.6836684,126.359344,74.687904,13.25,Inf,26,"((-185.76926 + 292.67313) + (250.84459 - ((53.38842 * (X13 - X6)) / (((87.08174 + (log(abs(-0.03672552)) / sqrt(abs(log(abs(X9)))))) - -54.18938) + (26.809765 * X3))))) [likelihood params: Float32[14.255881]]"
14,133517,124.81042,205.60619,62.345276,18.450485,183.90295,438.49893,0.8833188,0.68745273,124.81042,75.493515,15.106,Inf,26,"((-184.08545 + 294.35696) + (252.5284 - ((52.468273 * (X13 - X6)) / (((89.25825 + (log(abs(-9.085233e-10)) / sqrt(abs(log(abs(X9)))))) - -56.365875) + (23.250023 * X3))))) [likelihood params: Float32[13.561082]]"
15,145714,124.56117,202.37512,62.345276,15.4686775,180.96933,443.63058,0.8851801,0.6837951,124.56117,75.90094,15.824,Inf,26,"((-183.9166 + 294.52582) + (252.69725 - ((51.97195 * (X13 - X6)) / (((90.20803 + (log(abs(-3.727247e-12)) / sqrt(abs(log(abs(X9)))))) - -57.315666) + (22.467083 * X3))))) [likelihood params: Float32[13.452484]]"
