-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,9500,83.84011,107.11562,16.125835,7.1496778,8.116458,10.964867,0.5716478,0.037557185,83.84011,47.54442,5.624,Inf,9,"sin((abs((log(abs((-1.2101426 * X2))) * 2.9225514)) ^ 1.4541329)) [likelihood params: Float32[2.84894]]"
2,18576,81.97389,96.71856,9.656628,5.0880375,7.2726235,4.739801,0.61618185,0.5839633,81.97389,40.263535,5.454,Inf,6,"exp((sqrt(abs(sqrt(abs(X1)))) - -1.5805286)) [likelihood params: Float32[2.6967804]]"
3,26932,81.97389,96.71856,9.656628,5.0880375,7.2726235,4.739801,0.61618185,0.5839633,81.97389,40.263535,5.618,Inf,6,"exp((sqrt(abs(sqrt(abs(X1)))) - -1.5805286)) [likelihood params: Float32[2.6967804]]"
4,35510,76.7305,97.571846,14.334076,6.507268,5.342437,6.413118,0.7180489,0.4370876,76.7305,42.425728,6.054,Inf,8,"((sqrt(abs(sqrt(abs(X1)))) - -0.4666858) / exp(-2.3307853)) [likelihood params: Float32[2.3113713]]"
5,44569,76.7305,97.571846,14.334076,6.507268,5.342437,6.413118,0.7180489,0.4370876,76.7305,42.425728,6.398,Inf,8,"((sqrt(abs(sqrt(abs(X1)))) - -0.4666858) / exp(-2.3307853)) [likelihood params: Float32[2.3113713]]"
6,53761,76.7305,97.571846,14.334076,6.507268,5.342437,6.413118,0.7180489,0.4370876,76.7305,42.425728,6.802,Inf,8,"((sqrt(abs(sqrt(abs(X1)))) - -0.4666858) / exp(-2.3307853)) [likelihood params: Float32[2.3113713]]"
7,63040,76.7305,97.571846,14.334076,6.507268,5.342437,6.413118,0.7180489,0.4370876,76.7305,42.425728,7.352,Inf,8,"((sqrt(abs(sqrt(abs(X1)))) - -0.4666858) / exp(-2.3307853)) [likelihood params: Float32[2.3113713]]"
8,72806,76.66525,110.69523,29.933607,4.096364,5.321969,5.32434,0.7191291,0.53265524,76.66525,40.59149,7.616,Inf,13,"sqrt(abs(((sqrt(abs(X1)) - log(abs(exp((-4.1782942e6 / (X2 + 2.1817102e7)))))) * 175.5804))) [likelihood params: Float32[2.3069391]]"
9,83584,76.66525,110.69523,29.933607,4.096364,5.321969,5.32434,0.7191291,0.53265524,76.66525,40.59149,8.62,Inf,13,"sqrt(abs(((sqrt(abs(X1)) - log(abs(exp((-4.1782942e6 / (X2 + 2.1817102e7)))))) * 175.5804))) [likelihood params: Float32[2.3069391]]"
10,94577,76.665245,127.36577,34.538776,16.161747,5.3219676,5.3243074,0.71912915,0.5326581,76.665245,40.59144,9.44,Inf,15,"sqrt(abs(((sqrt(abs(X1)) - log(abs(exp((-4.1780915e6 / (X2 + 2.181714e7)))))) * (9.871411 * 17.786858)))) [likelihood params: Float32[2.3069391]]"
11,106319,76.26803,118.60899,31.191624,11.149334,5.199058,5.770666,0.7256158,0.4934789,76.26803,41.36669,11.02,Inf,15,"(log(abs(exp((exp((2.526043 - sin((sqrt(abs(sqrt(abs(X1)))) - -15.334974)))) - 0.98367906)))) / 1.4617051) [likelihood params: Float32[2.2801442]]"
12,117619,74.36527,132.27327,46.141716,11.766274,4.6485286,5.940719,0.7546704,0.47855246,74.36527,41.87166,12.756,Inf,21,"sqrt(abs((10.720422 * ((((X1 + -10.686105) - 16.233103) + sqrt(abs(exp((7.233886 - sin((sqrt(abs(sqrt(abs(X1)))) - -14.793542))))))) + X2)))) [likelihood params: Float32[2.1560447]]"
13,129170,74.36527,132.27327,46.141716,11.766274,4.6485286,5.940719,0.7546704,0.47855246,74.36527,41.87166,13.668,Inf,21,"sqrt(abs((10.720422 * ((((X1 + -10.686105) - 16.233103) + sqrt(abs(exp((7.233886 - sin((sqrt(abs(sqrt(abs(X1)))) - -14.793542))))))) + X2)))) [likelihood params: Float32[2.1560447]]"
14,141467,74.26065,142.68188,57.12784,11.293399,4.620008,5.871382,0.7561756,0.4846385,74.26065,41.7522,15.088,Inf,26,"sqrt(abs((5.6647167 * ((((X1 + (4.794973 * (-3.4427342 + sqrt(abs(X2))))) - 50.04429) + sqrt(abs(exp((9.029579 - sin((sqrt(abs(sqrt(abs(X1)))) - -8.246212))))))) + X2)))) [likelihood params: Float32[2.1494203]]"
15,153956,74.24195,142.68088,57.12784,11.311089,4.6149287,5.838197,0.7564436,0.4875514,74.24195,41.69017,16.63,Inf,26,"sqrt(abs((4.647242 * ((((X1 + (6.871967 * (-4.431881 + sqrt(abs(X2))))) - 55.64777) + sqrt(abs(exp((9.551916 - sin((sqrt(abs(sqrt(abs(X1)))) - -8.19575))))))) + X2)))) [likelihood params: Float32[2.1482387]]"
16,167642,73.82904,143.31422,57.12784,12.35734,4.5041885,5.5516396,0.76228803,0.512704,73.82904,41.178917,18.364,Inf,26,"sqrt(abs((1.8821216 * ((((-644.58435 + (-37.435825 * (1.1539474 + sqrt(abs(X2))))) - -228.75269) + sqrt(abs(exp((11.514594 - sin((sqrt(abs(sqrt(abs(X1)))) - -10.846476))))))) + X2)))) [likelihood params: Float32[2.1223073]]"
17,181820,73.37474,168.48932,87.33655,7.778033,4.385414,3.9659708,0.7685565,0.65188634,73.37474,37.984646,18.988,Inf,42,"(X2 + ((sqrt(abs((((13.7775345 / ((173761.4 / 0.075220406) / X2)) + X1) * ((X1 + ((1166.8004 - (X2 * -4.387839)) - -1166.8295)) + -2404.2031)))) - ((2678.1794 * -252.55484) / ((-63753.184 / (((-16170.926 - 16152.877) + X2) / X2)) + 51376.426))) + -12.479061)) [likelihood params: Float32[2.094138]]"
18,196488,73.37267,178.48909,87.33655,17.779861,4.3848805,3.9666874,0.7685846,0.6518234,73.37267,37.98601,20.548,Inf,42,"(X2 + ((sqrt(abs((((-0.009886809 / ((173761.4 / -5.398359e-5) / X2)) + X1) * ((X1 + ((1166.8003 - (X2 * -4.3875875)) - -1166.8293)) + -2404.2034)))) - ((2678.038 * -252.54152) / ((-63753.19 / (((-16170.91 - 16152.861) + X2) / X2)) + 51379.13))) + -12.479755)) [likelihood params: Float32[2.0940104]]"
19,210989,73.19844,152.2277,64.462685,14.566569,4.3401694,5.0012283,0.7709443,0.56101644,73.19844,40.12292,22.802,Inf,31,"((sqrt(abs((X2 / sqrt(abs(((((X1 - -2.1301496) + X2) / (sqrt(abs(sqrt(abs(X1)))) - 1.5313938)) / -14717.497)))))) / ((X2 * 296.80225) / ((X1 / (-32.671326 / -11515.461)) + -912.6137))) - -18.114471) [likelihood params: Float32[2.083307]]"
