-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10760,2978.9717,3003.7444,14.4849415,10.287851,9.03281e6,7.524005e6,0.17233431,0.12447387,2978.9717,1485.6335,5.656,Inf,9,"sqrt(abs((abs(((sqrt(abs(1.1688423)) - -1.9107932) - X2)) ^ -1.7058457))) [likelihood params: Float32[3005.4636]]"
2,19179,2978.9717,3003.7444,14.4849415,10.287851,9.03281e6,7.524005e6,0.17233431,0.12447387,2978.9717,1485.6335,5.536,Inf,9,"sqrt(abs((abs(((sqrt(abs(1.1688423)) - -1.9107932) - X2)) ^ -1.7058457))) [likelihood params: Float32[3005.4636]]"
3,27553,2977.9592,2994.1074,9.656628,6.4914713,8.975119e6,7.48169e6,0.17762047,0.12939781,2977.9592,1485.175,5.392,Inf,6,"(64.17337 / sin((X2 + 0.12431691))) [likelihood params: Float32[2995.8516]]"
4,35517,2977.9592,2994.1074,9.656628,6.4914713,8.975119e6,7.48169e6,0.17762047,0.12939781,2977.9592,1485.175,5.26,Inf,6,"(64.17337 / sin((X2 + 0.12431691))) [likelihood params: Float32[2995.8516]]"
5,44142,2977.9592,2994.1074,9.656628,6.4914713,8.975119e6,7.48169e6,0.17762047,0.12939781,2977.9592,1485.175,4.998,Inf,6,"(64.17337 / sin((X2 + 0.12431691))) [likelihood params: Float32[2995.8516]]"
6,53173,2977.9214,2998.9258,14.334076,6.67044,8.972969e6,7.4764655e6,0.17781746,0.13000578,2977.9214,1485.1255,5.748,Inf,8,"((56.782795 / sin((X2 + 0.12604654))) - -61.660725) [likelihood params: Float32[2995.4927]]"
7,62801,2977.9214,2998.9258,14.334076,6.67044,8.972969e6,7.4764655e6,0.17781746,0.13000578,2977.9214,1485.1255,6.77,Inf,8,"((56.782795 / sin((X2 + 0.12604654))) - -61.660725) [likelihood params: Float32[2995.4927]]"
8,73346,2968.2136,2993.8108,15.567281,10.029679,8.438237e6,6.8691e6,0.22681433,0.20068151,2968.2136,1478.7164,7.17,Inf,8,"((0.12800233 / sin((X2 + 0.14151643))) * X1) [likelihood params: Float32[2904.8645]]"
9,84050,2968.2136,2993.8108,15.567281,10.029679,8.438237e6,6.8691e6,0.22681433,0.20068151,2968.2136,1478.7164,8.294,Inf,8,"((0.12800233 / sin((X2 + 0.14151643))) * X1) [likelihood params: Float32[2904.8645]]"
10,95587,2873.8872,2923.6248,29.11218,20.625523,4.644913e6,3.5706828e6,0.57439214,0.5844997,2873.8872,1427.6522,9.886,Inf,14,"((X2 * sqrt(abs((2647.2432 * sin((X2 + -0.85842687)))))) / sin((X1 + 0.1285916))) [likelihood params: Float32[2155.206]]"
11,108286,2873.8872,2923.6248,29.11218,20.625523,4.644913e6,3.5706828e6,0.57439214,0.5844997,2873.8872,1427.6522,11.156,Inf,14,"((X2 * sqrt(abs((2647.2432 * sin((X2 + -0.85842687)))))) / sin((X1 + 0.1285916))) [likelihood params: Float32[2155.206]]"
12,121949,2873.8872,2923.6248,29.11218,20.625523,4.644913e6,3.5706828e6,0.57439214,0.5844997,2873.8872,1427.6522,12.496,Inf,14,"((X2 * sqrt(abs((2647.2432 * sin((X2 + -0.85842687)))))) / sin((X1 + 0.1285916))) [likelihood params: Float32[2155.206]]"
13,137003,2635.0823,2727.2903,50.536167,41.671967,1.0246465e6,1.4344949e6,0.90611285,0.8330759,2635.0823,1357.6792,14.006,Inf,23,"(200.25787 - (((sqrt(abs(-0.0002552039)) / sin((X2 + 0.13132542))) * ((0.0048474204 / sin((sin((X1 + -2.9996521)) + 0.0038822338))) * 158.56572)) * -58.213673)) [likelihood params: Float32[1012.24817]]"
