-- NEO GP --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
1,10593,186.09418,220.21382,25.296831,8.822817,8.950373,5.7298326,0.36405855,0.33094543,186.09418,86.39038,6.314,Inf,13,"(abs((((X1 - (-2.4365218 / 0.053961784)) + (-2.309967 * X1)) + X1)) ^ 0.66597146) [likelihood params: Float32[2.991717]]"
2,19788,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,5.652,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
3,28891,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,5.64,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
4,37725,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,5.992,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
5,46439,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,5.946,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
6,55826,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,6.1,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
7,64737,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,6.52,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
8,74115,185.99384,221.2732,25.296831,9.9825325,8.926134,5.8211174,0.36578077,0.3202864,185.99384,86.56157,7.122,Inf,13,"(abs((((X1 - (-1.9824911 / 0.065463394)) + (-2.2034974 * X1)) + X1)) ^ 0.7478148) [likelihood params: Float32[2.9876635]]"
9,83154,185.59363,222.86165,27.03274,10.235271,8.830105,5.832619,0.37260383,0.31894338,185.59363,86.51677,7.632,Inf,13,"(abs((((X1 - (3871.6685 / X3)) + (-1.7419872 * X1)) + X1)) ^ 0.6244109) [likelihood params: Float32[2.9715493]]"
10,92163,185.52084,224.12111,27.03274,11.567513,8.812752,5.7524858,0.37383682,0.3283003,185.52084,86.33622,8.602,Inf,13,"(abs((((X1 - (5789.983 / X3)) + (-1.597575 * X1)) + X1)) ^ 0.5666281) [likelihood params: Float32[2.9686277]]"
