gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,8.33235,6.0016766,6.059979,9.231863,10.636576,7.1045,5.402865,5.598255,14.772464,94.80989,183.44684,171.30688,171.66458,187.2399,192.4805,205.7658,193.19093,196.34491,220.21382,220.91562,17.513191,6.931472,6.931472,28.56392,33.271065,7.405224,4.156124,4.4903975,12.347075,14.375447,9,5,5,13,16,5.998,5.702,5.8,6.214,6.238
2,8.326724,5.9990253,6.0131884,8.978447,8.978447,7.0757885,5.4824877,5.598255,11.887693,11.887693,183.42184,171.29054,171.37779,186.21004,186.21005,204.1203,182.53528,188.48547,221.2732,222.86359,16.09438,5.5451775,6.931472,27.631021,33.271065,7.4615636,4.156124,4.8812914,11.382511,12.079598,9,4,5,13,16,5.7,5.216,5.352,6.008,6.012
3,8.326724,5.806528,5.9947996,8.978445,8.978447,7.0757885,5.4824877,5.598235,11.815544,11.887693,183.42184,170.08382,171.26447,186.21002,186.21005,205.62753,185.89874,196.18678,221.2732,222.86359,17.513191,6.931472,6.931472,32.23619,35.155594,7.527442,4.0291214,5.260314,11.747764,12.078999,10,5,5,14,16,5.778,4.99,5.276,6.376,6.542
4,8.326724,5.806528,5.9947996,8.971481,8.978445,7.153178,5.4621353,5.572389,11.815546,11.887674,183.42184,170.08382,171.26447,186.18134,186.21002,206.14197,188.71873,196.18678,226.43922,228.35292,21.405012,6.931472,6.931472,35.155594,37.429947,7.730734,4.4304733,5.413398,12.078999,12.284077,11,5,5,16,18,5.908,4.862,5.058,6.562,6.856
5,8.326724,5.5729356,5.9828787,8.971481,8.978445,7.153178,5.4621353,5.598255,11.815544,11.815546,183.42184,168.56458,171.19083,186.18134,186.21002,211.9977,188.71873,197.05908,233.24028,242.80579,19.4591,6.931472,9.656628,35.155594,37.429947,7.797621,4.4304733,6.114332,19.113594,35.91431,11,5,6,18,19,6.148,4.796,5.198,6.976,7.214
6,8.302094,5.0571547,5.8702435,8.926134,8.971472,7.154315,5.4620123,5.5982556,11.660347,11.815544,183.31224,164.9712,170.48761,185.99384,186.1813,215.71854,195.34592,197.05908,247.8489,249.71054,22.873857,9.656628,9.704061,46.141716,49.906597,7.9295273,4.4304733,5.627159,32.601894,33.945198,12,6,7,21,24,6.288,4.89,5.396,8.086,8.324
7,8.302094,5.057154,5.8702435,8.926134,8.957274,7.005857,5.4824877,5.5982556,11.687901,18.759829,183.31224,164.97119,170.48761,185.99384,186.12271,219.59276,192.34705,200.25195,247.8489,249.71054,27.631021,9.656628,14.334076,49.906597,52.753696,8.716581,3.3221722,5.593176,20.376783,32.601894,13,6,8,22,24,6.732,5.252,5.688,8.956,9.21
8,8.302094,5.057154,5.8406267,8.926134,8.957274,7.0058336,5.4399357,5.5644674,11.815544,11.934247,183.31224,164.97119,170.30046,185.99384,186.12271,221.2732,193.00772,200.25195,247.8489,256.5532,29.11218,9.704061,14.334076,50.65687,52.753696,8.716581,5.627159,6.229952,20.544868,32.601894,14,7,8,22,22,7.476,5.792,5.986,10.172,10.772
9,8.153854,5.057154,5.785451,8.793997,8.830105,7.0058336,5.421094,5.4824877,11.660347,12.05408,182.6456,164.97119,169.94926,185.44202,185.59363,223.3577,199.51187,201.87532,252.42557,256.5532,36.972294,11.266066,16.09438,52.753696,59.867214,8.841442,3.734222,5.587072,32.601894,42.691116,17,7,9,22,26,8.298,6.234,6.376,10.844,11.504
10,8.153854,5.021491,5.785451,8.761111,8.76139,7.009273,5.4824924,5.6440306,11.83085,12.054077,182.6456,164.70935,169.94926,185.3034,185.30457,224.12111,199.51187,201.87532,274.00763,302.85,37.429947,11.266066,16.09438,57.549488,59.867214,11.256024,3.734222,5.7316875,41.624016,46.22237,18,7,9,26,26,9.324,6.718,7.184,12.058,12.574
11,8.08821,5.021491,5.682071,8.756074,8.761111,7.0002275,5.0315266,5.5330553,12.059384,12.178291,182.34653,164.70935,169.28215,185.2821,185.3034,229.17986,204.97849,206.7918,266.64362,295.68976,36.972294,14.334076,19.4591,57.549488,59.867214,10.777797,5.278878,5.7316875,38.882538,46.52438,19,8,10,26,26,10.632,7.332,7.74,13.732,13.772
12,8.019972,5.021491,5.682071,8.699901,8.756074,7.1036386,5.0315266,5.6442895,12.58915,13.096261,182.03304,164.70935,169.28215,185.04399,185.2821,237.32501,204.97849,209.4361,288.6396,291.38287,47.957905,14.334076,19.4591,83.92634,92.28343,12.243137,5.425626,6.358245,37.509987,41.30638,21,8,10,35,42,12.134,8.194,8.424,15.33,16.036
13,7.808933,5.005726,5.5933805,8.687544,8.756074,7.1335673,5.0315266,5.5186973,12.383041,11980.597,181.04639,164.593,168.70007,184.9914,185.2821,250.33917,209.4361,214.14864,283.8008,291.69577,49.906597,14.334076,29.11218,87.33655,92.28343,13.144251,5.3977666,6.2014856,39.597706,40.77939,23,8,14,42,42,13.092,9.266,9.496,17.032,17.794
14,7.765895,5.0035377,5.2837725,8.572502,8.687544,7.61249,5.305144,5.586806,12.64774,11980.597,180.84189,164.57683,166.59314,184.49817,184.9914,254.43185,213.99937,218.50182,325.17776,343.73172,59.32506,19.4591,29.188652,96.67788,98.313705,15.797548,8.507877,10.056744,58.423573,63.00889,27,10,15,42,44,15.108,10.004,10.844,19.26,19.798
15,7.5589156,4.9944534,5.2525673,8.554707,8.56198,7.61249,5.3705535,5.5397415,12.883538,11980.597,179.84238,164.50958,166.37398,184.42126,184.45271,254.12396,213.99937,218.50182,343.73172,345.5055,59.32506,19.4591,33.271065,107.90529,110.303185,16.329918,7.141431,9.843681,58.423573,62.974083,27,10,16,45,46,17.058,11.328,12.648,21.636,22.178
16,7.4408975,4.9899735,5.189517,8.554707,8.56198,7.6207795,5.3705535,5.535027,11.778417,12.540189,179.26015,164.47638,165.92715,184.42126,184.45271,254.42323,214.13808,223.30653,343.73172,345.5055,65.91674,21.405012,37.429947,112.70108,112.82667,18.195393,6.0423427,9.843681,58.06944,58.423573,30,11,18,48,49,18.78,12.648,14.518,24.29,24.366
17,7.3277636,4.713321,5.1616707,8.471205,8.56198,7.461373,5.074629,5.6178865,12.559276,13.78721,178.69327,162.36598,165.72809,184.05833,184.45271,264.1973,213.99937,223.30653,343.73172,345.5055,69.53896,21.405012,39.55004,110.303185,110.524086,14.669951,7.568682,8.022654,59.041206,71.28315,30,11,18,48,49,20.352,13.968,15.742,25.5,25.842
18,7.3061795,4.713321,5.156958,8.447836,8.471205,7.5962877,5.035572,5.559321,13.78721,19.149359,178.58412,162.36598,165.69429,183.95613,184.05833,283.0562,221.60822,229.7137,352.78488,357.0018,78.287895,21.405012,39.55004,110.303185,112.82667,22.625538,8.022654,9.843681,71.28315,85.38859,34,11,18,49,50,22.084,16.06,16.39,27.304,27.438
19,7.2862535,4.713321,5.156958,8.221079,8.471201,7.536751,5.059297,5.559321,13.803766,19.146893,178.48306,162.36598,165.69429,182.94942,184.05832,283.0562,221.60822,231.95894,330.59183,357.0018,79.13055,21.405012,45.747715,112.82667,115.12926,22.666698,8.20976,9.627539,71.28315,85.38859,34,11,21,49,50,22.888,18.408,18.884,28.43,29.15
20,7.262755,4.539978,4.9984655,8.221079,8.471201,7.707941,5.2791,5.6201463,14.073617,124.61675,178.36354,160.97957,164.53929,182.94942,184.05832,279.65897,221.60822,235.14697,339.2137,357.0018,81.52844,21.405012,33.08047,112.82667,115.12926,22.666698,9.627539,10.482023,68.00193,85.38859,34,11,17,49,50,25.622,19.35,20.508,28.75,30.822
21,7.1891785,4.3553176,4.947922,8.221079,8.441217,7.7619324,5.279202,5.6201463,14.073617,40.489384,177.9868,159.44316,164.16325,182.94942,183.92712,283.35553,231.67508,237.99348,338.56525,339.2137,85.69176,39.55004,46.141716,112.82667,115.12926,23.692492,9.497982,9.843681,64.28979,73.26279,36,18,22,49,50,26.742,20.044,22.162,30.33,31.364
22,7.157732,4.310027,4.9437656,8.124064,8.439756,7.906164,5.6201463,5.6550274,13.256756,40.489384,177.82462,159.05638,164.13217,182.51018,183.92073,282.50015,231.49246,240.63611,338.56525,339.51096,87.49823,39.55004,46.141716,112.82667,115.12926,22.666698,7.920136,9.843681,67.03421,69.33053,39,18,22,49,50,27.82,20.43,23.63,30.85,31.732
23,6.955738,4.3100247,4.9042163,8.036783,8.326053,7.906164,5.6550274,5.781222,12.683381,13.256756,176.76543,159.05637,163.83498,182.11052,183.41887,294.7728,231.49246,248.13754,339.51096,357.0018,91.12002,45.747715,50.65687,112.82667,112.82667,26.575916,7.920136,9.627539,69.33053,85.38859,40,21,22,49,50,28.81,21.226,24.79,32.136,33.716
24,6.894365,4.3100247,4.9014916,8.036783,8.198431,8.045479,5.501925,5.780816,12.4346075,13.256756,176.43752,159.05637,163.81442,182.11052,182.84734,295.65695,231.49246,248.13754,355.35156,357.0018,92.28343,45.747715,62.383247,112.82667,115.098976,28.386906,7.920136,11.694456,85.38859,86.86012,40,21,30,49,50,29.766,23.016,25.71,32.188,34.764
