Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,6.64728*exp(-2.0*(3.42357 - 1.18904*season)**2 - 2.0*(1.15365*NWC + 2.20336*seeded - 5.26999)**2) + 6.64728*exp(-2.0*(0.0715873*NC - 0.722883)**2 - 2.0*(0.172824*SC - 0.752033)**2) - 0.6461,49,0.04485126292260961,0.9391279406028116,0.04485126292260961,0.9391279406028116,0.9351913199686983,0.5104125652291549
1,5.66935*exp(-2.0*(-0.0729612*NC - 0.115744*SC + 0.984567)**2 - 2.0*(-0.201004*NWC + exp(-2.0*(1.08648 - 0.31121*SC)**2 - 2.0*(0.207078*NC - 0.892058)**2) + 0.204624)**2) - 0.68567,47,0.04578988349265894,1.6653040802233123,0.04578988349265894,1.6653040802233123,0.933835042436445,0.131841448326394
2,1.99528*(0.474532*NWC + 0.989048)*exp(-2.0*exp(-4.0*(-0.130092*SC - 0.238532)**2 - 4.0*(0.0984432*NC - 0.145167*NWC + 0.613567)**2) - 2.0*exp(-4.0*(2.02219*season - 1.15445)**2)) - 1.26797,48,0.046271942975174056,0.5387619351298064,0.046271942975174056,0.5387619351298064,0.9331384814764496,0.7191319069869566
3,0.544932*NC - 2.94147*tanh((0.0914325*NWC + 0.132251)*(-0.568381*SC + exp(-2.0*(0.301682*NC - 1.11166)**2 - 2.0*(0.342292*season - 0.323447)**2) + 0.212414)) + 0.20604,39,0.046857405900067164,0.5156245460642154,0.046857405900067164,0.5156245460642154,0.9322925057581056,0.7311939216179414
4,8.39218*exp(-2.0*(0.884949 - 0.111611*NWC)**2 - 2.0*(0.204452*NC + exp(-2.0*(0.088586 - 0.196653*NC)**2 - 2.0*exp(-4.0*(-0.116928*NWC + 0.189899*SC + 0.716383)**2)) - 1.65852)**2) - 0.23219,50,0.0470693909404556,0.5099732867361998,0.0470693909404556,0.5099732867361998,0.9319861939675623,0.734140043693547
5,-5.25478*(1.95138 - 0.139695*NC)*exp(-2.0*(-0.0638517*NWC + exp(-2.0*(0.121963*NWC - 1.08877)**2 - 2.0*(-0.191874*SC - 0.231835)**2) - 0.656891)**2 - 2.0*exp(-4.0*(0.394982*NC - 2.65663)**2)) + 5.33883,52,0.04714495142516573,0.4684614459871448,0.04714495142516573,0.4684614459871448,0.9318770114171169,0.7557810520655268
6,8.25375*exp(-2.0*(0.783096 - 0.147437*NWC)**2 - 2.0*(1.77548 - 0.296311*SC)**2*exp(-4.0*(-0.0521561*NC - 0.341114)**2 - 4.0*exp(-4.0*(0.085771*NWC + 0.38487)**2 - 4.0*exp(-4.0*(0.580422*SC - 2.10153)**2)))) - 1.51424,60,0.04733320438496788,0.7899815655141862,0.04733320438496788,0.7899815655141862,0.9316049917449436,0.5881657530835593
7,5.90221*exp(-2.0*(0.761974 - 0.0913565*NWC)**2 - 2.0*(-0.107979*NC + exp(-2.0*(0.0944362 - 0.120358*season)**2 - 2.0*(-0.114718*NWC + 0.186239*SC + 0.768087)**2) + 0.319107)**2) - 0.775706,47,0.04800588880580776,0.5288831662852743,0.04800588880580776,0.5288831662852743,0.9306329836775793,0.7242819199811223
8,0.421646*NC + 2.12006*exp(-2.0*(0.349007*SC - 1.20863)**2 - 2.0*exp(-4.0*(2.7912 - 3.11779*season)**2*(0.66472*NWC - 2.49815)**2 - 4.0*(0.298547*SC - 0.23111)**2)) - 0.010718,47,0.0480645426127943,0.3026056655157028,0.0480645426127943,0.3026056655157028,0.9305482307506402,0.8422452094952463
9,5.24737*exp(-2.0*(0.146914*NC - 1.46986)**2*(0.113038*SC - 0.789607)**2 - 2.0*(0.232773*seeded + sqrt(exp(-2.0*(0.363348*NWC - 1.14567)**2 - 2.0*(0.467235*season - 0.446863)**2)) - 0.644988)**2) - 0.12602,53,0.048154515966370125,0.46804265099693865,0.048154515966370125,0.46804265099693865,0.9304182220529297,0.755999378830268
