Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,141.32*exp(-2.0*(0.866495 - 0.00243853*W)**2*(0.515575*(0.478691 - 1.95986*S)*(1.17442 - 0.0109479*R) + 1.16755)**2 - 2.0*exp(-4.0*(0.0712689*N - 0.711331)**2 - 4.0*(0.00935423*NW + 0.383664)**2)) + 114.712,53,41.58977346422552,143.89069603698704,41.58977346422552,143.89069603698704,0.973612466345852,0.8974395591276724
1,-129.688*(0.00400475*R - 1.69431)*exp(-2.0*exp(-4.0*(0.509908 - 0.0612931*N)**2 - 4.0*(0.00499036*NW + 0.562211)**2) - 2.0*tanh((0.00794822*R - 2.15119)*(0.00216526*W - 0.831079))**2) + 79.2351,49,44.17581034905519,279.0901295784371,44.17581034905519,279.0901295784371,0.9719716991657179,0.8010739573785794
2,194.736*exp(-2.0*(0.189826 - 0.0049546*Ed)**2 - 2.0*exp(-4.0*(0.00451144*N - 0.190449)**2 - 4.0*exp(-4.0*(1.36393 - 0.0119037*NW)**2*(0.0145033*N - 0.433657)**2 - 4.0*(0.00188517*W - 0.542259)**2))) + 96.6436,57,46.97993298314777,347.83730196982583,46.97993298314777,347.83730196982583,0.9701925627527456,0.7520732887920967
3,139.182*exp(-2.0*(0.00268673*W + 0.370766*exp(-2.0*(-0.00755364*N - 0.284033)**2 - 2.0*(-0.748159*S - 0.00116641)**2) - 1.10315)**2 - 2.0*exp(-4.0*(14.6805 - 0.139849*Ed)**2 - 4.0*(15.7456 - 0.0296366*LF)**2)) + 116.374,59,47.44365804064331,458.56161488440387,47.44365804064331,458.56161488440387,0.9698983423340779,0.6731527285295649
4,309.179 - 206.852*exp(-2.0*(0.00358518*N - 0.121735)**2 - 2.0*exp(-2.0*(0.544388 - 0.00240979*W)**2 - 2.0*(0.545671 - 1.2128*exp(-2.0*(0.003507*NW - 1.02553)**2))**2*(1.90365 - 0.0594995*N)**2)),53,49.17920880285354,209.07389774637437,49.17920880285354,209.07389774637437,0.9687971845173444,0.8509791687834197
5,73.9302*tanh((1.87151 - 0.00775758*R)*(-0.00506267*W + exp(-2.0*(0.378332 - 0.377771*S)**2 - 2.0*exp(-4.0*(6.52898 - 0.042671*Age)**2 - 4.0*(0.02081*NW + 0.0315815)**2)) + 1.93406)) + 190.44,49,50.08123799465168,261.67150458202127,50.08123799465168,261.67150458202127,0.9682248725359851,0.8134893664927514
6,40.5482*(0.305039*S - 1.2856)*(1.72818*exp(-2.0*(0.388371 - 0.00394397*R)**2 - 2.0*(2.73293 - 0.00418727*W)**2) + exp(-2.0*(10.9333 - 0.101443*Ed)**2 - 2.0*(0.0326231*LF - 17.4018)**2) + 1.43733) + 316.37,53,56.24520276558042,369.6609139260104,56.24520276558042,369.6609139260104,0.9643140114206733,0.7365181533643164
7,115.865*(0.0205887*Ex0 - 1.44155)*(0.00384084*LF - 2.16553) + 115.865*exp(-2.0*(1.46246 - 0.00388566*W)**2 - 2.0*exp(-4.0*(-0.0247434*N - 0.271367)**2 - 4.0*(0.0185818*NW - 0.123792)**2)) + 139.666,49,57.12944577859022,492.09213109599443,57.12944577859022,492.09213109599443,0.9637529842661419,0.6492533061203947
8,164.949*exp(-2.0*(exp(-2.0*(2.16582 - 0.00269752*W)**2 - 2.0*(0.00452897*N - 0.146643)**2) + exp(-2.0*(29.0041 - 0.0551682*LF)**2 - 2.0*(4.05058*S - 0.737498)**2))**2 - 2.0*exp(-4.0*(0.0097784*Ed - 1.73324)**2)) + 105.574,63,57.18438564341355,252.81101855661572,57.18438564341355,252.81101855661572,0.9637181264775265,0.8198048224474234
9,131.151*exp(-2.0*(0.00330619*W - 1.24675)**2 - 2.0*(-0.00798394*U1 + (0.00155095*Ex1 + (0.536644 - 0.00433948*NW)*(0.953514 - 0.0266733*N) + 0.523968)**2 + 0.422305)**2) + 131.898,42,57.80924379799538,480.96770930911083,57.80924379799538,480.96770930911083,0.9633216716712198,0.6571824192203775
