Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,8.65514*exp(-2.0*(0.0722089*oz4 - 0.403446)**2 - 2.0*(0.0396339*oz5 + (-0.203841*oz1 - 0.341452)*(-0.366501*oz2 - 0.623383) + (-0.221637*oz3 - 0.0243496)**2 - 0.496622)**2) - 5.18437,42,0.07805869187048932,0.16102566728510975,0.07805869187048932,0.16102566728510975,0.9212182121788706,0.8398763916865484
1,8.7361*exp(-2.0*(0.072107*oz4 - 0.395107)**2 - 2.0*(-0.038387*oz5 + exp(-2.0*(-0.181498*oz3 - 0.0188612)**2 - 2.0*(0.139309*(-0.627066*oz1 - 1.06207)*(-0.798063*oz2 - 1.37519) + 0.242691)**2) - 0.398665)**2) - 5.34575,53,0.08343349336248991,0.16562279501150431,0.08343349336248991,0.16562279501150431,0.9157936212643056,0.8353050168750733
2,8.87055*exp(-2.0*(0.0714476*oz4 - 0.390854)**2 - 2.0*(-0.0342442*oz5 + exp(-2.0*(-0.307999*oz1 - 0.729896)**2*(0.188235*oz2 + 0.456211)**2 - 2.0*(0.171975*oz3 + 0.0200172)**2) - 0.499653)**2) - 5.42889,51,0.08765325164161593,0.16108469495270616,0.08765325164161593,0.16108469495270616,0.9115347732944457,0.8398176946894471
3,0.61118*oz4 - 4.11902*exp(-2.0*(-0.264848*oz3 - 0.0145239)**2 - 2.0*(0.0662841*oz5 + exp(-2.0*(0.226229*oz2 - 0.156232)**2 - 0.0784529*exp(-1.2985*oz1)) - 0.256859)**2) + 2.18887,44,0.08850439751287664,0.12807932939569325,0.08850439751287664,0.12807932939569325,0.9106757428414919,0.8726381655857793
4,0.609942*oz4 + 0.257168*oz5 - 4.51335*tanh(exp(-2.0*(-0.351337*oz3 - 0.0192563)**2 - 2.0*exp(-4.0*(0.195395 - 0.272137*oz2)**2 - 4.0*(0.250577*oz1 - 0.231548)**2))) + 1.43616,44,0.09051478266638434,0.1269935065264423,0.09051478266638434,0.1269935065264423,0.9086467345042119,0.8737179057212814
5,0.611539*oz4 + 0.257565*oz5 - 3.27526*exp(-2.0*(-0.326198*oz3 - 0.0184981)**2 - 2.0*exp(-4.0*(0.209343 - 0.31412*oz2)**2 - 0.32928*exp(-1.22479*oz1))) + 1.34975,40,0.09084632345518721,0.13404515288061533,0.09084632345518721,0.13404515288061533,0.9083121224904613,0.8667057623914769
6,0.624213*oz4 + 0.245487*oz5 - 2.60045*sqrt(exp(-2.0*(0.290891*oz1 + 0.591266)**2*(-0.87696*oz2 - 1.82084)**2 - 2.0*(-0.502472*oz3 - 0.0544976)**2)) + 1.00543,39,0.09125249823055785,0.12680691858106388,0.09125249823055785,0.12680691858106388,0.9079021851189174,0.8739034484088883
7,0.60942*oz4 + 0.261653*oz5 - 3.28864*exp(-2.0*(-0.335141*oz3 - 0.0210551)**2 - 2.0*exp(-4.0*(0.213414 - 0.308451*oz2)**2 - 4.0*exp(-4.0*(-0.276946*oz1 - 0.846205)**2))) + 1.27201,46,0.09226298208683834,0.13204732887912382,0.09226298208683834,0.13204732887912382,0.9068823406550331,0.8686923946674832
8,-2.25736*(0.133898*oz5 - 1.76897)*(0.167327*oz4 + exp(-2.0*(0.173588 - 0.240906*oz2)**2 - 2.0*(0.227105*oz1 - 0.207166)**2) - 1.68942)*exp(-2.0*(0.216003*oz3 + 0.0140027)**2) + 3.53797,44,0.09396762987510769,0.13157004937920894,0.09396762987510769,0.13157004937920894,0.9051619018781701,0.8691670004678436
9,6.29788 - 11.7372*exp(-2.0*(0.0567485*oz5 + 0.201232)**2 - 2.0*exp(-4.0*(0.113139 - 0.137866*oz2)**2 - 4.0*exp(-4.0*(0.146909*oz3 + 0.00982417)**2 - 4.0*exp(-4.0*(0.116192 - 0.112288*oz1)**2 - 4.0*(0.031811*oz4 - 0.539645)**2)))),63,0.09935874588106482,0.1334062776519266,0.09935874588106482,0.1334062776519266,0.8997208453203036,0.8673410586681791
