Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,198.763 - 73.7421*tanh(0.00679875*W + exp(-2.0*(1.99093 - 0.0278941*R)**2 - 2.0*(9.61134 - 0.0107669*M)**2) + exp(-2.0*(0.0909437*N - 0.769598)**2 - 2.0*(0.0165972*NW + 0.000350623)**2) - 3.81059),50,33.436017167621166,184.48877153734415,33.436017167621166,184.48877153734415,0.9780942491644676,0.881338625800068
1,276.281 - 152.149*exp(-2.0*(0.00406214*U2 + 0.13074)**2 - 2.0*(-0.00586672*W + exp(-2.0*(1.40447 - 0.044514*N)**2*exp(-4.0*(0.00839948*NW + 0.368893)**2) - 2.0*(0.00344836*W - 2.16667)**2) + 2.94356)**2),54,38.45170804243518,390.7604507424162,38.45170804243518,390.7604507424162,0.9748081976583651,0.748666698348663
2,242.096*exp(-2.0*(0.00159724*W - 0.297437)**2 - 2.0*(0.00204589*N + exp(-2.0*(0.00509847*NW + 0.233362)**2 - 2.0*exp(-4.0*(1.65399 - 0.0558532*N)**2 - 2.56396*exp(-0.0825918*NW))) - 0.34685)**2) + 81.9112,54,39.37982970967515,255.39830184057763,39.37982970967515,255.39830184057763,0.9742001347456776,0.8357303091554413
3,217.933*exp(-2.0*(0.474784 - 0.0016473*W)**2 - 2.0*(0.928813 - 0.030988*N)**2*(0.000173702*W + exp(-2.0*(0.00953207*NW + 0.173337)**2 - 2.0*exp(-4.0*(0.0524609*N + 0.424593)**2)) - 0.169248)**2) + 51.9397,54,41.490121395586236,336.7002809710297,41.490121395586236,336.7002809710297,0.972817568047314,0.783437671026834
4,271.484 - 164.708*exp(-2.0*(-0.00194509*U1 - 0.192488)**2 - 2.0*(-0.00342651*W + 1.42848 + exp(-2.0*(0.406518 - 0.01263*N)**2*(1.20013 - 0.011068*NW)**2*(0.00261746*NW - 1.71933)**2))**2),48,43.07636987097421,239.60871069332498,43.07636987097421,239.60871069332498,0.9717783305181881,0.8458860198145521
5,183.599*exp(-2.0*(0.74394 - 0.00561171*U1)**2 - 2.0*exp(-4.0*exp(-4.0*(1.95157 - 0.0230054*NW)*(0.0133104*N - 0.48252)**2 - 4.0*(0.00213141*W - 0.631345)**2))) + 108.104,45,46.22101388106055,240.7984569671784,46.22101388106055,240.7984569671784,0.9697181034341409,0.8451207866427539
6,188.498*exp(-2.0*(0.0058335*U1 - 0.681589)**2 - 2.0*tanh(exp(-2.0*(0.377192 - 0.0033585*N)**2 - 2.0*(2.51598 - 0.00362952*W)**2) + exp(-2.0*(0.586965 - 0.0742201*N)**2 - 2.0*(-0.00814698*NW - 0.538764)**2))**2) + 83.0776,61,48.04687451097117,264.76685573901796,48.04687451097117,264.76685573901796,0.9685218829686854,0.8297045468795511
7,194.331 - 73.7056*tanh(0.00629216*W + exp(-2.0*(0.00633371*NW + 0.209352)**2 - 2.0*exp(-4.0*(1.05531 - 0.0346893*N)**2*(0.0168923*NW - 1.52985)**2 - 4.0*(0.00722789*N - 0.149289)**2)) - 3.63581),50,48.782502515516,229.03065934335382,48.782502515516,229.03065934335382,0.9680399331092145,0.8526897190266256
8,262.41 - 127.051*exp(-2.0*exp(-4.0*(0.0583659*N - 1.71929)**2*exp(-4.0*(0.409138 - 0.00244777*Age)**2 - 4.0*(-0.0104194*NW - 0.270256)**2) - 4.0*(0.00220528*W - 0.683983)**2) - 2.0*log(0.001868*W - 0.239039)**2),58,49.282081704956894,246.42512755124807,49.282081704956894,246.42512755124807,0.9677126316488867,0.8415017671321768
9,257.33 - 108.584*tanh((0.0110466*W - 3.9887)*exp(-2.0*(1.79731 - 0.00325471*W)**2 - 2.0*exp(-4.0*(0.836775 - 0.00746391*NW)**2*(1.3036 - 0.0422755*N)**2 - 4.0*(1.39553 - 0.00303039*W)**2))),51,53.403384966826074,215.9090257558501,53.403384966826074,215.9090257558501,0.965012542044327,0.8611294254665701
