Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.600288*oz4 + 0.283377*oz5 + 2.50521*(0.363355*oz3 + 0.0156147)**2 + 2.50521*exp(-2.0*(0.216069 - 0.316507*oz2)**2 - 2.0*(0.24609 - 0.321425*oz1)**2) - 1.81339,39,0.09248549137541791,0.0953646778467558,0.09248549137541791,0.0953646778467558,0.9057214784505668,0.907487371006721
1,8.29012*exp(-2.0*(0.143621 - 0.168066*oz1)**2 - 2.0*exp(-4.0*(-0.102962*oz4 - 0.310518)**2 - 4.0*exp(-4.0*(0.171877*oz2 - 0.127273)**2 - 4.0*exp(-2.0*(-0.241325*oz3 - 0.0141543)**2 - 2.0*(0.0364697*oz5 + 0.692557)**2)))) - 4.30238,63,0.12022030729367927,0.11387365617120768,0.12022030729367927,0.11387365617120768,0.8774489634719163,0.889531936317095
2,0.593498*oz4 + 0.297268*oz5 - 0.679516*(0.00102954*oz5 + (-0.5628*oz1 - 0.865735)*(-0.531366*oz2 - 0.885651) - 1.60334)**2 + 0.841362,28,0.1294521430642883,0.11680532280596993,0.1294521430642883,0.11680532280596993,0.8680381487084718,0.8866879463426355
3,0.58907*oz4 + 0.293456*oz5 + 3.49234*exp(-2.0*(0.0599189 - 0.0479467*oz37)**2 - 2.0*(0.401477*(0.460094*oz1 + 0.773574)*(-0.56108*oz2 - 0.999406) + 0.614514)**2) - 2.54733,39,0.12962763881074973,0.12073446858175158,0.12962763881074973,0.12073446858175158,0.8678592505994978,0.8828763085997858
4,0.590779*oz4 + 0.289238*oz5 - 2.65082 + 3.54961*exp(-2.0*(-0.214129*oz2 + (-0.354153*oz1 - 1.32879)*(-0.288592*oz2 - 0.509968) - 0.974878)**2),31,0.13047531919035937,0.11880295107464557,0.13047531919035937,0.11880295107464557,0.8669951361124844,0.8847500606698768
5,9.60718*log(0.0306093*oz5 + exp(-2.0*(0.0611935*oz4 - 0.516067)**2 - 2.0*(0.222548*oz2 + (0.367988*oz1 - 0.443546)*(0.218654*oz2 + 0.367274) - 0.0628334)**2) + 0.522484) - 0.116497,41,0.13123740117843724,0.11800453325009182,0.13123740117843724,0.11800453325009182,0.866218279525933,0.8855246004014874
6,0.58851*oz4 + 0.292862*oz5 - 1.98573 + 2.88782*exp(-2.0*(1.65834*(-0.25231*oz1 - 0.435333)*(0.276226*oz2 + 0.505566) + 0.708205)**2),29,0.1321042015795341,0.1211034639267897,0.1321042015795341,0.1211034639267897,0.8653346743346911,0.8825183487112135
7,3.65051 - 10.0603*exp(-2.0*(0.0194322*oz5 + 0.40788)**2 - 2.0*exp(-4.0*(-0.64727*(0.466225*oz1 + 0.730197)*(0.262125*oz2 + 0.444118) + 0.430728)**2 - 4.0*(-0.0708527*oz4 - 0.0220521*oz5 + 0.426785)**2)),49,0.13443475763073412,0.11931832187268503,0.13443475763073412,0.11931832187268503,0.8629589354417297,0.8842501029443381
8,5.72519*tanh(0.108206*oz4 + exp(-2.0*(0.206382*oz2 - 0.146272)**2 - 2.0*(-0.0487879*oz5 + exp(-2.0*(-0.192084*oz1 - 1.0255)**2 - 2.0*(0.443072*oz3 + 0.0279253)**2) + 0.41024)**2) - 0.490409) - 0.165194,50,0.14189487126097694,0.12254342084503274,0.14189487126097694,0.12254342084503274,0.8553541914630758,0.8811214562437761
9,2.00074*exp(-2.0*(0.342692*oz1 - 0.268768)**2 - 2.0*(0.205501*oz1 + 0.425749*oz2 - 0.376448)**2) + 2.00074*tanh(0.319508*oz4 + 0.15724*oz5 - 0.123713) - 0.741542,38,0.14726771436985137,0.15737150009913506,0.14726771436985137,0.15737150009913506,0.8498771842342816,0.8473349721142868
