id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,2934.4206716308595,"t[0]",2934.4206716308595,1,524070.68800519995,524070.68800519995,534483.3200359169,524070.68800519995,0.0,0.0,-8.561867371748022e-6,524070.68800519995,524070.68800519995,534483.3200359169
1,0,(x2 + 2805.5616804809583),"(x[:, 2] + t[0])",2805.5616804809583,3,514172.2580110263,514172.2580110263,527600.1715199527,514172.2580110263,1.888758562676074e-2,1.888758562676074e-2,1.2869683702773194e-2,514175.5538478923,514175.5538478923,527603.4673568187
2,0,(Log(x2) * 607.673615941692),"(np.log(x[:, 2]) * t[0])",607.673615941692,4,490678.59442583437,490678.59442583437,513812.52383357956,490678.59442583437,6.371677398418873e-2,6.371677398418873e-2,3.866612152885429e-2,490684.13960327883,490684.13960327883,513818.069011024
3,0,(3302.5627310811324 + (x0 * -1125.8166955664565)),"(t[0] + (x[:, 0] * t[1]))",3302.5627310811324;-1125.8166955664565,5,245138.7870721595,245138.7870721595,245354.60507440747,245138.7870721595,0.5322409883192567,0.5322409883192567,0.5409460004261548,245145.7185439651,245145.7185439651,245361.5365462131
4,0,((Sin(x0) * -1337.915051014495) + 3302.562731081117),"((np.sin(x[:, 0]) * t[0]) + t[1])",-1337.915051014495;3302.562731081117,6,245138.7870721594,245138.7870721594,245354.60507440637,245138.7870721594,0.5322409883192569,0.5322409883192569,0.5409460004261568,245148.44369963402,245148.44369963402,245364.26170188098
5,0,(x2 + (3168.7362943992403 + (-1112.6838346124164 ^ x0))),"(x[:, 2] + (t[0] + t[1] ** x[:, 0]))",3168.7362943992403;-1112.6838346124164,7,241220.02693654838,241220.02693654838,243083.0115456628,241220.02693654838,0.5397185294702936,0.5397185294702936,0.5451961105655592,241231.2930019354,241231.2930019354,243094.27761104982
6,0,(3186.1024860535317 + ((x7 * x2) + (-1096.230690819175 ^ x0))),"(t[0] + ((x[:, 7] * x[:, 2]) + t[1] ** x[:, 0]))",3186.1024860535317;-1096.230690819175,9,236690.85287053642,236690.85287053642,237512.8930265925,236690.85287053642,0.5483608255759042,0.5483608255759042,0.5556177009143692,236708.36606187792,236708.36606187792,237530.406217934
7,0,(1451.3090911156712 + ((1735.7933949382927 / Exp(x0)) + (x7 * x2))),"(t[0] + ((t[1] / np.exp(x[:, 0])) + (x[:, 7] * x[:, 2])))",1451.3090911156712;1735.7933949382927,10,236690.85287053627,236690.85287053627,237512.8930266007,236690.85287053627,0.5483608255759045,0.5483608255759045,0.5556177009143539,236711.64728595308,236711.64728595308,237533.68744201752
8,0,(3054.276049371591 + (((x7 * x2) + (x0 * -1085.0978298651448)) + x2)),"(t[0] + (((x[:, 7] * x[:, 2]) + (x[:, 0] * t[1])) + x[:, 2]))",3054.276049371591;-1085.0978298651448,11,234269.14610984628,234269.14610984628,236772.57994164006,234269.14610984628,0.5529817799931567,0.5529817799931567,0.557002813219399,234288.8554640078,234288.8554640078,236792.28929580157
9,0,((189.52584399685915 * x7) + (((1669.7485462016807 / Exp(x0)) + (x2 + 1199.0649818695656)) + x2)),"((t[0] * x[:, 7]) + (((t[1] / np.exp(x[:, 0])) + (x[:, 2] + t[2])) + x[:, 2]))",189.52584399685915;1669.7485462016807;1199.0649818695656,14,232886.09253914183,232886.09253914183,236023.64313412696,232886.09253914183,0.5556208391932977,0.5556208391932977,0.5584040603523506,232915.20472072533,232915.20472072533,236052.75531571047
10,0,((x3 * x2) + ((-1052.9347231192164 ^ x0) + (x2 + ((-173.91883939215015 ^ x4) + 3047.076061631116)))),"((x[:, 3] * x[:, 2]) + (t[0] ** x[:, 0] + (x[:, 2] + (t[1] ** x[:, 4] + t[2]))))",-1052.9347231192164;-173.91883939215015;3047.076061631116,15,227925.35829571867,227925.35829571867,235025.9409042611,227925.35829571867,0.5650866123360497,0.5650866123360497,0.5602707430619119,227956.54991884387,227956.54991884387,235057.1325273863
11,0,((((-189.16549368611427 ^ x4) + ((x6 + x2) * x3)) + ((279.987636950646 * x7) + 2816.79602006995)) + (x2 + (-1058.283094603465 ^ x0))),"(((t[0] ** x[:, 4] + ((x[:, 6] + x[:, 2]) * x[:, 3])) + ((t[1] * x[:, 7]) + t[2])) + (x[:, 2] + t[3] ** x[:, 0]))",-189.16549368611427;279.987636950646;2816.79602006995;-1058.283094603465,21,223697.148731065,223697.148731065,227942.01838757782,223697.148731065,0.5731546261773652,0.5731546261773652,0.5735246331324426,223745.5030180179,223745.5030180179,227990.3726745307
12,0,((173.39155114694634 * (x3 - x4)) + ((((-1098.5384931021597 ^ x0) + x2) + x2) + ((x2 + 2250.338465733619) + (x0 + (560.4234673252568 * x7))))),"((t[0] * (x[:, 3] - x[:, 4])) + (((t[1] ** x[:, 0] + x[:, 2]) + x[:, 2]) + ((x[:, 2] + t[2]) + (x[:, 0] + (t[3] * x[:, 7])))))",173.39155114694634;-1098.5384931021597;2250.338465733619;560.4234673252568,23,248379.63590165734,248379.63590165734,246769.08238725117,222590.16369880093,0.5260569965340385,0.5260569965340385,0.5382995391234601,248432.5953587962,248432.5953587962,246822.04184439004
13,0,(x2 + (((941.5677533513142 + (((Exp(x7) - Exp(x0)) + x3) * ((x2 + x0) + x3))) + ((x4 + ((-291.6223778236692 ^ x4) + 1887.1912766375663)) / Sqrt(Exp(x0)))) + x1)),"(x[:, 2] + (((t[0] + (((np.exp(x[:, 7]) - np.exp(x[:, 0])) + x[:, 3]) * ((x[:, 2] + x[:, 0]) + x[:, 3]))) + ((x[:, 4] + (t[1] ** x[:, 4] + t[2])) / np.sqrt(np.exp(x[:, 0])))) + x[:, 1]))",941.5677533513142;-291.6223778236692;1887.1912766375663,31,224140.08219507354,224140.08219507354,234272.68173636487,221511.73188350082,0.572309447322401,0.572309447322401,0.5616800772524545,224221.89297229162,224221.89297229162,234354.49251358295
14,0,(((((-378.6289595638227 ^ x4) + x4) + (1617.823161798761 + (-358.6802278080417 ^ x0))) / Sqrt(Exp(x0))) + ((x5 + 1386.2327470701275) + ((((Exp(x7) - Exp(x0)) + x3) + Sqrt(x4)) * x2))),"((((t[0] ** x[:, 4] + x[:, 4]) + (t[1] + t[2] ** x[:, 0])) / np.sqrt(np.exp(x[:, 0]))) + ((x[:, 5] + t[3]) + ((((np.exp(x[:, 7]) - np.exp(x[:, 0])) + x[:, 3]) + np.sqrt(x[:, 4])) * x[:, 2])))",-378.6289595638227;1617.823161798761;-358.6802278080417;1386.2327470701275,32,221192.59717514704,221192.59717514704,227674.5009099043,221158.53920405696,0.577933660023832,0.577933660023832,0.5740251534631888,221277.0470096947,221277.0470096947,227758.95074445198
15,0,(((((-215.84893597056598 ^ x4) + 2056.1989640245647) + (Sin(x2) * 19.43789712455627)) / Sqrt(Exp(x0))) + ((Sqrt(x4) + (((Exp(x7) - Exp(x0)) + x3) * (x3 + ((x0 - x4) + x2)))) + 929.5350336832315)),"((((t[0] ** x[:, 4] + t[1]) + (np.sin(x[:, 2]) * t[2])) / np.sqrt(np.exp(x[:, 0]))) + ((np.sqrt(x[:, 4]) + (((np.exp(x[:, 7]) - np.exp(x[:, 0])) + x[:, 3]) * (x[:, 3] + ((x[:, 0] - x[:, 4]) + x[:, 2])))) + t[3]))",-215.84893597056598;2056.1989640245647;19.43789712455627;929.5350336832315,35,221419.642828011,221419.642828011,227682.81281795187,221132.9330604296,0.5775004252368833,0.5775004252368833,0.5740096020345447,221512.00983454756,221512.00983454756,227775.1798244884
16,0,(x3 + (((((1450.1330925993464 + (-143.97147994743946 ^ x0)) + x2) + (-235.97266982220034 ^ x4)) / Sqrt(Exp(x0))) + (((x8 * 21.537172567247417) + (((Exp(x7) - Exp(x0)) + x3) * (x3 + ((Sqrt(x0) ^ x1) + x2)))) + 1357.7188487462631))),"(x[:, 3] + (((((t[0] + t[1] ** x[:, 0]) + x[:, 2]) + t[2] ** x[:, 4]) / np.sqrt(np.exp(x[:, 0]))) + (((x[:, 8] * t[3]) + (((np.exp(x[:, 7]) - np.exp(x[:, 0])) + x[:, 3]) * (x[:, 3] + (np.sqrt(x[:, 0]) ** x[:, 1] + x[:, 2])))) + t[4])))",1450.1330925993464;-143.97147994743946;-235.97266982220034;21.537172567247417;1357.7188487462631,40,223631.65577088867,223631.65577088867,234765.542043595,220953.19558051645,0.5732795958840771,0.5732795958840771,0.560757944589827,223739.97777893275,223739.97777893275,234873.86405163907
