id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,821.7468354430546,"t[0]",821.7468354430546,1,8635984.897933008,1.319413173642042e7,8594312.676384315,1.319413173642042e7,1.4432899320127035e-15,-4.435259364137245e-4,-7.118975495901125e-5,8635984.897933008,1.319413173642042e7,8594312.676384315
1,0,(x0 + 819.715189873431),"(x[:, 0] + t[0])",819.715189873431,3,8635480.975845205,1.3193038242469132e7,8593549.960107338,1.3193038242469132e7,5.835143226529116e-5,-3.606118829486693e-4,1.756319170265197e-5,8635484.27168207,1.3193041538305998e7,8593553.255944204
2,0,(x0 + (x0 + 817.683544303813)),"(x[:, 0] + (x[:, 0] + t[0]))",817.683544303813,5,8634980.735298822,1.3191949097900959e7,8592791.219083779,1.3191949097900959e7,1.1627656209056703e-4,-2.780276209597421e-4,1.0585356077807972e-4,8634986.228360265,1.3191954590962403e7,8592796.712145222
3,0,(x0 + (x0 + (x0 + 815.6518987341767))),"(x[:, 0] + (x[:, 0] + (x[:, 0] + t[0])))",815.6518987341767,7,8634484.176293867,1.319086430271591e7,8592036.453313647,1.319086430271591e7,1.7377538947671578e-4,-1.9577315044738697e-4,1.936813522657177e-4,8634491.866579887,1.319087199300193e7,8592044.143599667
4,0,(((x0 + 813.6202531645434) + (x0 + x0)) + x0),"(((x[:, 0] + t[0]) + (x[:, 0] + x[:, 0])) + x[:, 0])",813.6202531645434,9,8633991.298830314,1.3189783856913947e7,8591285.662796939,1.3189783856913947e7,2.3084791442651298e-4,-1.1384847140871734e-4,2.8104656616634305e-4,8634001.186340911,1.3189793744424544e7,8591295.550307536
5,0,((Sin((x0 + -542.2159434363425)) + (x0 + x0)) + 827.7451555175629),"((np.sin((x[:, 0] + t[0])) + (x[:, 0] + x[:, 0])) + t[1])",-542.2159434363425;827.7451555175629,10,8634415.654893473,1.3189384572711209e7,8592563.788249888,1.3189384572711209e7,1.817097943193069e-4,-8.357279252213523e-5,1.323183908582548e-4,8634429.517837085,1.318939843565482e7,8592577.6511935
6,0,((x0 + (x0 + ((x0 + x0) + x0))) + 811.5886075949187),"((x[:, 0] + (x[:, 0] + ((x[:, 0] + x[:, 0]) + x[:, 0]))) + t[0])",811.5886075949187,11,8633502.102908198,1.3188707760495119e7,8590538.84753365,1.3188707760495119e7,2.874941369358508e-4,-3.225358384773003e-5,3.6794920248028884e-4,8633514.187643373,1.3188719845230294e7,8590550.932268826
7,0,((x0 + (Sin((341.18489985625985 + (x0 + x0))) + x0)) + 830.5548674453173),"((x[:, 0] + (np.sin((t[0] + (x[:, 0] + x[:, 0]))) + x[:, 0])) + t[1])",341.18489985625985;830.5548674453173,12,8633761.4980912,1.3188616688962564e7,8592305.750925407,1.3188616688962564e7,2.5745758799911034e-4,-2.5348095334942755e-5,1.623447238310316e-4,8633778.133623533,1.3188633324494896e7,8592322.38645774
8,0,((((x0 + x0) + x0) + 809.5569620253074) + ((x0 + x0) + x0)),"((((x[:, 0] + x[:, 0]) + x[:, 0]) + t[0]) + ((x[:, 0] + x[:, 0]) + x[:, 0]))",809.5569620253074,13,8633016.588527482,1.3187636013459375e7,8589796.007523792,1.3187636013459375e7,3.437140570091701e-4,4.901151223990485e-5,4.5438926120644485e-4,8633030.870487235,1.3187650295419129e7,8589810.289483545
9,0,((((x0 + ((x0 + x0) + x0)) + (x0 + x0)) + x0) + 807.5253164557076),"((((x[:, 0] + ((x[:, 0] + x[:, 0]) + x[:, 0])) + (x[:, 0] + x[:, 0])) + x[:, 0]) + t[0])",807.5253164557076,15,8632534.755688187,1.3186568615806744e7,8589057.142767334,1.3186568615806744e7,3.995076746440285e-4,1.2994681685163378e-4,5.403667423479197e-4,8632551.234872516,1.3186585094991073e7,8589073.621951664
