id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,3.575490519131597e-2,"t[0]",3.575490519131597e-2,1,0.9912555711235456,0.9439125739928473,1.065471293860252,0.9439125739928473,0.0,-8.124563024140885e-3,-3.790716895570867e-4,0.9912555711235456,0.9439125739928473,1.065471293860252
1,0,(-0.46101037889967666 * x1),"(t[0] * x[:, 1])",-0.46101037889967666,3,0.7849231312496349,0.7823476384540194,0.8435606741488596,0.7823476384540194,0.20815261561661813,0.16443122712824088,0.2079744907425567,4.080759997253964,4.078184504458348,4.139397540153189
2,0,Sin((-1.9776070350583925 * x1)),"np.sin((t[0] * x[:, 1]))",-1.9776070350583925,4,0.5166147961954487,0.4923524019099812,0.5075667281316547,0.4923524019099812,0.4788278510153662,0.47415410737695374,0.5234417527390949,6.061792240675011,6.0375298463895435,6.0527441726112166
3,0,Sin(((0.27878357580225244 - x0) - x1)),"np.sin(((t[0] - x[:, 0]) - x[:, 1]))",0.27878357580225244,6,0.3759838470892947,0.3403501329754857,0.3972877027484299,0.3403501329754857,0.6206993856658649,0.6364967068616252,0.6269835653392279,10.032611321693896,9.996977607580087,10.053915177353032
4,0,Sin(((0.3238480281816813 - (1.2289248890968758 * x1)) - x0)),"np.sin(((t[0] - (t[1] * x[:, 1])) - x[:, 0]))",0.3238480281816813;1.2289248890968758,8,0.3437531412063942,0.31351548243894634,0.38062767047359986,0.31351548243894634,0.6532144169270446,0.6651568509167243,0.6426257958877672,14.677828895030833,14.647591236263386,14.71470342429804
5,0,Sin(((Sin((0.4888697082529242 - x0)) - x1) * 1.3510473608557665)),"np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1]))",0.4888697082529242;1.3510473608557665,9,0.3177150900843214,0.2663723043345607,0.35501131975269423,0.2663723043345607,0.6794821644995095,0.7155070603911169,0.6666771816941452,16.443550313136814,16.392207527387054,16.48084654280519
6,0,(Sin(((Sin((0.49478497870737165 - x0)) - x1) * 1.3759533122584426)) * 1.2929024280772503),"(np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1])) * t[2])",0.49478497870737165;1.3759533122584426;1.2929024280772503,11,0.28245195016508157,0.21778578786900127,0.3128169525787947,0.21778578786900127,0.7150563806214634,0.7673987948909674,0.7062937927724445,19.991806111673686,19.927139949377604,20.0221711140874
7,0,((Sin((1.370900535095288 * (Sin((-3.6514655522856683 + x0)) - x1))) + -0.10321040875223664) * 1.3302944555379117),"((np.sin((t[0] * (np.sin((t[1] + x[:, 0])) - x[:, 1]))) + t[2]) * t[3])",1.370900535095288;-3.6514655522856683;-0.10321040875223664;1.3302944555379117,13,0.26474451437047425,0.19374522145162892,0.3052068819245056,0.19374522145162892,0.7329200237730844,0.7930747803393295,0.7134389457770343,25.561576452089547,25.4905771591707,25.602038819643578
8,0,((Sin(((Sin(Sin((2.5731043635731177 + x0))) - x1) * -1.4457472320056415)) + 0.12221884571522991) * -1.328367977359615),"((np.sin(((np.sin(np.sin((t[0] + x[:, 0]))) - x[:, 1]) * t[1])) + t[2]) * t[3])",2.5731043635731177;-1.4457472320056415;0.12221884571522991;-1.328367977359615,14,0.26530472375005365,0.19276645218724267,0.3064609949412485,0.19276645218724267,0.7323548724681141,0.7941201328053814,0.7122614495622487,27.508046810524437,27.435508538961628,27.549203081715632
9,0,((1.272757452261579 - (-0.48886226811251166 * x1)) * Sin(((Sin((0.46479381860247687 - x0)) - x1) * 1.3692261104487562))),"((t[0] - (t[1] * x[:, 1])) * np.sin(((np.sin((t[2] - x[:, 0])) - x[:, 1]) * t[3])))",1.272757452261579;-0.48886226811251166;0.46479381860247687;1.3692261104487562,15,0.22219864650268054,0.16635029299541756,0.2513056622242869,0.16635029299541756,0.7758412129267249,0.8223333166062751,0.764047209403996,27.098590684923504,27.042742331416243,27.12769770064511
10,0,(((-0.5032736546640391 * x1) + -1.2653885358061951) * Sin(((Sin(Sin((0.5219747171335818 - x0))) - x1) * -1.4385632296951179))),"(((t[0] * x[:, 1]) + t[1]) * np.sin(((np.sin(np.sin((t[2] - x[:, 0]))) - x[:, 1]) * t[3])))",-0.5032736546640391;-1.2653885358061951;0.5219747171335818;-1.4385632296951179,16,0.22533151267120383,0.16487489028126573,0.25125816012289376,0.16487489028126573,0.7726807099648376,0.8239090872416817,0.7640918094869534,31.359893897556216,31.299437275166277,31.385820545007906
11,0,(Sin((1.4391687686593562 * (Sin(Sin((0.5239437027814046 - x0))) - x1))) * (1.2695517543696055 - Sin((-0.5287055082391319 * x1)))),"(np.sin((t[0] * (np.sin(np.sin((t[1] - x[:, 0]))) - x[:, 1]))) * (t[2] - np.sin((t[3] * x[:, 1]))))",1.4391687686593562;0.5239437027814046;1.2695517543696055;-0.5287055082391319,17,0.22549548934885283,0.16445924256022693,0.2509849676943916,0.16445924256022693,0.7725152867557017,0.8243530104276731,0.7643483119282604,30.685406466225785,30.62437021943716,30.710895944571327
12,0,((1.2710626455606273 - (-0.4894130218714135 * x1)) * Sin((1.4612947442484743 * (Sin(Sin((0.47468591639194974 - (x0 * 0.9019186325355444)))) - x1)))),"((t[0] - (t[1] * x[:, 1])) * np.sin((t[2] * (np.sin(np.sin((t[3] - (x[:, 0] * t[4])))) - x[:, 1]))))",1.2710626455606273;-0.4894130218714135;1.4612947442484743;0.47468591639194974;0.9019186325355444,18,0.2238204993826158,0.16418227901193044,0.2520557144027947,0.16418227901193044,0.7742050527605864,0.8246488151068276,0.7633429797298807,32.47549094548761,32.41585272511692,32.50372616050778
13,0,(((0.47907034916769514 * x1) + 1.295405679161495) * (Sin((1.3691243159418036 * (Sin((2.684918382909844 + x0)) - x1))) - (-0.16683484030527362 * x4))),"(((t[0] * x[:, 1]) + t[1]) * (np.sin((t[2] * (np.sin((t[3] + x[:, 0])) - x[:, 1]))) - (t[4] * x[:, 4])))",0.47907034916769514;1.295405679161495;1.3691243159418036;2.684918382909844;-0.16683484030527362,19,0.16916001108480466,0.15643061382961643,0.2220582768505113,0.15643061382961643,0.8293477322976666,0.8329278064985548,0.7915078011610573,39.67854930300169,39.665819905746496,39.73144756876739
14,0,((Sin(((Sin((0.4586074673641251 - x0)) - x1) * -1.3690838506948353)) - (0.16767260466749007 * x4)) * (Sin((-0.5005609983659893 * x1)) + -1.2981435042364464)),"((np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1])) - (t[2] * x[:, 4])) * (np.sin((t[3] * x[:, 1])) + t[4]))",0.4586074673641251;-1.3690838506948353;0.16767260466749007;-0.5005609983659893;-1.2981435042364464,20,0.16933896672765542,0.15553677082055267,0.22078789030018944,0.15553677082055267,0.8291671979853622,0.8338824553905733,0.7927005767198371,41.758169800324374,41.74436760441727,41.809618723896904
15,0,((Sin((x1 * (-1.179548303106924 - Sin((-1.8623655483852997 - x0))))) + -1.1889945147721996) * Sin((-1.395233073531558 * (Sin((2.6680953280831154 + x0)) - x1)))),"((np.sin((x[:, 1] * (t[0] - np.sin((t[1] - x[:, 0]))))) + t[2]) * np.sin((t[3] * (np.sin((t[4] + x[:, 0])) - x[:, 1]))))",-1.179548303106924;-1.8623655483852997;-1.1889945147721996;-1.395233073531558;2.6680953280831154,21,0.20774759523108874,0.15058949745449998,0.22455253394010422,0.15058949745449998,0.7904197451363468,0.8391662792718628,0.7891659242787606,41.07186072539267,41.014702627616074,41.08866566410168
16,0,((Sin(((Sin((0.48702797424944316 - x0)) - x1) * 1.4266246730310692)) - (Sin((x1 - x4)) * 0.2197973980383053)) * (1.2056448070437025 + (0.42341989669981134 * x1))),"((np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1])) - (np.sin((x[:, 1] - x[:, 4])) * t[2])) * (t[3] + (t[4] * x[:, 1])))",0.48702797424944316;1.4266246730310692;0.2197973980383053;1.2056448070437025;0.42341989669981134,22,0.19658240301794042,0.1461617492708013,0.2242890944018638,0.1461617492708013,0.8016834318569098,0.8438952359844428,0.7894132696574958,45.94429631997433,45.89387566622719,45.97200301135825
17,0,((Sin(((Sin((0.4885533652995383 - x0)) - x1) * -1.426941332587909)) - (Sin((x1 - x4)) * -0.22069640567121754)) * (-1.2070725508348743 - Sin((0.4389639252192887 * x1)))),"((np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1])) - (np.sin((x[:, 1] - x[:, 4])) * t[2])) * (t[3] - np.sin((t[4] * x[:, 1]))))",0.4885533652995383;-1.426941332587909;-0.22069640567121754;-1.2070725508348743;0.4389639252192887,23,0.1966323436174585,0.14603029898816094,0.22443538863815554,0.14603029898816094,0.8016330507029744,0.8440356284978995,0.7892759128904591,44.95256577188967,44.901963727260366,44.980368816910364
18,0,((Sin(((Sin((0.4638806995707007 - x0)) - x1) * 1.390741951503029)) - (-0.15624804824546937 * x4)) * (Sin((x1 * (1.1531175185783382 - Sin((1.2709379602849806 - x0))))) + 1.2067160273744142)),"((np.sin(((np.sin((t[0] - x[:, 0])) - x[:, 1]) * t[1])) - (t[2] * x[:, 4])) * (np.sin((x[:, 1] * (t[3] - np.sin((t[4] - x[:, 0]))))) + t[5]))",0.4638806995707007;1.390741951503029;-0.15624804824546937;1.1531175185783382;1.2709379602849806;1.2067160273744142,25,0.16107958402622938,0.13461808507426037,0.19556340959299495,0.13461808507426037,0.8374994413966798,0.8562241865085445,0.8163840328008454,52.14711812602213,52.120656627070154,52.18160195158889
19,0,((Sin((1.3703525307387823 * (Sin((0.44901274795465734 - x0)) - x1))) - (0.14422154196572814 * (-0.3511629387165611 - x4))) * (1.221908517950536 - Sin((x1 * (-1.2497402450153932 - Sin((-1.2649137429469994 + x0))))))),"((np.sin((t[0] * (np.sin((t[1] - x[:, 0])) - x[:, 1]))) - (t[2] * (t[3] - x[:, 4]))) * (t[4] - np.sin((x[:, 1] * (t[5] - np.sin((t[6] + x[:, 0])))))))",1.3703525307387823;0.44901274795465734;0.14422154196572814;-0.3511629387165611;1.221908517950536;-1.2497402450153932;-1.2649137429469994,27,0.1618068579609857,0.13075800576117425,0.18948200718913108,0.13075800576117425,0.8367657517651229,0.860346857270607,0.8220939076012319,56.30672848331655,56.27567963111674,56.3344036325447
20,0,((Sin((1.4815269848095953 * (Sin((0.47599572723217803 - x0)) - x1))) - (0.16629278677797374 * ((x1 + -0.3989903640995873) - x4))) * (1.0625730786716099 - Sin((x1 * (-1.087782287225735 - Sin((-2.0278393986339696 - x0))))))),"((np.sin((t[0] * (np.sin((t[1] - x[:, 0])) - x[:, 1]))) - (t[2] * ((x[:, 1] + t[3]) - x[:, 4]))) * (t[4] - np.sin((x[:, 1] * (t[5] - np.sin((t[6] - x[:, 0])))))))",1.4815269848095953;0.47599572723217803;0.16629278677797374;-0.3989903640995873;1.0625730786716099;-1.087782287225735;-2.0278393986339696,29,0.15431404008851166,0.1291090282725505,0.1814582309472366,0.1291090282725505,0.8443246680433752,0.8621080105341168,0.8296274919169854,60.45811874880375,60.432913736987786,60.48526293966247
21,0,((Sin((1.4042733031897412 * (Sin((0.4698331712646048 - x0)) - x1))) - (0.10736971026113144 * ((Sin((x1 - x4)) + -0.43050896559390334) - x4))) * (1.143801664733023 - Sin((x1 * (-1.171172520316955 - Sin((-1.9485183978573861 - x0))))))),"((np.sin((t[0] * (np.sin((t[1] - x[:, 0])) - x[:, 1]))) - (t[2] * ((np.sin((x[:, 1] - x[:, 4])) + t[3]) - x[:, 4]))) * (t[4] - np.sin((x[:, 1] * (t[5] - np.sin((t[6] - x[:, 0])))))))",1.4042733031897412;0.4698331712646048;0.10736971026113144;-0.43050896559390334;1.143801664733023;-1.171172520316955;-1.9485183978573861,32,0.16223977704084372,0.12770656074595205,0.18837531936414215,0.12770656074595205,0.8363290136599667,0.8636058843853219,0.8231329851863272,66.70436911079558,66.6698358945007,66.73050465311889
22,0,((Sin((-1.3071797119385646 * (Sin((0.4562964913711682 - x0)) - x1))) - (-0.2055312416015806 * ((Sin(Sin((x1 - x4))) + -3.629967484180116e-2) - x0))) * (-1.2821521844927941 - Sin((x1 * (1.2673433855816612 - Sin((1.2245358192140823 - x0))))))),"((np.sin((t[0] * (np.sin((t[1] - x[:, 0])) - x[:, 1]))) - (t[2] * ((np.sin(np.sin((x[:, 1] - x[:, 4]))) + t[3]) - x[:, 0]))) * (t[4] - np.sin((x[:, 1] * (t[5] - np.sin((t[6] - x[:, 0])))))))",-1.3071797119385646;0.4562964913711682;-0.2055312416015806;-3.629967484180116e-2;-1.2821521844927941;1.2673433855816612;1.2245358192140823,33,0.17288480220965,0.12709595459940834,0.18943032464842177,0.12709595459940834,0.8255900826729352,0.8642580285262356,0.8221424327303417,68.79445567764424,68.748666830034,68.81100120008301
