id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,x3,"x[:, 3]",,1,0.19830832747022492,0.20876390797313993,0.5105360688206286,0.20876390797313993,0.7040444153255079,0.6985712173745169,0.7338466533841567,0.19830832747022492,0.20876390797313993,0.5105360688206286
1,0,(x2 * 0.6646719362756929),"(x[:, 2] * t[0])",0.6646719362756929,3,0.34826295909589455,0.17698071966546786,0.6977462065425324,0.17698071966546786,0.48025194405832616,0.74446213718222,0.6362500138554348,3.6440998251002235,3.472817585669797,3.9935830725468615
2,0,((x3 + x2) * 0.4341819849243461),"((x[:, 3] + x[:, 2]) * t[0])",0.4341819849243461,5,9.213482169452858e-2,9.198908599044682e-2,0.33774498440908846,9.198908599044682e-2,0.8624978821044293,0.8671793487957753,0.8239263327450087,8.13932438386503,8.139178648160948,8.38493454657959
3,0,(0.40253008585179223 * (x2 + (x3 ^ 1.2532958615877137))),"(t[0] * (x[:, 2] + x[:, 3] ** t[1]))",0.40253008585179223;1.2532958615877137,7,7.718695887502015e-2,8.261779544717421e-2,0.29146269411366077,8.261779544717421e-2,0.8848060904223375,0.8807103117266466,0.8480542782584958,12.619503243471405,12.624934080043559,12.833778978710045
4,0,((x3 + x2) * (7.355084171680225e-2 * (3.65009457420185 + x3))),"((x[:, 3] + x[:, 2]) * (t[0] * (t[1] + x[:, 3])))",7.355084171680225e-2;3.65009457420185,9,9.450257738101665e-2,9.620523136573113e-2,0.33923312809687506,9.620523136573113e-2,0.8589642406910796,0.8610917660321517,0.8231505316862028,14.579443789287918,14.581146443272633,14.824174340003777
5,0,(Sqrt(Sin(Exp(x1))) * ((x3 + x2) * 0.5296845824058426)),"(np.sqrt(np.sin(np.exp(x[:, 1]))) * ((x[:, 3] + x[:, 2]) * t[0]))",0.5296845824058426,10,0.13205595455525973,6.481780742823545e-2,0.3754046142325612,6.481780742823545e-2,0.8029195357617136,0.9064112519484938,0.8042935641279246,22.104301727917456,22.03706358079043,22.347650387594758
6,0,(((x4 + 25.034666431472782) + (x1 * x4)) * ((x3 + x2) * 1.3024764272567043e-2)),"(((x[:, 4] + t[0]) + (x[:, 1] * x[:, 4])) * ((x[:, 3] + x[:, 2]) * t[1]))",25.034666431472782;1.3024764272567043e-2,13,0.11914032407956261,6.111985037767344e-2,0.4717908482512383,6.111985037767344e-2,0.8221948381034598,0.9117506360536028,0.7540453636216802,25.415972261798636,25.357951788096745,25.76862278597031
7,0,((1.52740687962284 + Log((x4 + (x3 + Exp(x1))))) * ((x3 + x2) * 0.11608679090242333)),"((t[0] + np.log((x[:, 4] + (x[:, 3] + np.exp(x[:, 1]))))) * ((x[:, 3] + x[:, 2]) * t[1]))",1.52740687962284;0.11608679090242333,15,0.10667839736163162,5.9498955109771975e-2,0.3918238369448828,5.9498955109771975e-2,0.8407930324154447,0.9140910046168788,0.7957338729707253,33.065047057404925,33.017867615153065,33.35019249698817
8,0,((0.5468640016981342 + Log(((x4 + Exp(x1)) + (x4 * x3)))) * ((x3 + x2) * 0.1310053045997105)),"((t[0] + np.log(((x[:, 4] + np.exp(x[:, 1])) + (x[:, 4] * x[:, 3])))) * ((x[:, 3] + x[:, 2]) * t[1]))",0.5468640016981342;0.1310053045997105,17,0.11185780812374119,5.982812445942479e-2,0.5274852548954309,5.982812445942479e-2,0.8330632736104361,0.9136157255453822,0.7250106810176123,37.46467562283948,37.41264593917516,37.880303069611166
9,0,((1.0838315534615797 + Log(((x4 + Exp(x1)) + Exp((1.58197967039498 + x3))))) * ((x3 + x2) * 8.370238664811383e-2)),"((t[0] + np.log(((x[:, 4] + np.exp(x[:, 1])) + np.exp((t[1] + x[:, 3]))))) * ((x[:, 3] + x[:, 2]) * t[2]))",1.0838315534615797;1.58197967039498;8.370238664811383e-2,18,0.10058734481408284,8.200852415936684e-2,0.3371739118939583,8.200852415936684e-2,0.8498833265094409,0.8815900227090452,0.8242240450328266,39.65062973686603,39.63205091621132,39.887216303945905
10,0,((2.295351734260442 + Log((Exp(x1) + Exp((x3 - (Exp(x0) + -1.5601489966399464)))))) * ((x3 + x2) * 9.556805316259584e-2)),"((t[0] + np.log((np.exp(x[:, 1]) + np.exp((x[:, 3] - (np.exp(x[:, 0]) + t[1])))))) * ((x[:, 3] + x[:, 2]) * t[2]))",2.295351734260442;-1.5601489966399464;9.556805316259584e-2,19,0.10421229740752957,5.0294542748579654e-2,0.31143107249906055,5.0294542748579654e-2,0.8444734429311936,0.9273810164764675,0.8376443365161959,43.8533290642944,43.79941130963545,44.06054783938593
11,0,(((Sin(Sin(Exp(((x2 + x4) + (x1 + Sin(x0)))))) * 0.26189633871323104) + Log(((((x3 * x3) - x1) + Exp(x1)) + (Exp((x4 ^ (x0 - x4))) + x4)))) * ((x2 + (x3 + x2)) * 0.10878360847364672)),"(((np.sin(np.sin(np.exp(((x[:, 2] + x[:, 4]) + (x[:, 1] + np.sin(x[:, 0])))))) * t[0]) + np.log(((((x[:, 3] * x[:, 3]) - x[:, 1]) + np.exp(x[:, 1])) + (np.exp(x[:, 4] ** (x[:, 0] - x[:, 4])) + x[:, 4])))) * ((x[:, 2] + (x[:, 3] + x[:, 2])) * t[1]))",0.26189633871323104;0.10878360847364672,40,0.13183700572862786,4.1840411174303656e-2,0.5663885818485332,4.1840411174303656e-2,0.8032462952519793,0.9395877174015985,0.7047295465485482,102.7298113041901,102.63981470963577,103.16436288031
